Node1,Node2,edgelength,slope,Build5m,Maintain5m,Build10m,Maintain10m,Upgrade
"(-14794.2594, 146679.0429)","(-14798.4729, 146716.9643)",28.882,18.2,139521.16,54251.66,209281.74,104640.87,54251.66
"(-15131.0353, 147400.7821)","(-15115.3184, 147352.4936)",92.278,18.2,445774.33,173335.71,668661.5,334330.75,173335.71
"(-15131.0353, 147400.7821)","(-15060.5201, 147421.8269)",80.947,18.2,391035.57,152050.99,586553.36,293276.68,152050.99
"(-14423.8501, 146276.4208)","(-14474.5173, 146305.3197)",22.306,18.2,107754.34,41899.4,161631.51,80815.76,41899.4
"(-15079.7426, 145218.9281)","(-15021.4492, 145239.9344)",61.963,10.2,299327.03,116390.87,448990.55,224495.27,116390.87
"(-15079.7426, 145218.9281)","(-15154.9198, 145188.4129)",81.134,10.2,391940.43,152402.83,587910.64,293955.32,152402.83
"(-15220.4915, 145467.9165)","(-15223.6558, 145459.444)",9.044,18.4,43689.92,16988.47,65534.88,32767.44,16988.47
"(-15220.4915, 145467.9165)","(-15219.1849, 145471.415)",3.735,18.4,18040.6,7014.94,27060.9,13530.45,7014.94
"(-14088.5281, 145781.1787)","(-14141.0282, 145818.6431)",16.107,18.2,77809.13,30255.45,116713.7,58356.85,30255.45
"(-14088.5281, 145781.1787)","(-14157.3284, 145751.068)",44.677,18.2,215825.85,83922.12,323738.78,161869.39,83922.12
"(-14233.1328, 145987.8687)","(-14208.3019, 146023.6823)",40.256,16.6,194468.55,75617.51,291702.82,145851.41,75617.51
"(-14233.1328, 145987.8687)","(-14301.3706, 145979.5811)",54.085,16.6,261271.07,101593.12,391906.61,195953.3,101593.12
"(-14610.1768, 146970.1964)","(-14586.3643, 146974.8266)",30.583,23.2,147740.38,57447.64,221610.57,110805.28,57447.64
"(-14610.1768, 146970.1964)","(-14633.9893, 146970.8578)",50.457,23.2,243746.07,94778.67,365619.11,182809.55,94778.67
"(-15349.3359, 147053.1435)","(-15338.7525, 147028.0079)",27.273,25.8,204941.61,73193.43,307412.42,153706.21,73193.43
"(-15349.3359, 147053.1435)","(-15365.2109, 147071.6643)",82.34,14.9,397766.59,154668.29,596649.88,298324.94,154668.29
"(-15349.3359, 147053.1435)","(-15336.3655, 147022.7565)",64.836,14.9,313209.3,121788.88,469813.95,234906.97,121788.88
"(-13871.1502, 146296.3145)","(-13896.9096, 146245.5414)",58.905,16.4,284553.81,110646.42,426830.72,213415.36,110646.42
"(-13871.1502, 146296.3145)","(-13845.7413, 146338.3884)",43.845,16.4,211802.48,82357.66,317703.72,158851.86,82357.66
"(-14670.2476, 145707.5447)","(-14611.5099, 145648.8071)",59.246,16.4,286201.88,111287.26,429302.82,214651.41,111287.26
"(-14670.2476, 145707.5447)","(-14694.0601, 145772.6323)",56.123,16.4,271118.66,105422.28,406678.0,203339.0,105422.28
"(-15056.0613, 146719.7491)","(-15040.3224, 146682.2179)",0.33,19.8,1593.44,619.6,2390.16,1195.08,619.6
"(-15056.0613, 146719.7491)","(-15060.96, 146731.4305)",0.541,19.8,2613.99,1016.43,3920.98,1960.49,1016.43
"(-15309.5434, 145126.733)","(-15271.5941, 145102.0159)",45.289,10.2,218779.62,85070.67,328169.43,164084.72,85070.67
"(-15309.5434, 145126.733)","(-15331.4138, 145187.8215)",64.885,10.2,313445.69,121880.79,470168.53,235084.27,121880.79
"(-13765.3438, 146135.5115)","(-13810.3937, 146181.9823)",71.762,17.1,346664.2,134797.54,519996.29,259998.15,134797.54
"(-14910.6117, 147414.6973)","(-14873.57, 147447.7703)",66.628,18.2,321862.67,125153.67,482794.0,241397.0,125153.67
"(-14910.6117, 147414.6973)","(-14934.4243, 147389.5618)",45.404,18.2,219333.76,85286.14,329000.64,164500.32,85286.14
"(-14557.6886, 146582.8015)","(-14537.4465, 146589.3689)",66.898,20.7,323166.86,125660.79,484750.29,242375.15,125660.79
