variable,value
C_timber_node7node23_t1,1.0
C_timber_node7node23_t2,1.0
C_timber_node7node23_t3,1.0
C_timber_node7node23_t4,1.0
C_timber_node7node23_t5,1.0
C_wide_node7node23_t1,1.0
C_wide_node7node23_t2,1.0
C_wide_node7node23_t3,1.0
C_wide_node7node23_t4,1.0
C_wide_node7node23_t5,1.0
C_timber_node7node24_t1,1.0
C_timber_node7node24_t2,1.0
C_timber_node7node24_t3,1.0
C_timber_node7node24_t4,1.0
C_timber_node7node24_t5,1.0
C_wide_node7node24_t1,1.0
C_wide_node7node24_t2,1.0
C_wide_node7node24_t3,1.0
C_wide_node7node24_t4,1.0
C_wide_node7node24_t5,1.0
C_timber_node8node22_t1,1.0
C_timber_node8node22_t2,1.0
C_timber_node8node22_t3,1.0
C_timber_node8node22_t4,1.0
C_timber_node8node22_t5,1.0
C_wide_node8node22_t1,1.0
C_wide_node8node22_t2,1.0
C_wide_node8node22_t3,1.0
C_wide_node8node22_t4,1.0
C_wide_node8node22_t5,1.0
C_timber_node8node23_t1,1.0
C_timber_node8node23_t2,1.0
C_timber_node8node23_t3,1.0
C_timber_node8node23_t4,1.0
C_timber_node8node23_t5,1.0
C_wide_node8node23_t1,1.0
C_wide_node8node23_t2,1.0
C_wide_node8node23_t3,1.0
C_wide_node8node23_t4,1.0
C_wide_node8node23_t5,1.0
C_timber_node9node19_t1,1.0
C_timber_node9node19_t2,1.0
C_timber_node9node19_t3,1.0
C_timber_node9node19_t4,1.0
C_timber_node9node19_t5,1.0
C_wide_node9node19_t1,1.0
C_wide_node9node19_t2,1.0
C_wide_node9node19_t3,1.0
C_wide_node9node19_t4,1.0
C_wide_node9node19_t5,1.0
C_timber_node9node12_t1,1.0
C_timber_node9node12_t2,1.0
C_timber_node9node12_t3,1.0
C_timber_node9node12_t4,1.0
C_timber_node9node12_t5,1.0
C_wide_node9node12_t1,1.0
C_wide_node9node12_t2,1.0
C_wide_node9node12_t3,1.0
C_wide_node9node12_t4,1.0
C_wide_node9node12_t5,1.0
C_timber_node9node24_t1,1.0
C_timber_node9node24_t2,1.0
C_timber_node9node24_t3,1.0
C_timber_node9node24_t4,1.0
C_timber_node9node24_t5,1.0
C_wide_node9node24_t1,1.0
C_wide_node9node24_t2,1.0
C_wide_node9node24_t3,1.0
C_wide_node9node24_t4,1.0
C_wide_node9node24_t5,1.0
C_timber_node10node21_t1,1.0
C_timber_node10node21_t2,1.0
C_timber_node10node21_t3,1.0
C_timber_node10node21_t4,1.0
C_timber_node10node21_t5,1.0
C_wide_node10node21_t1,1.0
C_wide_node10node21_t2,1.0
