"Node1(x,y)","Node2(x,y)",edgelength,slope
"(-12649.9933, 145879.3143)","(-12703.3212, 145835.8897)",68.77180238709678,24.9455
"(-12703.3212, 145835.8897)","(-12756.7661, 145810.0194)",59.37701371827772,24.9455
"(-12756.7661, 145810.0194)","(-12752.0079, 145746.6811)",63.516775060848225,24.9455
"(-12752.0079, 145746.6811)","(-12778.4003, 145726.4648)",33.245414171731106,24.9455
"(-12778.4003, 145726.4648)","(-12802.8764, 145707.7167)",30.831327003875185,24.9455
"(-12802.8764, 145707.7167)","(-12833.1288, 145679.2663)",41.528700508445496,24.9455
"(-12833.1288, 145679.2663)","(-12896.1422, 145620.0072)",86.50045960785101,24.9455
"(-12896.1422, 145620.0072)","(-12939.4017, 145604.9259)",45.81298887804343,24.9455
"(-12939.4017, 145604.9259)","(-12979.883, 145593.0195)",42.19594779893119,24.9455
"(-12979.883, 145593.0195)","(-12989.0111, 145568.8896)",25.79872639530862,24.9455
"(-12989.0111, 145568.8896)","(-12984.2486, 145526.8207)",42.337616294007745,24.9455
"(-12984.2486, 145526.8207)","(-12984.2486, 145491.8956)",34.92510000002221,24.9455
"(-12984.2486, 145491.8956)","(-13019.9675, 145441.0955)",62.10064393562509,24.9455
"(-13019.9675, 145441.0955)","(-13031.08, 145451.4143)",15.164606479897623,24.9455
"(-13031.08, 145451.4143)","(-13060.4488, 145504.5957)",60.751853629335045,24.9455
"(-13060.4488, 145504.5957)","(-13060.4488, 145546.6645)",42.068800000008196,24.9455
"(-13060.4488, 145546.6645)","(-13073.1488, 145572.0645)",28.39806331424245,24.9455
"(-13073.1488, 145572.0645)","(-13105.6927, 145600.6396)",43.308680044757686,24.9455
"(-13105.6927, 145600.6396)","(-13107.2801, 145642.7085)",42.098838297167894,24.9455
"(-13107.2801, 145642.7085)","(-13064.4176, 145716.5273)",85.36046590598514,24.9455
"(-13064.4176, 145716.5273)","(-13029.5262, 145743.3634)",44.01801968706492,24.9455
"(-13029.5262, 145743.3634)","(-13036.5436, 145769.0134)",26.592600526456796,24.9455
"(-13036.5436, 145769.0134)","(-13003.4787, 145820.6348)",61.30298973109269,24.9455
"(-13003.4787, 145820.6348)","(-12947.1298, 145857.5546)",67.36668437180307,24.9455
"(-12947.1298, 145857.5546)","(-12877.9417, 145865.0047)",69.58805336851994,24.9455
"(-12877.9417, 145865.0047)","(-12788.0459, 145876.8508)",90.67295596179672,24.9455
"(-12788.0459, 145876.8508)","(-12731.5515, 145887.0619)",57.409788316717034,24.9455
"(-12731.5515, 145887.0619)","(-12649.9933, 145879.3143)",81.92536416153396,24.9455
"(-12566.8608, 145780.7608)","(-12619.5539, 145750.0338)",60.99763369680077,24.9455
"(-12619.5539, 145750.0338)","(-12646.126, 145698.5252)",57.95871265280203,24.9455
"(-12646.126, 145698.5252)","(-12678.0837, 145666.9101)",44.95341074156275,24.9455
"(-12678.0837, 145666.9101)","(-12740.5312, 145622.8273)",76.43941072568757,24.9455
"(-12740.5312, 145622.8273)","(-12776.7351, 145566.7708)",66.73120385142703,24.9455
"(-12776.7351, 145566.7708)","(-12766.3147, 145509.2834)",58.42418929622765,24.9455
"(-12766.3147, 145509.2834)","(-12797.7089, 145450.415)",66.7164470891345,24.9455
"(-12797.7089, 145450.415)","(-12823.8513, 145364.2002)",90.09115837196684,24.9455
"(-12823.8513, 145364.2002)","(-12844.7099, 145324.5044)",44.84236536578921,24.9455
"(-12844.7099, 145324.5044)","(-12837.327, 145278.3503)",46.74086177234356,24.9455
"(-12837.327, 145278.3503)","(-12925.5523, 145222.4046)",104.46829618873852,24.9455
"(-12925.5523, 145222.4046)","(-12982.0563, 145234.1627)",57.71442568032327,24.9455
"(-12982.0563, 145234.1627)","(-13027.0232, 145271.6803)",58.56272197713772,24.9455
"(-13027.0232, 145271.6803)","(-13062.7522, 145328.3438)",66.98741428992113,24.9455
"(-13062.7522, 145328.3438)","(-13090.602, 145397.9363)",74.95817111089248,24.9455
"(-13090.602, 145397.9363)","(-13019.9675, 145441.0955)",82.77650110320893,24.9455
"(-13019.9675, 145441.0955)","(-12984.2486, 145491.8956)",50.111060270664304,24.9455
"(-12984.2486, 145491.8956)","(-12984.2486, 145526.8207)",52.146382232052005,24.9455
"(-12984.2486, 145526.8207)","(-12989.0111, 145568.8896)",54.32543753711752,24.9455
"(-12989.0111, 145568.8896)","(-12979.883, 145593.0195)",59.21380590673041,24.9455
