variable,value,node_type_info,action,road_type,edge,period
C_node2node7_wide_t2,0.0,node2exit_node7transit,C,wide,node2node7,2.0
C_node2node7_wide_t3,0.0,node2exit_node7transit,C,wide,node2node7,3.0
C_node2node7_wide_t4,0.0,node2exit_node7transit,C,wide,node2node7,4.0
C_node2node7_wide_t5,0.0,node2exit_node7transit,C,wide,node2node7,5.0
C_node2node37_timber_t0,0.0,node2exit_node37exit,C,timber,node2node37,0.0
C_node2node37_timber_t1,0.0,node2exit_node37exit,C,timber,node2node37,1.0
C_node2node37_timber_t2,0.0,node2exit_node37exit,C,timber,node2node37,2.0
C_node2node37_timber_t3,0.0,node2exit_node37exit,C,timber,node2node37,3.0
C_node2node37_timber_t4,0.0,node2exit_node37exit,C,timber,node2node37,4.0
C_node2node37_timber_t5,0.0,node2exit_node37exit,C,timber,node2node37,5.0
C_node2node37_wide_t0,0.0,node2exit_node37exit,C,wide,node2node37,0.0
C_node2node37_wide_t1,0.0,node2exit_node37exit,C,wide,node2node37,1.0
C_node2node37_wide_t2,0.0,node2exit_node37exit,C,wide,node2node37,2.0
C_node2node37_wide_t3,0.0,node2exit_node37exit,C,wide,node2node37,3.0
C_node2node37_wide_t4,0.0,node2exit_node37exit,C,wide,node2node37,4.0
C_node2node37_wide_t5,0.0,node2exit_node37exit,C,wide,node2node37,5.0
C_node2node47_timber_t0,0.0,node2exit_node47source,C,timber,node2node47,0.0
C_node2node47_timber_t1,0.0,node2exit_node47source,C,timber,node2node47,1.0
C_node2node47_timber_t2,0.0,node2exit_node47source,C,timber,node2node47,2.0
C_node2node47_timber_t3,0.0,node2exit_node47source,C,timber,node2node47,3.0
C_node2node47_timber_t4,0.0,node2exit_node47source,C,timber,node2node47,4.0
C_node2node47_timber_t5,0.0,node2exit_node47source,C,timber,node2node47,5.0
C_node2node47_wide_t0,0.0,node2exit_node47source,C,wide,node2node47,0.0
C_node2node47_wide_t1,0.0,node2exit_node47source,C,wide,node2node47,1.0
C_node2node47_wide_t2,0.0,node2exit_node47source,C,wide,node2node47,2.0
C_node2node47_wide_t3,0.0,node2exit_node47source,C,wide,node2node47,3.0
C_node2node47_wide_t4,0.0,node2exit_node47source,C,wide,node2node47,4.0
C_node2node47_wide_t5,0.0,node2exit_node47source,C,wide,node2node47,5.0
C_node3node35_timber_t0,0.0,node3exit_node35exit,C,timber,node3node35,0.0
C_node3node35_timber_t1,0.0,node3exit_node35exit,C,timber,node3node35,1.0
C_node3node35_timber_t2,0.0,node3exit_node35exit,C,timber,node3node35,2.0
C_node3node35_timber_t3,0.0,node3exit_node35exit,C,timber,node3node35,3.0
C_node3node35_timber_t4,0.0,node3exit_node35exit,C,timber,node3node35,4.0
C_node3node35_timber_t5,0.0,node3exit_node35exit,C,timber,node3node35,5.0
C_node3node35_wide_t0,0.0,node3exit_node35exit,C,wide,node3node35,0.0
C_node3node35_wide_t1,0.0,node3exit_node35exit,C,wide,node3node35,1.0
C_node3node35_wide_t2,0.0,node3exit_node35exit,C,wide,node3node35,2.0
C_node3node35_wide_t3,0.0,node3exit_node35exit,C,wide,node3node35,3.0
C_node3node35_wide_t4,0.0,node3exit_node35exit,C,wide,node3node35,4.0
C_node3node35_wide_t5,0.0,node3exit_node35exit,C,wide,node3node35,5.0
C_node3node38_timber_t0,0.0,node3exit_node38exit,C,timber,node3node38,0.0
C_node3node38_timber_t1,0.0,node3exit_node38exit,C,timber,node3node38,1.0
C_node3node38_timber_t2,0.0,node3exit_node38exit,C,timber,node3node38,2.0
C_node3node38_timber_t3,0.0,node3exit_node38exit,C,timber,node3node38,3.0
C_node3node38_timber_t4,0.0,node3exit_node38exit,C,timber,node3node38,4.0
C_node3node38_timber_t5,0.0,node3exit_node38exit,C,timber,node3node38,5.0
C_node3node38_wide_t0,0.0,node3exit_node38exit,C,wide,node3node38,0.0
C_node3node38_wide_t1,0.0,node3exit_node38exit,C,wide,node3node38,1.0
C_node3node38_wide_t2,0.0,node3exit_node38exit,C,wide,node3node38,2.0
