variable,coefficient,type,prefix,width,edge,period
C_node1node7_timber_t0,702.0,B,C,timber,,0
C_node1node7_timber_t1,591.07,B,C,timber,,1
C_node1node7_timber_t2,419.02,B,C,timber,,2
C_node1node7_timber_t3,297.05,B,C,timber,,3
C_node1node7_timber_t4,210.58,B,C,timber,,4
C_node1node7_timber_t5,149.29,B,C,timber,,5
C_node1node7_wide_t0,1055.0,B,C,wide,,0
C_node1node7_wide_t1,888.28,B,C,wide,,1
C_node1node7_wide_t2,629.72,B,C,wide,,2
C_node1node7_wide_t3,446.42,B,C,wide,,3
C_node1node7_wide_t4,316.48,B,C,wide,,4
C_node1node7_wide_t5,224.36,B,C,wide,,5
C_node1node3_timber_t0,4659.0,B,C,timber,,0
C_node1node3_timber_t1,3922.75,B,C,timber,,1
C_node1node3_timber_t2,2780.91,B,C,timber,,2
C_node1node3_timber_t3,1971.44,B,C,timber,,3
C_node1node3_timber_t4,1397.59,B,C,timber,,4
C_node1node3_timber_t5,990.78,B,C,timber,,5
C_node1node3_wide_t0,6988.0,B,C,wide,,0
C_node1node3_wide_t1,5883.71,B,C,wide,,1
C_node1node3_wide_t2,4171.07,B,C,wide,,2
C_node1node3_wide_t3,2956.95,B,C,wide,,3
C_node1node3_wide_t4,2096.24,B,C,wide,,4
C_node1node3_wide_t5,1486.06,B,C,wide,,5
C_node1node12_timber_t0,2681.0,B,C,timber,,0
C_node1node12_timber_t1,2257.33,B,C,timber,,1
C_node1node12_timber_t2,1600.26,B,C,timber,,2
C_node1node12_timber_t3,1134.46,B,C,timber,,3
C_node1node12_timber_t4,804.24,B,C,timber,,4
C_node1node12_timber_t5,570.14,B,C,timber,,5
C_node1node12_wide_t0,4024.0,B,C,wide,,0
C_node1node12_wide_t1,3388.1,B,C,wide,,1
C_node1node12_wide_t2,2401.89,B,C,wide,,2
C_node1node12_wide_t3,1702.74,B,C,wide,,3
C_node1node12_wide_t4,1207.11,B,C,wide,,4
C_node1node12_wide_t5,855.74,B,C,wide,,5
C_node1node13_timber_t0,0.0,B,C,timber,,0
C_node1node13_timber_t1,0.0,B,C,timber,,1
C_node1node13_timber_t2,0.0,B,C,timber,,2
C_node1node13_timber_t3,0.0,B,C,timber,,3
C_node1node13_timber_t4,0.0,B,C,timber,,4
C_node1node13_timber_t5,0.0,B,C,timber,,5
C_node1node13_wide_t0,0.0,B,C,wide,,0
C_node1node13_wide_t1,0.0,B,C,wide,,1
C_node1node13_wide_t2,0.0,B,C,wide,,2
C_node1node13_wide_t3,0.0,B,C,wide,,3
C_node1node13_wide_t4,0.0,B,C,wide,,4
C_node1node13_wide_t5,0.0,B,C,wide,,5
C_node2node9_timber_t0,3358.0,B,C,timber,,0
C_node2node9_timber_t1,2827.35,B,C,timber,,1
C_node2node9_timber_t2,2004.36,B,C,timber,,2
C_node2node9_timber_t3,1420.93,B,C,timber,,3
C_node2node9_timber_t4,1007.32,B,C,timber,,4
C_node2node9_timber_t5,714.11,B,C,timber,,5
C_node2node9_wide_t0,5038.0,B,C,wide,,0
C_node2node9_wide_t1,4241.86,B,C,wide,,1
C_node2node9_wide_t2,3007.13,B,C,wide,,2
C_node2node9_wide_t3,2131.81,B,C,wide,,3
C_node2node9_wide_t4,1511.28,B,C,wide,,4
C_node2node9_wide_t5,1071.38,B,C,wide,,5
C_node2node12_timber_t0,3056.0,B,C,timber,,0
C_node2node12_timber_t1,2573.07,B,C,timber,,1
C_node2node12_timber_t2,1824.1,B,C,timber,,2
C_node2node12_timber_t3,1293.14,B,C,timber,,3
C_node2node12_timber_t4,916.73,B,C,timber,,4
C_node2node12_timber_t5,649.89,B,C,timber,,5
