variable,value
C_wide_node4node5_t1,1.0
C_wide_node4node5_t2,1.0
C_wide_node4node5_t3,1.0
C_wide_node4node5_t4,1.0
C_wide_node4node5_t5,1.0
C_timber_node4node167_t0,0.0
C_timber_node4node167_t1,1.0
C_timber_node4node167_t2,1.0
C_timber_node4node167_t3,1.0
C_timber_node4node167_t4,1.0
C_timber_node4node167_t5,1.0
C_wide_node4node167_t0,0.0
C_wide_node4node167_t1,1.0
C_wide_node4node167_t2,1.0
C_wide_node4node167_t3,1.0
C_wide_node4node167_t4,1.0
C_wide_node4node167_t5,1.0
C_timber_node4node179_t0,0.0
C_timber_node4node179_t1,1.0
C_timber_node4node179_t2,1.0
C_timber_node4node179_t3,1.0
C_timber_node4node179_t4,1.0
C_timber_node4node179_t5,1.0
C_wide_node4node179_t0,0.0
C_wide_node4node179_t1,1.0
C_wide_node4node179_t2,1.0
C_wide_node4node179_t3,1.0
C_wide_node4node179_t4,1.0
C_wide_node4node179_t5,1.0
C_timber_node5node125_t0,0.0
C_timber_node5node125_t1,1.0
C_timber_node5node125_t2,1.0
C_timber_node5node125_t3,1.0
C_timber_node5node125_t4,1.0
C_timber_node5node125_t5,1.0
C_wide_node5node125_t0,0.0
C_wide_node5node125_t1,1.0
C_wide_node5node125_t2,1.0
C_wide_node5node125_t3,1.0
C_wide_node5node125_t4,1.0
C_wide_node5node125_t5,1.0
C_timber_node5node54_t0,0.0
C_timber_node5node54_t1,1.0
C_timber_node5node54_t2,1.0
C_timber_node5node54_t3,1.0
C_timber_node5node54_t4,1.0
C_timber_node5node54_t5,1.0
C_wide_node5node54_t0,0.0
C_wide_node5node54_t1,1.0
C_wide_node5node54_t2,1.0
C_wide_node5node54_t3,1.0
C_wide_node5node54_t4,1.0
C_wide_node5node54_t5,1.0
C_timber_node5node167_t0,0.0
C_timber_node5node167_t1,1.0
C_timber_node5node167_t2,1.0
C_timber_node5node167_t3,1.0
C_timber_node5node167_t4,1.0
C_timber_node5node167_t5,1.0
C_wide_node5node167_t0,0.0
C_wide_node5node167_t1,1.0
C_wide_node5node167_t2,1.0
C_wide_node5node167_t3,1.0
C_wide_node5node167_t4,1.0
C_wide_node5node167_t5,1.0
C_timber_node5node179_t0,0.0
C_timber_node5node179_t1,1.0
C_timber_node5node179_t2,1.0
C_timber_node5node179_t3,1.0
C_timber_node5node179_t4,1.0
C_timber_node5node179_t5,1.0
C_wide_node5node179_t0,0.0
C_wide_node5node179_t1,1.0
C_wide_node5node179_t2,1.0
C_wide_node5node179_t3,1.0
C_wide_node5node179_t4,1.0
C_wide_node5node179_t5,1.0
C_timber_node6node53_t0,0.0
C_timber_node6node53_t1,1.0
C_timber_node6node53_t2,1.0
C_timber_node6node53_t3,1.0
C_timber_node6node53_t4,1.0
C_timber_node6node53_t5,1.0
C_wide_node6node53_t0,0.0
C_wide_node6node53_t1,1.0
C_wide_node6node53_t2,1.0
C_wide_node6node53_t3,1.0
C_wide_node6node53_t4,1.0
C_wide_node6node53_t5,1.0
C_timber_node6node22_t0,0.0
C_timber_node6node22_t1,1.0
C_timber_node6node22_t2,1.0
C_timber_node6node22_t3,1.0
C_timber_node6node22_t4,1.0
C_timber_node6node22_t5,1.0
C_wide_node6node22_t0,0.0
C_wide_node6node22_t1,1.0
C_wide_node6node22_t2,1.0
C_wide_node6node22_t3,1.0
C_wide_node6node22_t4,1.0
C_wide_node6node22_t5,1.0
C_timber_node6node78_t0,0.0
C_timber_node6node78_t1,1.0
C_timber_node6node78_t2,1.0
C_timber_node6node78_t3,1.0
C_timber_node6node78_t4,1.0
C_timber_node6node78_t5,1.0
C_wide_node6node78_t0,0.0
C_wide_node6node78_t1,1.0
C_wide_node6node78_t2,1.0
C_wide_node6node78_t3,1.0
C_wide_node6node78_t4,1.0
C_wide_node6node78_t5,1.0
C_timber_node6node168_t0,0.0
C_timber_node6node168_t1,1.0
C_timber_node6node168_t2,1.0
C_timber_node6node168_t3,1.0
C_timber_node6node168_t4,1.0
C_timber_node6node168_t5,1.0
C_wide_node6node168_t0,0.0
C_wide_node6node168_t1,1.0
C_wide_node6node168_t2,1.0
C_wide_node6node168_t3,1.0
C_wide_node6node168_t4,1.0
C_wide_node6node168_t5,1.0
C_timber_node6node170_t0,0.0
C_timber_node6node170_t1,1.0
C_timber_node6node170_t2,1.0
C_timber_node6node170_t3,1.0
C_timber_node6node170_t4,1.0
C_timber_node6node170_t5,1.0
C_wide_node6node170_t0,0.0
C_wide_node6node170_t1,1.0
C_wide_node6node170_t2,1.0
C_wide_node6node170_t3,1.0
C_wide_node6node170_t4,1.0
C_wide_node6node170_t5,1.0
C_timber_node7node94_t0,0.0
C_timber_node7node94_t1,1.0
C_timber_node7node94_t2,1.0
C_timber_node7node94_t3,1.0
C_timber_node7node94_t4,1.0
C_timber_node7node94_t5,1.0
C_wide_node7node94_t0,0.0
C_wide_node7node94_t1,1.0
C_wide_node7node94_t2,1.0
C_wide_node7node94_t3,1.0
C_wide_node7node94_t4,1.0
C_wide_node7node94_t5,1.0
C_timber_node7node142_t0,0.0
C_timber_node7node142_t1,1.0
C_timber_node7node142_t2,1.0
C_timber_node7node142_t3,1.0
C_timber_node7node142_t4,1.0
C_timber_node7node142_t5,1.0
C_wide_node7node142_t0,0.0
C_wide_node7node142_t1,1.0
C_wide_node7node142_t2,1.0
C_wide_node7node142_t3,1.0
C_wide_node7node142_t4,1.0
C_wide_node7node142_t5,1.0
C_timber_node7node21_t0,0.0
C_timber_node7node21_t1,1.0
C_timber_node7node21_t2,1.0
C_timber_node7node21_t3,1.0
C_timber_node7node21_t4,1.0
C_timber_node7node21_t5,1.0
C_wide_node7node21_t0,0.0
C_wide_node7node21_t1,1.0
C_wide_node7node21_t2,1.0
C_wide_node7node21_t3,1.0
C_wide_node7node21_t4,1.0
C_wide_node7node21_t5,1.0
C_timber_node7node182_t0,0.0
C_timber_node7node182_t1,1.0
C_timber_node7node182_t2,1.0
C_timber_node7node182_t3,1.0
C_timber_node7node182_t4,1.0
C_timber_node7node182_t5,1.0
C_wide_node7node182_t0,0.0
C_wide_node7node182_t1,1.0
C_wide_node7node182_t2,1.0
C_wide_node7node182_t3,1.0
C_wide_node7node182_t4,1.0
C_wide_node7node182_t5,1.0
C_timber_node7node184_t0,0.0
C_timber_node7node184_t1,1.0
C_timber_node7node184_t2,1.0
C_timber_node7node184_t3,1.0
C_timber_node7node184_t4,1.0
C_timber_node7node184_t5,1.0
C_wide_node7node184_t0,0.0
C_wide_node7node184_t1,1.0
C_wide_node7node184_t2,1.0
C_wide_node7node184_t3,1.0
C_wide_node7node184_t4,1.0
C_wide_node7node184_t5,1.0
C_timber_node8node25_t0,0.0
C_timber_node8node25_t1,1.0
C_timber_node8node25_t2,1.0
C_timber_node8node25_t3,1.0
C_timber_node8node25_t4,1.0
C_timber_node8node25_t5,1.0
C_wide_node8node25_t0,0.0
C_wide_node8node25_t1,1.0
C_wide_node8node25_t2,1.0
C_wide_node8node25_t3,1.0
C_wide_node8node25_t4,1.0
C_wide_node8node25_t5,1.0
C_timber_node8node152_t0,0.0
C_timber_node8node152_t1,1.0
C_timber_node8node152_t2,1.0
C_timber_node8node152_t3,1.0
C_timber_node8node152_t4,1.0
C_timber_node8node152_t5,1.0
C_wide_node8node152_t0,0.0
C_wide_node8node152_t1,1.0
C_wide_node8node152_t2,1.0
C_wide_node8node152_t3,1.0
C_wide_node8node152_t4,1.0
C_wide_node8node152_t5,1.0
C_timber_node9node90_t0,0.0
C_timber_node9node90_t1,1.0
C_timber_node9node90_t2,1.0
C_timber_node9node90_t3,1.0
C_timber_node9node90_t4,1.0
C_timber_node9node90_t5,1.0
C_wide_node9node90_t0,0.0
C_wide_node9node90_t1,1.0
C_wide_node9node90_t2,1.0
C_wide_node9node90_t3,1.0
C_wide_node9node90_t4,1.0
C_wide_node9node90_t5,1.0
C_timber_node9node66_t0,0.0
C_timber_node9node66_t1,1.0
C_timber_node9node66_t2,1.0
C_timber_node9node66_t3,1.0
C_timber_node9node66_t4,1.0
C_timber_node9node66_t5,1.0
C_wide_node9node66_t0,0.0
C_wide_node9node66_t1,1.0
C_wide_node9node66_t2,1.0
C_wide_node9node66_t3,1.0
C_wide_node9node66_t4,1.0
C_wide_node9node66_t5,1.0
C_timber_node9node94_t0,0.0
C_timber_node9node94_t1,1.0
C_timber_node9node94_t2,1.0
C_timber_node9node94_t3,1.0
C_timber_node9node94_t4,1.0
C_timber_node9node94_t5,1.0
C_wide_node9node94_t0,0.0
C_wide_node9node94_t1,1.0
C_wide_node9node94_t2,1.0
C_wide_node9node94_t3,1.0
C_wide_node9node94_t4,1.0
C_wide_node9node94_t5,1.0
C_timber_node9node21_t0,0.0
C_timber_node9node21_t1,1.0
C_timber_node9node21_t2,1.0
C_timber_node9node21_t3,1.0
C_timber_node9node21_t4,1.0
C_timber_node9node21_t5,1.0
C_wide_node9node21_t0,0.0
C_wide_node9node21_t1,1.0
C_wide_node9node21_t2,1.0
C_wide_node9node21_t3,1.0
C_wide_node9node21_t4,1.0
C_wide_node9node21_t5,1.0
C_timber_node9node177_t0,0.0
C_timber_node9node177_t1,1.0
C_timber_node9node177_t2,1.0
C_timber_node9node177_t3,1.0
C_timber_node9node177_t4,1.0
C_timber_node9node177_t5,1.0
C_wide_node9node177_t0,0.0
C_wide_node9node177_t1,1.0
C_wide_node9node177_t2,1.0
C_wide_node9node177_t3,1.0
C_wide_node9node177_t4,1.0
C_wide_node9node177_t5,1.0
C_timber_node9node181_t0,0.0
C_timber_node9node181_t1,1.0
C_timber_node9node181_t2,1.0
C_timber_node9node181_t3,1.0
C_timber_node9node181_t4,1.0
C_timber_node9node181_t5,1.0
C_wide_node9node181_t0,0.0
C_wide_node9node181_t1,1.0
C_wide_node9node181_t2,1.0
C_wide_node9node181_t3,1.0
C_wide_node9node181_t4,1.0
C_wide_node9node181_t5,1.0
C_timber_node9node183_t0,0.0
C_timber_node9node183_t1,1.0
C_timber_node9node183_t2,1.0
C_timber_node9node183_t3,1.0
C_timber_node9node183_t4,1.0
C_timber_node9node183_t5,1.0
C_wide_node9node183_t0,0.0
C_wide_node9node183_t1,1.0
C_wide_node9node183_t2,1.0
C_wide_node9node183_t3,1.0
C_wide_node9node183_t4,1.0
C_wide_node9node183_t5,1.0
C_timber_node9node184_t0,0.0
C_timber_node9node184_t1,1.0
C_timber_node9node184_t2,1.0
C_timber_node9node184_t3,1.0
C_timber_node9node184_t4,1.0
C_timber_node9node184_t5,1.0
C_wide_node9node184_t0,0.0
C_wide_node9node184_t1,1.0
C_wide_node9node184_t2,1.0
C_wide_node9node184_t3,1.0
C_wide_node9node184_t4,1.0
C_wide_node9node184_t5,1.0
C_timber_node10node110_t0,0.0
C_timber_node10node110_t1,1.0
C_timber_node10node110_t2,1.0
C_timber_node10node110_t3,1.0
C_timber_node10node110_t4,1.0
C_timber_node10node110_t5,1.0
C_wide_node10node110_t0,0.0
C_wide_node10node110_t1,1.0
C_wide_node10node110_t2,1.0
C_wide_node10node110_t3,1.0
C_wide_node10node110_t4,1.0
C_wide_node10node110_t5,1.0
C_timber_node10node109_t0,0.0
C_timber_node10node109_t1,1.0
C_timber_node10node109_t2,1.0
C_timber_node10node109_t3,1.0
C_timber_node10node109_t4,1.0
C_timber_node10node109_t5,1.0
C_wide_node10node109_t0,0.0
C_wide_node10node109_t1,1.0
C_wide_node10node109_t2,1.0
C_wide_node10node109_t3,1.0
C_wide_node10node109_t4,1.0
C_wide_node10node109_t5,1.0
C_timber_node10node26_t0,0.0
C_timber_node10node26_t1,1.0
C_timber_node10node26_t2,1.0
C_timber_node10node26_t3,1.0
C_timber_node10node26_t4,1.0
C_timber_node10node26_t5,1.0
C_wide_node10node26_t0,0.0
C_wide_node10node26_t1,1.0
C_wide_node10node26_t2,1.0
C_wide_node10node26_t3,1.0
C_wide_node10node26_t4,1.0
C_wide_node10node26_t5,1.0
C_timber_node10node155_t0,0.0
C_timber_node10node155_t1,1.0
C_timber_node10node155_t2,1.0
C_timber_node10node155_t3,1.0
C_timber_node10node155_t4,1.0
C_timber_node10node155_t5,1.0
C_wide_node10node155_t0,0.0
C_wide_node10node155_t1,1.0
C_wide_node10node155_t2,1.0
C_wide_node10node155_t3,1.0
C_wide_node10node155_t4,1.0
C_wide_node10node155_t5,1.0
C_timber_node10node156_t0,0.0
C_timber_node10node156_t1,1.0
C_timber_node10node156_t2,1.0
C_timber_node10node156_t3,1.0
C_timber_node10node156_t4,1.0
C_timber_node10node156_t5,1.0
C_wide_node10node156_t0,0.0
C_wide_node10node156_t1,1.0
C_wide_node10node156_t2,1.0
C_wide_node10node156_t3,1.0
