Node,Stand
"(-18628.85298, 146872.55101)","[1057, 1058]"
"(-18664.58258, 146910.24331)","[1057, 1058]"
"(-18661.80318, 146977.90141)","[1057, 1058]"
"(-18659.13738, 147033.24811)","[1057, 1058]"
"(-18680.36808, 147096.88581)","[1057, 1058]"
"(-18626.74768, 147128.92811)","[1057, 1058]"
"(-18590.12938, 147186.07631)","[1057, 1058]"
"(-18552.28148, 147212.14501)","[1057, 1058]"
"(-18520.36248, 147246.49781)","[1057, 1058]"
"(-18473.64028, 147244.16981)","[1057, 1058]"
"(-18420.35258, 147301.50311)","[1057, 1058]"
"(-18431.46878, 147344.75631)","[1057, 1058]"
"(-18517.82608, 147302.29581)","[1057, 1058]"
"(-18554.94398, 147335.81511)","[1057, 1058, 1059]"
"(-18528.44428, 147407.81341)","[1057, 1059]"
"(-18517.75948, 147458.31851)",[1057]
"(-18457.82808, 147509.77691)",[1057]
"(-18371.54502, 147496.48317)",[1057]
"(-18327.43448, 147489.68701)",[1057]
"(-18328.30488, 147436.13891)",[1057]
"(-18338.41988, 147375.39131)",[1057]
"(-18353.27278, 147296.24901)",[1057]
"(-18362.00208, 147248.11681)",[1057]
"(-18379.60698, 147188.71071)",[1057]
"(-18409.00698, 147126.23381)",[1057]
"(-18425.05698, 147069.34801)",[1057]
"(-18453.72578, 147068.08621)","[1057, 1572]"
"(-18460.55738, 147074.75061)","[1057, 1572]"
"(-18463.41318, 147076.75021)","[1057, 1572]"
"(-18466.57278, 147078.22361)","[1057, 1572]"
"(-18469.94018, 147079.12591)","[1057, 1572]"
"(-18473.41348, 147079.42971)","[1057, 1572]"
"(-18548.41078, 147079.42771)","[1057, 1572]"
"(-18551.88328, 147079.12391)","[1057, 1572]"
"(-18555.25068, 147078.22161)","[1057, 1572]"
"(-18558.41028, 147076.74821)","[1057, 1572]"
"(-18561.26608, 147074.74851)","[1057, 1572]"
"(-18572.60238, 147063.51951)","[1057, 1572]"
"(-18613.72878, 147022.28421)","[1057, 1572]"
"(-18615.72838, 147019.42841)","[1057, 1572]"
"(-18617.20178, 147016.26881)","[1057, 1572]"
"(-18618.10408, 147012.90141)","[1057, 1572]"
"(-18618.40778, 147008.33031)","[1057, 1572]"
"(-18618.40768, 146990.36841)","[1057, 1572]"
"(-18618.40738, 146954.38501)","[1057, 1572]"
"(-18618.40718, 146939.02031)","[1057, 1572]"
"(-18618.40678, 146886.57341)","[1057, 1572]"
"(-18618.40668, 146872.07421)","[1057, 1058, 1572]"
"(-18349.70861, 147493.11881)",[1057]
"(-18526.08505, 147418.96507)",[1057]
"(-18802.40848, 147088.83331)","[1058, 1059, 1572]"
"(-18775.00478, 147113.86821)","[1058, 1059]"
"(-18742.78718, 147154.63801)","[1058, 1059]"
"(-18711.57758, 147188.16721)","[1058, 1059]"
"(-18675.60518, 147220.37311)","[1058, 1059]"
"(-18636.88328, 147251.80711)","[1058, 1059]"
"(-18601.53288, 147287.15691)","[1058, 1059]"
"(-18618.40598, 146792.72141)","[1058, 1572]"
"(-18650.95088, 146760.17531)","[1058, 1572]"
"(-18656.68818, 146754.43791)","[1058, 1572]"
"(-18690.11758, 146754.43701)","[1058, 1572]"
"(-18753.39938, 146817.71661)","[1058, 1572]"
"(-18753.40088, 146984.42521)","[1058, 1572]"
"(-18753.70458, 146987.89801)","[1058, 1572]"
"(-18756.08028, 146994.42491)","[1058, 1572]"
"(-18762.63098, 147001.93931)","[1058, 1572]"
"(-18778.40018, 147017.70791)","[1058, 1572]"
"(-18778.40048, 147034.42251)","[1058, 1572]"
"(-18778.70428, 147037.89531)","[1058, 1572]"
"(-18779.60658, 147041.26271)","[1058, 1572]"
"(-18781.07988, 147044.42231)","[1058, 1572]"
"(-18783.07958, 147047.27811)","[1058, 1572]"
"(-18786.03278, 147050.33891)","[1058, 1572]"
"(-18787.85718, 147052.16321)","[1058, 1572]"
"(-18794.80638, 147069.53131)","[1058, 1572]"
"(-18801.46328, 147086.17261)","[1058, 1572]"
"(-19097.11088, 146823.39841)","[1059, 1572]"
"(-19139.33918, 146841.21671)","[1059, 1572]"
"(-19195.37578, 146865.04841)","[1059, 1572]"
"(-19231.75608, 146887.53801)","[1059, 1572]"
"(-19228.38178, 146917.75341)","[1059, 1572]"
"(-19228.38218, 146958.11091)","[1059, 1572]"
"(-19210.73728, 147025.82851)","[1059, 1572]"
"(-19203.00048, 147018.24101)",[1059]
"(-19183.35108, 147001.87951)",[1059]
"(-19117.02818, 147007.14791)",[1059]
"(-19059.87808, 147076.99811)",[1059]
"(-19048.11618, 147113.53311)",[1059]
"(-18986.82408, 147156.72051)",[1059]
"(-18944.66998, 147192.25351)",[1059]
"(-18885.17248, 147225.85001)",[1059]
"(-18843.16358, 147258.68911)",[1059]
"(-18805.16058, 147297.25081)",[1059]
"(-18765.18418, 147336.63231)",[1059]
"(-18702.77448, 147356.04291)",[1059]
"(-18670.30778, 147327.55191)",[1059]
"(-18634.01428, 147349.87801)",[1059]
