"Source(x,y)","Target(x,y)",edgelength,has_exit,has_source,Build5m,Maintain5m,Build10m,Maintain10m,Upgrade,slope,removed_nodes
"(-17542.67288, 146564.22581)","(-17520.51398, 146554.96541)",0.027426589394557298,False,False,132,52,199,52,99,False,"[(-17530.76668, 146552.31951)]"
"(-17542.67288, 146564.22581)","(-18966.52545, 146695.62804)",2.8786944281525146,True,False,13903,5410,20860,5410,10430,False,"[(-18377.42868, 146979.83101), (-18371.51418, 146971.67641), (-18348.49338, 146939.93661), (-18321.35248, 146927.68011), (-18413.65208, 147008.33641), (-18540.23228, 147067.75681)]"
"(-17542.67288, 146564.22581)","(-17486.79808, 146482.17391)",0.7578612074816464,False,False,5696,2034,8541,2034,4271,False,"[(-17541.54848, 146551.59191), (-17520.38178, 146523.47991), (-17508.80618, 146509.92001), (-17505.14358, 146494.22151), (-17525.71428, 146402.64631), (-17599.66398, 146269.32121), (-17604.56828, 146251.06211), (-17609.47498, 146232.79311), (-17600.11818, 146203.32611), (-17589.82178, 146184.40471), (-17570.98338, 146184.68021), (-17570.98338, 146205.84701), (-17575.84408, 146258.41671), (-17568.70768, 146274.61291), (-17508.90038, 146366.95831), (-17493.02538, 146413.26041), (-17487.34818, 146476.35811)]"
"(-17542.67288, 146564.22581)","(-17542.51608, 146359.17629)",0.0,False,True,0,0,0,0,0,False,
"(-17520.51398, 146554.96541)","(-17542.67288, 146564.22581)",0.027426589394557298,False,False,132,52,199,52,99,False,"[(-17530.76668, 146552.31951)]"
"(-17520.51398, 146554.96541)","(-17928.43238, 146922.19301)",0.6036878133929636,False,False,2918,1135,4374,1135,2189,False,"[(-17928.43188, 146892.73411), (-17907.83308, 146851.53791), (-17863.40388, 146794.53951)]"
"(-17520.51398, 146554.96541)","(-17486.79808, 146482.17391)",0.08187771421251085,False,False,615,219,922,219,460,False,"[(-17486.35938, 146486.98821), (-17499.00868, 146524.57171), (-17514.15628, 146547.81291), (-17518.18898, 146552.34971)]"
"(-17520.51398, 146554.96541)","(-17542.51608, 146359.17629)",0.0,False,True,0,0,0,0,0,False,
"(-18966.52545, 146695.62804)","(-17542.67288, 146564.22581)",2.8786944281525146,True,False,13903,5410,20860,5410,10430,False,"[(-18377.42868, 146979.83101), (-18371.51418, 146971.67641), (-18348.49338, 146939.93661), (-18321.35248, 146927.68011), (-18413.65208, 147008.33641), (-18540.23228, 147067.75681)]"
"(-18966.52545, 146695.62804)","(-19210.73728, 147025.82851)",4.909797609728692,True,False,23720,9228,35574,9228,17798,False,"[(-19258.87588, 146961.48921), (-19259.53728, 146913.86411), (-19254.90708, 146871.00151), (-19250.27688, 147001.17681)]"
"(-17486.79808, 146482.17391)","(-17542.67288, 146564.22581)",0.7578612074816464,False,False,5696,2034,8541,2034,4271,False,"[(-17541.54848, 146551.59191), (-17520.38178, 146523.47991), (-17508.80618, 146509.92001), (-17505.14358, 146494.22151), (-17525.71428, 146402.64631), (-17599.66398, 146269.32121), (-17604.56828, 146251.06211), (-17609.47498, 146232.79311), (-17600.11818, 146203.32611), (-17589.82178, 146184.40471), (-17570.98338, 146184.68021), (-17570.98338, 146205.84701), (-17575.84408, 146258.41671), (-17568.70768, 146274.61291), (-17508.90038, 146366.95831), (-17493.02538, 146413.26041), (-17487.34818, 146476.35811)]"
"(-17486.79808, 146482.17391)","(-17700.53258, 147262.18621)",1.9966074715270403,True,False,9648,3752,14466,3752,7233,False,"[(-17641.94578, 147307.68181), (-17601.76638, 147350.66611), (-17506.84568, 147473.94921), (-17600.68618, 147287.69801), (-17602.49058, 147182.63111), (-17609.86744, 147174.39673), (-17478.29188, 146941.60731), (-17448.72114, 146632.89142), (-17455.97578, 146574.31271), (-17456.90848, 146520.70001), (-17456.76198, 146520.49791)]"
"(-17486.79808, 146482.17391)","(-17520.51398, 146554.96541)",0.08187771421251085,False,False,615,219,922,219,460,False,"[(-17486.35938, 146486.98821), (-17499.00868, 146524.57171), (-17514.15628, 146547.81291), (-17518.18898, 146552.34971)]"
"(-17486.79808, 146482.17391)","(-17542.51608, 146359.17629)",0.0,False,True,0,0,0,0,0,False,
"(-17542.51608, 146359.17629)","(-17542.67288, 146564.22581)",0.0,False,True,0,0,0,0,0,False,
"(-17542.51608, 146359.17629)","(-17486.79808, 146482.17391)",0.0,False,True,0,0,0,0,0,False,
"(-17542.51608, 146359.17629)","(-17520.51398, 146554.96541)",0.0,False,True,0,0,0,0,0,False,
"(-17928.43238, 146922.19301)","(-17700.53258, 147262.18621)",0.4136794678702402,True,False,1999,777,2999,777,1498,False,"[(-17761.77548, 147165.97751), (-17748.90798, 147206.88271), (-17796.81388, 147114.28331)]"
"(-17928.43238, 146922.19301)","(-17520.51398, 146554.96541)",0.6036878133929636,False,False,2918,1135,4374,1135,2189,False,"[(-17928.43188, 146892.73411), (-17907.83308, 146851.53791), (-17863.40388, 146794.53951)]"
"(-17928.43238, 146922.19301)","(-18453.72578, 147068.08621)",0.7522663650534228,False,False,3635,1420,5447,1420,2728,False,"[(-18191.92658, 147044.22011), (-18190.49628, 147045.66771), (-18188.67858, 147047.46831), (-18186.28028, 147049.75891), (-18183.42448, 147051.75861), (-18181.52848, 147052.64281), (-18180.26488, 147053.23201), (-18176.89748, 147054.13431), (-18173.42498, 147054.43811), (-18157.00568, 147054.43851), (-18121.47158, 147064.67901), (-18111.28338, 147074.75991), (-18108.42748, 147076.75951), (-18193.43328, 147042.71351), (-18443.62148, 147057.92291), (-18450.67018, 147064.97131)]"
"(-17700.53258, 147262.18621)","(-17928.43238, 146922.19301)",0.4136794678702402,True,False,1999,777,2999,777,1498,False,"[(-17761.77548, 147165.97751), (-17748.90798, 147206.88271), (-17796.81388, 147114.28331)]"
