"Node1(x,y)","Node2(x,y)"
"(-17405.73938, 147890.38361)","(-17352.28718, 147913.28981)"
"(-17405.73938, 147890.38361)","(-17498.36898, 147846.90421)"
"(-17958.58898, 147990.83771)","(-17986.16448, 148000.66701)"
"(-17958.58898, 147990.83771)","(-17956.85078, 147990.21831)"
"(-18971.67008, 148510.89231)","(-18989.46028, 148511.43291)"
"(-18971.67008, 148510.89231)","(-18942.56588, 148514.19961)"
"(-17525.28588, 146564.07521)","(-17520.51398, 146554.96541)"
"(-17525.28588, 146564.07521)","(-17538.70418, 146589.69201)"
"(-19491.84198, 149435.48061)","(-19481.10768, 149402.20461)"
"(-19491.84198, 149435.48061)","(-19513.33258, 149485.75241)"
"(-16602.94848, 146743.66131)","(-16590.82228, 146806.67931)"
"(-16602.94848, 146743.66131)","(-16575.59628, 146694.55491)"
"(-18883.69608, 147929.38501)","(-18900.04998, 147922.06001)"
"(-18883.69608, 147929.38501)","(-18850.53988, 147935.53781)"
"(-18665.19458, 147947.50111)","(-18683.96498, 147963.34571)"
"(-18665.19458, 147947.50111)","(-18634.06608, 147921.22471)"
"(-18065.24298, 147344.37211)","(-18059.41548, 147396.22821)"
"(-18065.24298, 147344.37211)","(-18074.16275, 147339.49982)"
"(-19093.36068, 148487.20631)","(-19096.76038, 148486.90261)"
"(-19093.36068, 148487.20631)","(-19077.90838, 148487.20681)"
"(-18570.03398, 147048.50901)","(-18569.88648, 147048.60431)"
"(-18570.03398, 147048.50901)","(-18579.73648, 147042.24251)"
"(-19760.06458, 149997.13281)","(-19743.34958, 149997.13331)"
"(-19760.06458, 149997.13281)","(-19773.34808, 149983.84891)"
"(-19709.04948, 150022.99031)","(-19698.23948, 150106.69421)"
"(-19044.43058, 148656.68171)","(-19010.03468, 148676.25721)"
"(-19044.43058, 148656.68171)","(-19101.22458, 148656.68011)"
"(-18193.43328, 147042.71351)","(-18202.97258, 147038.49071)"
"(-18193.43328, 147042.71351)","(-18191.92658, 147044.22011)"
"(-18944.72038, 147088.75871)","(-18859.68318, 147082.53871)"
"(-18944.72038, 147088.75871)","(-18953.33028, 147083.12891)"
"(-18045.72498, 147082.68581)","(-18014.92428, 147073.15941)"
"(-18045.72498, 147082.68581)","(-18059.05598, 147077.08031)"
"(-18858.08668, 148071.52251)","(-18856.08718, 148074.37831)"
"(-18858.08668, 148071.52251)","(-18888.92988, 148040.57061)"
"(-18922.72208, 148530.07461)","(-18942.56588, 148514.19961)"
"(-18922.72208, 148530.07461)","(-18924.70648, 148559.17891)"
"(-18572.60238, 147063.51951)","(-18561.26608, 147074.74851)"
"(-18572.60238, 147063.51951)","(-18613.72878, 147022.28421)"
"(-18625.37518, 147913.70291)","(-18634.06608, 147921.22471)"
"(-18625.37518, 147913.70291)","(-18604.90518, 147891.34761)"
