"Node1(x,y)","Node2(x,y)",edgelength,slope,has_exit,has_source
"(-18986.96308, 148470.23741)","(-18985.03978, 148472.16081)",0.0027200276561107255,21.9857,False,False
"(-18986.96308, 148470.23741)","(-18999.48308, 148457.71711)",0.017706165934219226,21.9857,False,False
"(-19007.95698, 148504.87951)","(-19010.93028, 148502.05271)",0.004102598095117813,21.9857,False,False
"(-19007.95698, 148504.87951)","(-19005.76358, 148506.92051)",0.002996111573354709,21.9857,False,False
"(-19287.00428, 148710.30451)","(-19285.18028, 148706.53631)",0.004186443268448366,21.9857,False,False
"(-19287.00428, 148710.30451)","(-19287.90658, 148713.67181)",0.00348609445943182,21.9857,False,False
"(-19095.49528, 146822.71501)","(-19074.37168, 146806.44111)",0.026665451396328577,22.5754,False,False
"(-19095.49528, 146822.71501)","(-19097.11088, 146823.39841)",0.0017541946642193734,22.5754,False,False
"(-18618.10408, 147012.90141)","(-18617.20178, 147016.26881)",0.003486191051867323,22.5754,False,False
"(-18618.10408, 147012.90141)","(-18618.40778, 147008.33031)",0.004581177676101376,22.5754,False,False
"(-18836.26398, 147949.70661)","(-18836.82598, 147949.19161)",0.0007622788203710911,19.5514,False,False
"(-18836.26398, 147949.70661)","(-18833.40818, 147951.70621)",0.0034862578504819696,19.5514,False,False
"(-19164.74038, 148597.45501)","(-19161.37288, 148598.35741)",0.0034863135272070814,21.9857,False,False
"(-19164.74038, 148597.45501)","(-19165.86028, 148597.35711)",0.0011241709923326087,21.9857,False,False
"(-19048.11618, 147113.53311)","(-19059.87808, 147076.99811)",0.03838161690979421,28.4035,False,False
"(-19048.11618, 147113.53311)","(-18986.82408, 147156.72051)",0.07497915070986332,28.4035,True,False
"(-19064.03198, 146670.45111)","(-19062.03528, 146665.06021)",0.005748792368835624,22.5754,False,False
"(-19064.03198, 146670.45111)","(-19064.11908, 146670.68611)",0.0002506220461316712,22.5754,False,False
"(-19161.64128, 146829.99101)","(-19125.26098, 146810.14721)",0.041440350222098105,22.5754,False,False
"(-19161.64128, 146829.99101)","(-19188.76118, 146843.22021)",0.030174504281762837,22.5754,False,False
"(-17746.93568, 147577.49581)","(-17775.23268, 147544.70041)",0.04331579931341805,11.791,False,False
"(-17746.93568, 147577.49581)","(-17710.92128, 147628.73071)",0.06262628829310472,11.791,False,False
"(-18996.98688, 147049.96501)","(-18990.24688, 147058.99021)",0.011264183727175381,22.5754,False,False
"(-18996.98688, 147049.96501)","(-19010.14078, 147032.40471)",0.021940583886953628,22.5754,False,False
"(-17383.47268, 146512.73251)","(-17431.09778, 146484.95121)",0.05513574865457291,16.6009,False,False
"(-17383.47268, 146512.73251)","(-17301.45168, 146548.45131)",0.08946103685091222,16.6009,False,False
"(-19022.50678, 146691.73231)","(-19017.26798, 146693.88951)",0.005665557102356348,22.5754,False,False
"(-19022.50678, 146691.73231)","(-19050.99338, 146693.54971)",0.02854451475012336,22.5754,False,False
"(-18594.43168, 146804.94411)","(-18594.01188, 146806.41341)",0.0015280950657580235,22.5754,False,False
"(-18594.43168, 146804.94411)","(-18596.18688, 146798.80011)",0.0063897936617704236,22.5754,False,False
"(-18709.07058, 147715.48711)","(-18731.56028, 147722.10161)",0.02344223147101014,22.5754,False,False
"(-18709.07058, 147715.48711)","(-18697.16438, 147719.45581)",0.012550226218289544,22.5754,False,False
"(-18478.80868, 147949.97921)","(-18486.09498, 147944.46571)",0.00913722331674452,11.791,False,False
"(-18478.80868, 147949.97921)","(-18477.94248, 147949.63361)",0.0009325994853069347,11.791,False,False
"(-18106.36828, 148470.90731)","(-18151.38888, 148487.00331)",0.047811459299624784,19.5514,False,False
"(-18106.36828, 148470.90731)","(-18150.73598, 148419.28221)",0.06807087301703066,19.5514,False,False
"(-18618.40778, 147008.33031)","(-18618.40768, 146990.36841)",0.01796190000027315,22.5754,False,False
"(-18813.40528, 147667.12811)","(-18819.93228, 147664.75251)",0.006945876788427898,22.5754,False,False
"(-18813.40528, 147667.12811)","(-18803.14208, 147676.42771)",0.013849759362527643,22.5754,False,False
"(-19312.52038, 148783.25331)","(-19290.44748, 148761.00281)",0.03134162830262473,21.9857,False,False
"(-19312.52038, 148783.25331)","(-19328.67188, 148799.36141)",0.022811002561491926,21.9857,False,False
"(-18024.86098, 147104.31481)","(-18030.27108, 147103.23381)",0.005517041146301446,11.791,False,False
"(-18024.86098, 147104.31481)","(-18019.95778, 147104.13611)",0.004906455332519907,11.791,False,False
"(-18893.85978, 148523.25721)","(-18892.68948, 148559.54371)",0.03630536715609804,21.9857,False,False
"(-18893.85978, 148523.25721)","(-18903.22398, 148493.99341)",0.030725530623260004,21.9857,False,False
"(-18788.51668, 147719.44861)","(-18799.31908, 147714.04711)",0.01207758452712189,22.5754,False,False
"(-18788.51668, 147719.44861)","(-18768.51668, 147729.44911)",0.02236090338626534,22.5754,False,False
"(-18362.00208, 147248.11681)","(-18353.27278, 147296.24901)",0.04891737273535124,11.791,False,False
"(-18362.00208, 147248.11681)","(-18379.60698, 147188.71071)",0.06195980326969436,11.791,False,False
"(-19318.63288, 148920.61331)","(-19350.36988, 148981.48111)",0.06864492877001706,21.9857,False,False
"(-19318.63288, 148920.61331)","(-19306.14368, 148894.78911)",0.028685700658666824,21.9857,False,False
"(-18656.68818, 146754.43791)","(-18650.95088, 146760.17531)",0.008113838182378288,22.5754,False,False
"(-18656.68818, 146754.43791)","(-18690.11758, 146754.43701)",0.033429400012112344,22.5754,False,False
"(-17564.72388, 146629.03351)","(-17559.30218, 146623.61201)",0.0076673002510657465,22.5754,False,False
"(-17564.72388, 146629.03351)","(-17576.58668, 146640.89591)",0.01677624980737908,22.5754,False,False
"(-18360.42008, 148395.34201)","(-18374.92438, 148391.59321)",0.014980928540314981,19.5514,False,False
"(-18360.42008, 148395.34201)","(-18351.60798, 148394.18131)",0.008888213031871811,19.5514,False,False
"(-19730.49448, 150001.81241)","(-19709.04948, 150022.99031)",0.030139533397336545,21.9857,False,False
"(-19730.49448, 150001.81241)","(-19736.50978, 149998.33941)",0.00694590261162497,21.9857,False,False
"(-19068.08628, 146987.94391)","(-19067.18398, 146991.31131)",0.0034861910518382694,22.5754,False,False
"(-19068.08628, 146987.94391)","(-19068.39008, 146984.41791)",0.003539063497606334,22.5754,False,False
"(-19285.18028, 148706.53631)","(-19283.18068, 148703.68061)",0.0034861759350202125,21.9857,False,False
"(-17814.36968, 146785.82141)","(-17807.09698, 146786.29371)",0.00728801979827264,22.5754,False,False
"(-17814.36968, 146785.82141)","(-17826.19928, 146787.32361)",0.01192459814836485,22.5754,False,False
"(-18244.39298, 147128.87731)","(-18227.10607, 147145.0478)",0.023671121734886644,11.791,False,False
"(-18244.39298, 147128.87731)","(-18295.58798, 147099.80971)",0.05887149900215313,11.791,False,False
