UG,Rait
81,0.8199
111,1.6454
114,1.4971
116,0.8948
116,1.1633
133,1.347
145,1.3968
149,0.571
149,0.4283
171,1.5378
174,1.5487
188,0.5773
200,0.551
239,1.5135
322,0.886
334,1.4498
338,0.5758
340,0.0795
340,0.2584
340,1.3608
343,0.6947
343,0.3242
412,1.1482
412,0.3827
473,0.5074
477,0.8392
478,1.4491
478,1.4491
495,1.5985
495,0.7612
499,0.2683
533,0.8426
542,1.2953
549,1.3027
568,0.9028
570,0.7647
601,1.4979
608,1.2287
633,1.6713
642,1.316
644,0.6635
644,0.7961
656,1.0975
657,1.241
657,0.9308
660,0.4327
667,0.7986
671,0.1424
703,0.9491
706,1.1762
721,0.3221
739,0.5053
824,1.6361
825,1.261
835,0.8638
883,1.1755
903,1.6094
904,0.9903
904,1.4811
920,1.0148
949,1.4497
956,0.3604
977,0.7244
1013,1.6501
1043,1.7165
1134,0.6758
1206,1.4711
1248,0.9007
1322,0.7654
1330,1.243
1331,1.1476
1337,1.0175
1337,1.4151
1340,1.2781
1381,1.761
1385,0.4634
1385,0.6224
1386,1.0319
1387,1.0914
1387,1.484
1388,0.8088
1388,0.871
1394,1.154
1394,1.731
1394,1.0676
1394,0.4271
1403,0.8605
1403,0.4016
1403,1.5712
1404,0.6779
1415,1.1774
1420,1.6717
1440,0.678
1456,1.4438
1461,0.5251
1462,0.7282
1463,1.1822
1514,0.5248
1526,0.958
1541,1.2426
1555,1.486
1558,0.5109
1559,0.6098
1563,0.4255
1568,0.475
1577,1.0383
1580,0.2202
1581,0.9486
1582,0.3642
1583,0.7415
1584,0.4096
1600,1.4511
1626,1.6942
1626,0.9897
