UG,Rait
46,1.9587
66,1.938
81,1.0722
133,2.4814
149,1.9035
163,1.7177
175,1.8251
239,1.5135
340,0.7155
340,2.2316
343,1.3895
412,1.9136
451,2.3388
477,1.7548
533,1.6851
549,0.6203
568,1.7152
570,1.8352
608,1.8698
639,2.5419
655,1.8612
656,1.0975
660,0.3894
667,0.9865
671,0.4402
703,1.7625
706,2.1843
718,2.3988
739,0.5319
777,1.1858
816,2.0268
835,0.9178
883,1.6458
899,2.2371
903,1.4944
904,0.9903
908,1.6879
956,2.5951
977,0.9658
1326,2.0017
1337,0.9539
1385,1.0426
1386,1.1007
1387,1.5876
1388,0.8088
1394,1.815
1395,1.8077
1403,1.721
1403,2.1996
1420,1.6717
1502,2.2138
1545,2.5173
1554,2.5575
1555,0.8256
1556,2.268
1557,0.9446
1558,0.4644
1559,0.5082
1560,1.0465
1561,1.3193
1562,1.8394
1563,0.3869
1568,0.3393
1569,2.6162
1575,2.2509
1577,0.5768
1580,0.2002
1581,0.6776
1582,0.3311
1583,0.6741
1584,0.273
1586,1.0105
1587,1.7308
1622,2.5043
1623,1.7478
1626,1.142
