UG,Rait
81,1.0091
149,1.9035
166,0.6724
200,1.3775
239,1.9263
340,0.4571
340,1.5785
343,1.3895
351,0.8425
412,1.9136
477,1.7548
495,1.4463
498,0.7283
533,1.037
549,1.2407
568,1.2639
570,1.3254
608,1.4958
656,0.5487
656,0.5487
660,0.4327
667,1.1745
671,0.3108
703,1.5592
719,0.6358
739,0.5319
780,0.5463
816,0.608
819,0.7908
835,1.2417
836,1.5843
883,1.4107
899,0.6711
900,1.0369
903,1.9543
904,0.8583
904,0.132
975,0.7336
977,1.159
1184,1.7704
1206,0.8801
1247,1.51
1320,0.6631
1337,0.4451
1337,0.5723
1383,0.5893
1385,0.695
1386,0.9631
1386,0.1376
1387,1.3891
1387,0.1984
1388,0.8088
1388,0.1155
1394,1.3879
1395,0.319
1403,0.8031
1403,1.8854
1420,1.7956
1437,0.7037
1439,0.8155
1514,1.312
1545,0.5035
1547,1.3294
1547,1.8992
1555,1.5686
1558,0.6037
1559,0.7114
1563,0.5416
1568,0.5767
1577,1.1537
1580,0.2403
1581,1.0841
1582,0.3973
1583,0.9437
1584,0.4642
1623,1.9558
1626,0.4568
1626,0.5329
