UG,Rait
46,1.9071
66,1.938
81,0.6307
111,1.6454
133,1.0635
149,1.9035
161,2.0805
163,1.503
188,2.2266
233,1.8443
239,1.3759
340,0.7155
340,1.3608
343,1.3895
359,1.8526
412,1.9136
421,1.6273
477,0.763
480,1.9263
533,0.8426
549,1.3027
568,0.9028
570,0.7647
585,1.8445
608,0.8548
633,1.6713
639,1.8156
656,1.0975
660,0.4327
665,1.9176
667,0.7047
671,0.2072
703,1.0169
706,1.1762
716,1.8435
734,1.8769
739,0.4255
816,2.0268
819,1.9771
835,0.8638
870,1.222
883,1.1755
903,1.2645
904,0.6602
908,2.0255
977,0.821
1041,2.1613
1143,1.6078
1187,0.7444
1219,1.3856
1248,2.1988
1326,2.0926
1326,2.047
1337,0.6359
1351,1.968
1385,0.502
1386,1.0319
1387,1.0914
1388,0.8665
1394,1.6015
1395,1.5951
1403,1.721
1403,1.5712
1420,1.6717
1423,1.2123
1449,1.7866
1547,1.8992
1555,1.486
1558,0.5109
1559,0.6098
1563,0.4255
1568,0.475
1577,1.0383
1580,0.2202
1581,0.9486
1582,0.3642
1583,0.7415
1584,0.4096
1585,2.09
1623,1.6645
1626,0.7613
