UG,Rait
46,2.371
66,2.3533
81,1.6398
133,1.6306
149,1.9035
163,1.8251
175,1.8251
239,2.4767
340,0.9937
340,0.8709
343,1.3895
412,1.9136
533,1.9444
549,0.6203
568,1.8958
570,2.2431
608,1.4958
639,2.3603
655,1.6422
656,1.0289
660,0.4327
667,0.7986
671,0.6474
703,2.0337
718,2.5131
739,0.5851
777,1.0946
819,2.5703
835,1.0258
882,2.6175
883,1.7633
884,2.5033
895,2.348
903,1.3795
904,1.1224
956,1.382
977,0.7727
1070,2.57
1248,1.5392
1326,2.2746
1326,0.3612
1328,2.0738
1337,1.0811
1385,0.5406
1386,1.0319
1387,1.3891
1388,0.8088
1395,1.8077
1403,2.2947
1415,2.2173
1420,1.6717
1423,2.4246
1502,2.4352
1554,2.046
1555,0.8256
1556,2.0618
1557,0.8588
1558,0.4644
1559,0.5082
1560,1.0465
1561,1.2178
1562,1.5564
1563,0.3869
1568,0.3393
1569,2.093
1575,2.0463
1577,0.5768
1580,0.2002
1581,0.6776
1582,0.3311
1583,0.6741
1584,0.273
1585,2.4383
1586,0.9263
1587,1.4645
1622,2.5588
1623,1.9142
