UG,Rait
12,1.3419
81,0.8199
111,1.6454
133,1.6306
149,1.9035
163,2.0398
200,2.0204
200,0.551
233,1.8443
239,1.5135
334,1.4498
340,0.0994
340,0.2584
340,1.3608
343,1.3895
359,1.7368
403,1.7252
412,1.9136
421,2.1697
477,0.9918
495,1.6746
495,0.7612
533,0.8426
542,1.2953
549,1.3648
568,0.9028
570,0.7647
601,1.4979
608,1.2287
633,1.6713
639,1.8156
656,1.0975
660,0.4327
667,0.7986
671,0.1683
703,0.9491
706,1.2602
734,2.145
739,0.5053
783,1.8014
824,1.6361
825,0.7566
835,0.8638
846,1.2822
883,1.1755
903,1.6094
904,0.9903
907,2.0719
949,0.9312
969,1.9269
977,0.821
979,2.0964
1013,0.9901
1043,1.7165
1048,1.9859
1134,0.6758
1249,1.4909
1306,1.7904
1323,1.2968
1326,2.1836
1326,2.047
1331,1.1476
1337,1.2382
1337,1.0175
1340,0.821
1376,1.7151
1381,1.3208
1385,0.502
1386,1.0319
1387,1.5876
1388,0.9243
1394,1.0676
1394,0.4271
1395,1.8077
1403,0.8605
1403,0.4016
1403,1.5712
1404,0.5423
1415,1.1774
1420,1.6717
1423,1.8184
1444,1.755
1446,1.9807
1456,0.8663
1463,1.1822
1485,0.9359
1514,0.2624
1526,0.5748
1541,1.2426
1555,1.6511
1558,0.6502
1559,0.7114
1563,0.5416
1568,0.5428
1577,1.1537
1580,0.2403
1581,1.1518
1582,0.4304
1583,0.9437
1584,0.4642
1585,2.09
1623,1.9558
1626,1.2181
