UG,Rait
46,1.9587
81,1.0722
133,2.1269
149,1.9035
163,1.1809
166,2.3534
175,2.0076
239,1.5135
340,0.7751
340,1.9595
343,1.3895
412,1.9136
451,2.0926
477,1.4496
533,1.3611
549,0.6203
568,1.4444
570,1.5803
608,1.6561
639,2.1788
655,2.2991
656,0.7545
660,0.4002
667,1.1745
671,0.3885
703,1.3558
706,1.9323
739,0.5319
777,1.0946
783,1.8014
816,2.4322
819,1.9771
835,1.2957
883,1.1755
903,2.4141
904,0.6602
908,2.3631
956,2.2346
977,1.4005
1326,1.8197
1337,0.6995
1381,1.9551
1383,1.9152
1385,0.7723
1386,1.8575
1387,1.0914
1388,1.2709
1394,0.2135
1394,0.9609
1403,1.721
1403,1.7283
1420,2.1051
1423,2.4246
1437,2.1111
1547,1.8992
1555,0.8256
1556,2.268
1557,0.9446
1558,0.4644
1559,0.5082
1560,1.0465
1561,1.4207
1562,2.2639
1563,0.3869
1568,0.3393
1577,0.5768
1580,0.2002
1581,0.6776
1582,0.3311
1583,0.6741
1584,0.273
1586,1.0105
1587,1.9971
1622,2.0143
1623,1.831
1626,0.7613
