UG,Rait
46,1.9587
66,1.938
81,1.5767
133,1.8433
149,1.9035
163,1.9325
175,1.8251
188,2.309
239,1.7887
340,0.7155
340,0.8709
343,1.3895
412,1.9136
477,1.9837
533,1.9444
549,0.6203
568,1.8958
570,2.345
608,1.4958
639,2.3603
655,1.6422
656,1.3718
660,0.411
667,0.7517
671,0.492
703,1.9659
706,2.4363
739,0.5053
777,1.0946
816,2.2295
835,1.3497
883,1.7633
895,2.348
899,2.2371
903,1.2645
904,1.1224
956,2.1625
977,0.821
1326,1.6832
1337,0.9539
1385,0.3089
1385,0.2317
1386,1.0319
1387,1.9844
1388,0.9243
1395,1.5951
1403,1.721
1403,2.0425
1420,1.6717
1423,2.0609
1502,2.4352
1554,2.046
1555,0.8256
1556,2.0618
1557,0.8588
1558,0.4644
1559,0.5082
1560,1.0465
1561,1.2178
1562,1.5564
1563,0.3869
1568,0.3393
1569,2.093
1575,2.0463
1577,0.5768
1580,0.2002
1581,0.6776
1582,0.3311
1583,0.6741
1584,0.273
1585,1.2191
1586,0.9263
1587,1.4645
1622,2.0688
1623,1.6645
1626,1.142
