UG,Rait
46,2.3195
66,2.3533
81,1.6398
133,2.056
149,1.9035
163,1.8251
175,2.3726
188,3.3811
239,2.4767
338,3.1259
340,0.9937
340,2.3949
343,1.3895
412,1.9136
416,3.3647
421,3.1189
477,3.0518
533,1.9444
549,0.7444
568,1.8958
570,2.345
608,1.4958
639,3.2681
644,3.1846
655,2.4086
657,3.1025
660,0.4327
667,1.8791
671,0.6474
703,2.0337
739,0.5851
777,1.7331
835,1.9436
882,2.6175
883,1.9984
884,2.5033
904,2.6408
956,2.7392
977,1.9317
1238,3.0779
1326,2.0471
1326,2.7695
1337,2.5437
1351,3.1005
1351,3.3304
1385,0.9653
1386,2.7519
1388,2.8885
1403,2.2947
1420,1.6717
1423,2.4246
1502,2.6566
1522,2.6205
1554,3.2395
1555,0.9907
1556,3.0927
1557,1.2881
1558,0.5109
1559,0.559
1560,1.2558
1561,1.8267
1562,2.5469
1563,0.4255
1568,0.4071
1575,3.0695
1577,0.6922
1580,0.2202
1581,0.7453
1582,0.3642
1583,0.6741
1584,0.3823
1586,1.4315
1587,2.3965
1622,2.5588
1623,1.9142
1626,3.0453
