UG,Rait
46,2.4226
66,2.4917
81,1.4506
133,1.1344
149,1.9035
163,1.6104
175,2.7376
204,1.4462
210,1.4598
239,2.7519
340,0.9937
340,1.0886
343,1.3895
412,1.9136
533,1.6851
549,0.7444
568,1.7152
570,1.8352
608,1.9232
639,2.7235
655,2.7371
660,0.4435
667,0.8926
671,0.6474
703,2.0337
718,2.0562
739,0.6383
777,1.8243
813,2.6609
835,0.7019
883,1.7633
903,2.1842
904,1.7826
907,0.607
912,1.5617
956,2.8834
956,0.7897
957,2.0618
977,1.0141
1016,1.6254
1209,2.6933
1246,2.5321
1248,0.8795
1326,2.2291
1326,1.0837
1326,1.6858
1337,2.3529
1385,0.502
1386,1.9263
1387,2.7782
1388,1.6175
1403,2.2373
1403,0.1571
1403,2.0425
1415,0.4927
1420,1.6717
1502,2.2138
1522,2.6205
1555,0.9907
1557,1.2881
1558,0.5109
1559,0.559
1560,1.2558
1561,2.0296
1562,2.8299
1563,0.4255
1568,0.4071
1577,0.6922
1580,0.2202
1581,0.7453
1582,0.3642
1583,0.7415
1584,0.3823
1586,1.5157
1587,2.6628
1622,2.6132
1623,1.9558
1626,2.8169
