UG,Rait
46,2.4226
66,2.4917
81,1.4506
133,1.0635
149,1.9035
163,1.6104
175,1.8251
204,1.4462
210,1.4598
340,0.9937
340,1.9595
340,0.1089
343,1.3895
412,1.9136
533,1.6851
549,0.6203
568,1.7152
570,1.8352
608,1.9232
639,2.5419
655,1.8612
656,0.7545
660,0.4435
667,0.9865
671,0.6474
703,2.0337
739,0.6383
777,1.1858
813,2.6609
816,1.2161
819,2.5703
835,1.9436
883,1.6458
903,1.4944
904,0.7262
912,1.5617
957,2.0618
977,0.9658
1016,1.6254
1206,2.2003
1246,2.5321
1326,2.2746
1337,0.8267
1385,0.9653
1386,1.1007
1387,1.2899
1388,0.751
1395,1.9141
1403,2.2373
1403,0.1571
1403,2.0425
1420,1.6717
1502,2.2138
1522,2.6205
1554,2.5575
1555,0.8256
1556,2.268
1557,0.9446
1558,0.4644
1559,0.5082
1560,1.0465
1561,1.3193
1562,1.8394
1563,0.3869
1568,0.3393
1569,2.6162
1575,2.2509
1577,0.5768
1580,0.2002
1581,0.6776
1582,0.3311
1583,0.6741
1584,0.273
1586,1.0105
1587,1.7308
1622,2.6132
1623,1.9558
