"Node1(x,y)","Node2(x,y)"
"(-16550.03618, 147689.97381)","(-16453.70444, 147389.64412)"
"(-16693.35238, 146526.28581)","(-16678.84838, 146610.41981)"
"(-16693.35238, 146526.28581)","(-16315.2348, 146667.68448)"
"(-16208.79948, 147734.83651)","(-16141.40678, 147958.78931)"
"(-16208.79948, 147734.83651)","(-16169.45507, 147687.01212)"
"(-16208.79948, 147734.83651)","(-16536.90153, 148019.99951)"
"(-16208.79948, 147734.83651)","(-16453.70444, 147389.64412)"
"(-17110.65798, 148246.77701)","(-16141.40678, 147958.78931)"
"(-17110.65798, 148246.77701)","(-16536.90153, 148019.99951)"
"(-16072.25618, 147118.03921)","(-16315.2348, 146667.68448)"
"(-16780.39688, 147276.80341)","(-16453.70444, 147389.64412)"
"(-17060.84918, 146775.06131)","(-16916.14205, 146725.48911)"
"(-15845.98638, 147921.13071)","(-15589.3211, 148200.18474)"
"(-17701.27618, 147951.16761)","(-17801.24868, 148045.81621)"
"(-17701.27618, 147951.16761)","(-17582.79872, 147850.74011)"
"(-17801.24868, 148045.81621)","(-17199.22307, 148257.80144)"
"(-16172.87028, 148309.50001)","(-16088.69238, 148319.21221)"
"(-16088.69238, 148319.21221)","(-15589.3211, 148200.18474)"
"(-16141.40678, 147958.78931)","(-16169.45507, 147687.01212)"
"(-16141.40678, 147958.78931)","(-16536.90153, 148019.99951)"
"(-17433.94138, 147005.35951)","(-17080.29468, 147710.44067)"
"(-16590.82228, 146806.67931)","(-16586.15807, 146922.24105)"
"(-17060.50878, 147750.85001)","(-17089.95265, 147764.77059)"
"(-17060.50878, 147750.85001)","(-17080.29468, 147710.44067)"
"(-17039.64253, 147034.64986)","(-17285.92697, 147096.53142)"
