Node1,Node2,edgelength,slope,Build5m,Maintain5m,Build10m,Maintain10m,Upgrade
"(-13328.9789, 147524.908)","(-13299.1557, 147519.8171)",63.107,24.2,304852.12,118539.26,457278.18,228639.09,118539.26
"(-13328.9789, 147524.908)","(-13424.6551, 147587.0502)",110.561,24.2,534092.48,207677.5,801138.72,400569.36,207677.5
"(-13388.1689, 147826.4816)","(-13454.7064, 147792.4041)",75.52,24.2,364819.06,141856.91,547228.59,273614.3,141856.91
"(-13388.1689, 147826.4816)","(-13394.3005, 147906.117)",137.483,20.5,664144.51,258247.17,996216.76,498108.38,258247.17
"(-12842.938, 147461.4666)","(-12750.4353, 147455.2679)",113.604,20.9,548794.8,213394.37,823192.2,411596.1,213394.37
"(-12842.938, 147461.4666)","(-12770.4799, 147512.9309)",84.581,20.9,408588.15,158876.16,612882.22,306441.11,158876.16
"(-12457.1628, 148140.8267)","(-12497.5541, 148154.9244)",58.009,17.3,280229.06,108964.78,420343.59,210171.8,108964.78
"(-12457.1628, 148140.8267)","(-12440.0214, 148171.5081)",50.452,17.3,243719.79,94768.45,365579.69,182789.84,94768.45
"(-13432.5644, 147928.3389)","(-13394.3005, 147906.117)",84.506,13.0,408229.59,158736.74,612344.38,306172.19,158736.74
"(-13432.5644, 147928.3389)","(-13488.0435, 147907.9249)",59.116,26.5,444224.67,158651.67,666337.01,333168.5,158651.67
"(-13432.5644, 147928.3389)","(-13390.2107, 147954.5934)",53.928,13.0,260512.57,101298.18,390768.85,195384.43,101298.18
"(-13751.5146, 147833.7398)","(-13741.9896, 147807.2814)",52.378,33.6,393595.9,140569.96,590393.84,295196.92,140569.96
"(-13751.5146, 147833.7398)","(-13777.973, 147881.3648)",81.164,33.6,609907.23,217824.01,914860.85,457430.43,217824.01
"(-12507.65, 147050.2155)","(-12511.4617, 147120.627)",70.85,13.0,342260.3,133085.12,513390.44,256695.22,133085.12
"(-12507.65, 147050.2155)","(-12475.1252, 147019.7102)",65.56,13.0,316706.74,123148.83,475060.11,237530.05,123148.83
"(-12326.8017, 147582.5947)","(-12288.0388, 147541.0008)",81.64,21.6,394384.36,153353.14,591576.54,295788.27,153353.14
"(-12326.8017, 147582.5947)","(-12446.4601, 147599.554)",107.785,21.6,520684.59,202463.95,781026.89,390513.45,202463.95
"(-13454.7064, 147792.4041)","(-13509.628, 147777.3945)",56.936,19.8,275042.32,106947.96,412563.48,206281.74,106947.96
"(-13454.7064, 147792.4041)","(-13410.9046, 147744.2792)",57.068,24.2,275680.55,107196.13,413520.82,206760.41,107196.13
"(-13208.0593, 147591.6455)","(-13189.0093, 147501.1578)",51.061,18.6,246661.96,95912.49,369992.94,184996.47,95912.49
"(-13208.0593, 147591.6455)","(-13246.1594, 147586.883)",65.074,18.6,314355.81,122234.69,471533.71,235766.86,122234.69
"(-12429.094, 148023.3338)","(-12439.7229, 148066.5921)",59.084,17.3,285422.31,110984.13,428133.47,214066.73,110984.13
"(-12429.094, 148023.3338)","(-12365.09, 148029.7079)",77.755,17.3,375616.11,146055.25,563424.16,281712.08,146055.25
"(-13299.1557, 147519.8171)","(-13246.1594, 147586.883)",49.831,24.2,240721.7,93602.67,361082.55,180541.27,93602.67
"(-12507.1783, 147758.718)","(-12496.6575, 147789.3532)",69.838,13.0,337369.65,131183.43,506054.48,253027.24,131183.43
"(-12507.1783, 147758.718)","(-12582.5848, 147735.9143)",51.017,13.0,246451.72,95830.74,369677.58,184838.79,95830.74
"(-12852.7419, 146983.2564)","(-12801.1315, 146952.5734)",51.546,13.0,249004.81,96823.49,373507.22,186753.61,96823.49
"(-12852.7419, 146983.2564)","(-12897.838, 147018.2604)",52.401,13.0,253135.49,98429.67,379703.24,189851.62,98429.67
"(-12814.3952, 147845.0406)","(-12771.1907, 147868.7644)",58.904,13.0,284552.99,110646.11,426829.49,213414.75,110646.11
"(-12814.3952, 147845.0406)","(-12833.0456, 147775.3836)",56.847,21.6,274616.18,106782.26,411924.27,205962.13,106782.26
"(-12814.3952, 147845.0406)","(-12764.5932, 147815.5981)",209.998,13.0,1014446.85,394459.37,1521670.28,760835.14,394459.37
"(-12439.7229, 148066.5921)","(-12398.0475, 148114.3972)",67.603,17.3,326574.08,126985.66,489861.13,244930.56,126985.66
"(-12439.7229, 148066.5921)","(-12557.6512, 148012.5846)",104.442,21.6,504532.62,196183.39,756798.93,378399.47,196183.39
"(-12497.5541, 148154.9244)","(-12539.8342, 148167.575)",57.081,17.3,275745.44,107221.36,413618.16,206809.08,107221.36
"(-13907.6026, 147770.3588)","(-13840.2776, 147727.9176)",79.009,33.6,593713.87,212040.67,890570.81,445285.41,212040.67
"(-13907.6026, 147770.3588)","(-14048.4329, 147880.2433)",107.167,33.6,805304.23,287608.65,1207956.35,603978.17,287608.65
"(-12765.5393, 148063.2909)","(-12740.5318, 148011.9792)",62.494,13.0,301892.55,117388.45,452838.83,226419.41,117388.45
"(-12765.5393, 148063.2909)","(-12657.0447, 148037.0137)",99.451,13.4,480423.36,186808.7,720635.04,360317.52,186808.7
"(-13765.6654, 148077.3431)","(-13710.537, 148046.3094)",65.012,24.2,314054.98,122117.71,471082.47,235541.24,122117.71
"(-13765.6654, 148077.3431)","(-13881.2677, 148114.3558)",83.714,19.8,404400.48,157247.82,606600.73,303300.36,157247.82
"(-12470.4893, 147269.7696)","(-12470.7633, 147271.8941)",67.878,13.0,327904.23,127502.88,491856.34,245928.17,127502.88
"(-12470.4893, 147269.7696)","(-12404.3369, 147262.1944)",106.066,13.0,512378.76,199234.29,768568.13,384284.07,199234.29
"(-13591.4243, 147846.385)","(-13537.2457, 147877.8628)",62.659,26.5,470852.39,168161.57,706278.59,353139.29,168161.57
"(-13591.4243, 147846.385)","(-13608.3619, 147911.1508)",87.612,26.5,658357.69,235127.75,987536.54,493768.27,235127.75
"(-12964.156, 147835.9284)","(-12954.8372, 147766.4203)",59.757,17.3,288672.31,112247.87,433008.47,216504.23,112247.87
"(-12964.156, 147835.9284)","(-12913.6525, 147954.188)",94.705,16.9,457495.09,177893.23,686242.63,343121.32,177893.23
"(-12365.09, 148029.7079)","(-12321.8837, 147977.0804)",57.854,17.3,279479.17,108673.19,419218.76,209609.38,108673.19
