variable,lb,ub,type,var_type_letter,road_type,edge,period,discounted_cost
C_node2node22_wide_t3,0.0,1.0,B,C,wide,node2node22,3,65.16
C_node2node22_wide_t4,0.0,1.0,B,C,wide,node2node22,4,46.2
C_node2node22_wide_t5,0.0,1.0,B,C,wide,node2node22,5,32.75
C_node2node6_timber_t0,0.0,0.0,B,C,timber,node2node6,0,5804.0
C_node2node6_timber_t1,0.0,1.0,B,C,timber,node2node6,1,4886.81
C_node2node6_timber_t2,0.0,1.0,B,C,timber,node2node6,2,3464.35
C_node2node6_timber_t3,0.0,1.0,B,C,timber,node2node6,3,2455.95
C_node2node6_timber_t4,0.0,1.0,B,C,timber,node2node6,4,1741.07
C_node2node6_timber_t5,0.0,1.0,B,C,timber,node2node6,5,1234.27
C_node2node6_wide_t0,0.0,0.0,B,C,wide,node2node6,0,8704.0
C_node2node6_wide_t1,0.0,1.0,B,C,wide,node2node6,1,7328.53
C_node2node6_wide_t2,0.0,1.0,B,C,wide,node2node6,2,5195.34
C_node2node6_wide_t3,0.0,1.0,B,C,wide,node2node6,3,3683.07
C_node2node6_wide_t4,0.0,1.0,B,C,wide,node2node6,4,2611.0
C_node2node6_wide_t5,0.0,1.0,B,C,wide,node2node6,5,1850.99
C_node3node13_timber_t0,0.0,0.0,B,C,timber,node3node13,0,872.0
C_node3node13_timber_t1,0.0,1.0,B,C,timber,node3node13,1,734.2
C_node3node13_timber_t2,0.0,1.0,B,C,timber,node3node13,2,520.49
C_node3node13_timber_t3,0.0,1.0,B,C,timber,node3node13,3,368.98
C_node3node13_timber_t4,0.0,1.0,B,C,timber,node3node13,4,261.58
C_node3node13_timber_t5,0.0,1.0,B,C,timber,node3node13,5,185.44
C_node3node13_wide_t0,0.0,0.0,B,C,wide,node3node13,0,1308.0
C_node3node13_wide_t1,0.0,1.0,B,C,wide,node3node13,1,1101.3
C_node3node13_wide_t2,0.0,1.0,B,C,wide,node3node13,2,780.73
C_node3node13_wide_t3,0.0,1.0,B,C,wide,node3node13,3,553.48
