variable,value
C_wide_node4node22_t1,1.0
C_wide_node4node22_t2,1.0
C_wide_node4node22_t3,1.0
C_wide_node4node22_t4,1.0
C_wide_node4node22_t5,1.0
C_timber_node4node61_t0,0.0
C_timber_node4node61_t1,1.0
C_timber_node4node61_t2,1.0
C_timber_node4node61_t3,1.0
C_timber_node4node61_t4,1.0
C_timber_node4node61_t5,1.0
C_wide_node4node61_t0,0.0
C_wide_node4node61_t1,1.0
C_wide_node4node61_t2,1.0
C_wide_node4node61_t3,1.0
C_wide_node4node61_t4,1.0
C_wide_node4node61_t5,1.0
C_timber_node4node52_t0,0.0
C_timber_node4node52_t1,1.0
C_timber_node4node52_t2,1.0
C_timber_node4node52_t3,1.0
C_timber_node4node52_t4,1.0
C_timber_node4node52_t5,1.0
C_wide_node4node52_t0,0.0
C_wide_node4node52_t1,1.0
C_wide_node4node52_t2,1.0
C_wide_node4node52_t3,1.0
C_wide_node4node52_t4,1.0
C_wide_node4node52_t5,1.0
C_timber_node4node80_t0,0.0
C_timber_node4node80_t1,1.0
C_timber_node4node80_t2,1.0
C_timber_node4node80_t3,1.0
C_timber_node4node80_t4,1.0
C_timber_node4node80_t5,1.0
C_wide_node4node80_t0,0.0
C_wide_node4node80_t1,1.0
C_wide_node4node80_t2,1.0
C_wide_node4node80_t3,1.0
C_wide_node4node80_t4,1.0
C_wide_node4node80_t5,1.0
C_timber_node4node90_t0,0.0
C_timber_node4node90_t1,1.0
C_timber_node4node90_t2,1.0
C_timber_node4node90_t3,1.0
C_timber_node4node90_t4,1.0
C_timber_node4node90_t5,1.0
C_wide_node4node90_t0,0.0
C_wide_node4node90_t1,1.0
C_wide_node4node90_t2,1.0
C_wide_node4node90_t3,1.0
C_wide_node4node90_t4,1.0
C_wide_node4node90_t5,1.0
C_timber_node5node39_t0,0.0
C_timber_node5node39_t1,1.0
C_timber_node5node39_t2,1.0
C_timber_node5node39_t3,1.0
C_timber_node5node39_t4,1.0
C_timber_node5node39_t5,1.0
C_wide_node5node39_t0,0.0
C_wide_node5node39_t1,1.0
C_wide_node5node39_t2,1.0
C_wide_node5node39_t3,1.0
C_wide_node5node39_t4,1.0
C_wide_node5node39_t5,1.0
C_timber_node5node11_t0,0.0
C_timber_node5node11_t1,1.0
C_timber_node5node11_t2,1.0
C_timber_node5node11_t3,1.0
C_timber_node5node11_t4,1.0
C_timber_node5node11_t5,1.0
