variable,coefficient,type,prefix,width,edge,period
C_node2node81_wide_t3,0.0,B,C,wide,,3
C_node2node81_wide_t4,0.0,B,C,wide,,4
C_node2node81_wide_t5,0.0,B,C,wide,,5
C_node3node9_timber_t0,422.0,B,C,timber,,0
C_node3node9_timber_t1,355.31,B,C,timber,,1
C_node3node9_timber_t2,251.89,B,C,timber,,2
C_node3node9_timber_t3,178.57,B,C,timber,,3
C_node3node9_timber_t4,126.59,B,C,timber,,4
C_node3node9_timber_t5,89.74,B,C,timber,,5
C_node3node9_wide_t0,633.0,B,C,wide,,0
C_node3node9_wide_t1,532.97,B,C,wide,,1
C_node3node9_wide_t2,377.83,B,C,wide,,2
C_node3node9_wide_t3,267.85,B,C,wide,,3
C_node3node9_wide_t4,189.89,B,C,wide,,4
C_node3node9_wide_t5,134.61,B,C,wide,,5
C_node3node35_timber_t0,4838.0,B,C,timber,,0
C_node3node35_timber_t1,4073.47,B,C,timber,,1
C_node3node35_timber_t2,2887.76,B,C,timber,,2
C_node3node35_timber_t3,2047.19,B,C,timber,,3
C_node3node35_timber_t4,1451.29,B,C,timber,,4
C_node3node35_timber_t5,1028.85,B,C,timber,,5
C_node3node35_wide_t0,7253.0,B,C,wide,,0
C_node3node35_wide_t1,6106.83,B,C,wide,,1
C_node3node35_wide_t2,4329.25,B,C,wide,,2
C_node3node35_wide_t3,3069.09,B,C,wide,,3
C_node3node35_wide_t4,2175.73,B,C,wide,,4
C_node3node35_wide_t5,1542.42,B,C,wide,,5
C_node3node25_timber_t0,7527.0,B,C,timber,,0
C_node3node25_timber_t1,6337.53,B,C,timber,,1
C_node3node25_timber_t2,4492.8,B,C,timber,,2
C_node3node25_timber_t3,3185.03,B,C,timber,,3
C_node3node25_timber_t4,2257.93,B,C,timber,,4
C_node3node25_timber_t5,1600.69,B,C,timber,,5
C_node3node25_wide_t0,11287.0,B,C,wide,,0
C_node3node25_wide_t1,9503.35,B,C,wide,,1
C_node3node25_wide_t2,6737.1,B,C,wide,,2
C_node3node25_wide_t3,4776.06,B,C,wide,,3
C_node3node25_wide_t4,3385.84,B,C,wide,,4
C_node3node25_wide_t5,2400.28,B,C,wide,,5
C_node3node73_timber_t0,0.0,B,C,timber,,0
C_node3node73_timber_t1,0.0,B,C,timber,,1
C_node3node73_timber_t2,0.0,B,C,timber,,2
C_node3node73_timber_t3,0.0,B,C,timber,,3
C_node3node73_timber_t4,0.0,B,C,timber,,4
C_node3node73_timber_t5,0.0,B,C,timber,,5
C_node3node73_wide_t0,0.0,B,C,wide,,0
C_node3node73_wide_t1,0.0,B,C,wide,,1
C_node3node73_wide_t2,0.0,B,C,wide,,2
C_node3node73_wide_t3,0.0,B,C,wide,,3
C_node3node73_wide_t4,0.0,B,C,wide,,4
C_node3node73_wide_t5,0.0,B,C,wide,,5
C_node3node74_timber_t0,0.0,B,C,timber,,0
C_node3node74_timber_t1,0.0,B,C,timber,,1
C_node3node74_timber_t2,0.0,B,C,timber,,2
C_node3node74_timber_t3,0.0,B,C,timber,,3
C_node3node74_timber_t4,0.0,B,C,timber,,4
C_node3node74_timber_t5,0.0,B,C,timber,,5
