Node1,Node2,edgelength,slope,Build5m,Maintain5m,Build10m,Maintain10m,Upgrade
"(-17281.0628, 152328.0227)","(-17283.0262, 152326.7361)",4.061,24.3,19617.56,7628.13,29426.34,14713.17,7628.13
"(-17281.0628, 152328.0227)","(-17277.1879, 152331.0431)",1.749,24.3,8448.58,3285.16,12672.86,6336.43,3285.16
"(-17164.9013, 152425.1773)","(-17162.5653, 152426.9593)",2.67,24.3,12895.84,5014.44,19343.76,9671.88,5014.44
"(-17164.9013, 152425.1773)","(-17168.1456, 152422.9449)",2.816,24.3,13603.57,5289.64,20405.36,10202.68,5289.64
"(-17277.1879, 152331.0431)","(-17274.838, 152333.3322)",3.281,27.2,24651.69,8804.18,36977.54,18488.77,8804.18
"(-17277.1879, 152331.0431)","(-17276.4641, 152331.732)",3.471,24.3,16769.53,6520.69,25154.3,12577.15,6520.69
"(-17186.852, 152414.0961)","(-17189.6091, 152412.8692)",3.43,24.3,16567.3,6442.06,24850.95,12425.47,6442.06
"(-17186.852, 152414.0961)","(-17182.3947, 152415.9666)",4.834,27.2,36324.11,12972.9,54486.17,27243.08,12972.9
"(-17186.852, 152414.0961)","(-17184.8878, 152414.9194)",1.502,24.3,7254.75,2820.95,10882.12,5441.06,2820.95
"(-16990.781, 152347.7435)","(-17041.5811, 152395.3686)",70.052,27.2,526409.25,188003.3,789613.87,394806.94,188003.3
"(-16990.781, 152347.7435)","(-16927.216, 152315.3813)",71.57,27.2,537810.77,192075.27,806716.15,403358.07,192075.27
"(-17256.0276, 152364.4109)","(-17257.7546, 152360.6092)",1.666,24.3,8049.63,3130.03,12074.45,6037.22,3130.03
"(-17256.0276, 152364.4109)","(-17254.1088, 152369.0989)",5.065,27.2,38064.59,13594.5,57096.88,28548.44,13594.5
"(-17256.0276, 152364.4109)","(-17255.0731, 152366.972)",2.601,24.3,12566.01,4886.19,18849.02,9424.51,4886.19
"(-17290.4815, 152322.6004)","(-17288.4877, 152323.9067)",22.807,24.3,110173.42,42840.03,165260.12,82630.06,42840.03
"(-17290.4815, 152322.6004)","(-17295.9757, 152319.833)",37.063,24.3,179041.28,69618.74,268561.91,134280.96,69618.74
"(-17168.1456, 152422.9449)","(-17168.7431, 152422.5442)",2.505,24.3,12099.31,4704.72,18148.97,9074.49,4704.72
"(-17314.9389, 152288.8443)","(-17297.8191, 152313.9209)",31.427,26.3,236154.57,84340.92,354231.86,177115.93,84340.92
"(-17314.9389, 152288.8443)","(-17357.4836, 152245.7289)",61.065,26.9,458869.64,163882.01,688304.46,344152.23,163882.01
"(-17178.3895, 152417.8854)","(-17176.0995, 152418.8815)",2.756,24.3,13315.76,5177.72,19973.63,9986.82,5177.72
"(-17178.3895, 152417.8854)","(-17182.3947, 152415.9666)",7.028,24.3,33951.94,13201.94,50927.91,25463.96,13201.94
"(-17252.516, 152372.8112)","(-17253.041, 152371.5334)",3.638,24.3,17572.66,6832.98,26358.98,13179.49,6832.98
"(-17252.516, 152372.8112)","(-17251.1574, 152376.402)",3.839,27.2,28849.85,10303.52,43274.77,21637.38,10303.52
"(-17252.516, 152372.8112)","(-17251.5275, 152375.3842)",1.081,24.3,5222.84,2030.86,7834.26,3917.13,2030.86
"(-17223.1516, 152502.3779)","(-17133.3319, 152458.413)",100.236,24.3,484216.94,188283.8,726325.41,363162.71,188283.8
"(-17223.1516, 152502.3779)","(-17281.4826, 152426.7064)",122.226,24.3,590441.7,229588.43,885662.55,442831.28,229588.43
"(-17133.3319, 152458.413)","(-17134.3953, 152456.6723)",2.04,24.3,9853.86,3831.59,14780.79,7390.4,3831.59
"(-17237.8172, 152389.4655)","(-17236.659, 152390.4785)",0.898,24.3,4338.97,1687.17,6508.45,3254.23,1687.17
"(-17237.8172, 152389.4655)","(-17239.5833, 152387.9209)",0.578,24.3,2791.57,1085.48,4187.35,2093.68,1085.48
