variable,coefficient,type,prefix,width,edge,period
C_node1node24_timber_t0,4.0,B,C,timber,,0
C_node1node24_timber_t1,3.37,B,C,timber,,1
C_node1node24_timber_t2,2.39,B,C,timber,,2
C_node1node24_timber_t3,1.69,B,C,timber,,3
C_node1node24_timber_t4,1.2,B,C,timber,,4
C_node1node24_timber_t5,0.85,B,C,timber,,5
C_node1node24_wide_t0,6.0,B,C,wide,,0
C_node1node24_wide_t1,5.05,B,C,wide,,1
C_node1node24_wide_t2,3.58,B,C,wide,,2
C_node1node24_wide_t3,2.54,B,C,wide,,3
C_node1node24_wide_t4,1.8,B,C,wide,,4
C_node1node24_wide_t5,1.28,B,C,wide,,5
C_node1node15_timber_t0,1402.0,B,C,timber,,0
C_node1node15_timber_t1,1180.45,B,C,timber,,1
C_node1node15_timber_t2,836.84,B,C,timber,,2
C_node1node15_timber_t3,593.25,B,C,timber,,3
C_node1node15_timber_t4,420.57,B,C,timber,,4
C_node1node15_timber_t5,298.15,B,C,timber,,5
C_node1node15_wide_t0,2104.0,B,C,wide,,0
C_node1node15_wide_t1,1771.51,B,C,wide,,1
C_node1node15_wide_t2,1255.86,B,C,wide,,2
C_node1node15_wide_t3,890.3,B,C,wide,,3
C_node1node15_wide_t4,631.15,B,C,wide,,4
C_node1node15_wide_t5,447.44,B,C,wide,,5
C_node1node93_timber_t0,297.0,B,C,timber,,0
C_node1node93_timber_t1,250.07,B,C,timber,,1
C_node1node93_timber_t2,177.28,B,C,timber,,2
C_node1node93_timber_t3,125.67,B,C,timber,,3
C_node1node93_timber_t4,89.09,B,C,timber,,4
C_node1node93_timber_t5,63.16,B,C,timber,,5
C_node1node93_wide_t0,446.0,B,C,wide,,0
C_node1node93_wide_t1,375.52,B,C,wide,,1
C_node1node93_wide_t2,266.21,B,C,wide,,2
C_node1node93_wide_t3,188.72,B,C,wide,,3
C_node1node93_wide_t4,133.79,B,C,wide,,4
C_node1node93_wide_t5,94.85,B,C,wide,,5
C_node1node98_timber_t0,0.0,B,C,timber,,0
C_node1node98_timber_t1,0.0,B,C,timber,,1
C_node1node98_timber_t2,0.0,B,C,timber,,2
C_node1node98_timber_t3,0.0,B,C,timber,,3
C_node1node98_timber_t4,0.0,B,C,timber,,4
C_node1node98_timber_t5,0.0,B,C,timber,,5
