C_timber_node2node65_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_timber_node2node65_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node2node65_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node2node65_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node2node65_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node2node65_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node2node65_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_wide_node2node65_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node2node65_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node2node65_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node2node65_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node2node65_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node2node94_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_timber_node2node94_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node2node94_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node2node94_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node2node94_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node2node94_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node2node94_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_wide_node2node94_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node2node94_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node2node94_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node2node94_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node2node94_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node2node101_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_timber_node2node101_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node2node101_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node2node101_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node2node101_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node2node101_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node2node101_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_wide_node2node101_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node2node101_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node2node101_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node2node101_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node2node101_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node3node28_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_timber_node3node28_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node3node28_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node3node28_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node3node28_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node3node28_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node3node28_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_wide_node3node28_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node3node28_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node3node28_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node3node28_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node3node28_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node3node24_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_timber_node3node24_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node3node24_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node3node24_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node3node24_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node3node24_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node3node24_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_wide_node3node24_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node3node24_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node3node24_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node3node24_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node3node24_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node3node98_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_timber_node3node98_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node3node98_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node3node98_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node3node98_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node3node98_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node3node98_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_wide_node3node98_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node3node98_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node3node98_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node3node98_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node3node98_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node3node112_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_timber_node3node112_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node3node112_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node3node112_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node3node112_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node3node112_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node3node112_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_wide_node3node112_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node3node112_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node3node112_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node3node112_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node3node112_t5: lb=0.0, ub=1.0, type=B, cost=N/A
