OBJECTID,TARGET_FID,LandUse_1,Ocupacao,ID_UG,NOME,YY_correct,XX_Correct,Altitude,Declive,Litologia,Relevo,Uso,Espessura,Apt_flor,Solo,Classifica,Perimetro,Area,Hectares,UsoSolo20,Shape_Leng,Shape_Area,HBC,CH,CBD,CC,geometry,road_access
1416,1416,1,EcEc_2_4_1_Pv,1612,Castelo de Paiva,144276.202558,-13844.7218889,325.0,24.2864,x,m,i,3,Marginal,Ru1.1,Regossolos,1473.86563182,99030.7748835,9.90307748835,Eucalipto,1473.86560186,99030.7750309,2.9,0.0,0.0,0.0,"POLYGON ((-13860.94778 144136.24121, -13901.03998 144111.14871, -13959.42868 144098.33111, -13990.32948 144140.17711, -14009.12598 144194.57431, -14072.42818 144231.07491, -14029.15088 144264.97071, -13982.99978 144237.38821, -13949.72048 144272.54141, -13955.26328 144363.93871, -13943.06928 144426.81741, -13908.63028 144471.70861, -13838.88828 144488.54801, -13801.72088 144463.99491, -13832.16768 144407.42741, -13759.55548 144392.73381, -13706.12408 144360.03041, -13651.15998 144316.81391, -13636.89578 144267.64591, -13631.48538 144210.39821, -13636.60848 144158.82911, -13703.38148 144111.35721, -13757.74248 144103.08431, -13807.80138 144156.59871, -13860.94778 144136.24121))",none
1417,1417,1,EcEc_5_4_1_Ad,1613,Castelo de Paiva,143990.995669,-14219.8059524,312.0,26.6256,x,m,i,3,Marginal,Ru1.1,Regossolos,2301.01666146,119211.829594,11.9211829594,Eucalipto,2301.0167165,119211.829145,2.9,0.0,0.0,0.0,"POLYGON ((-14308.16098 144098.38731, -14244.00408 144087.47601, -14173.45488 144108.85651, -14124.42158 144146.08821, -14054.90898 144149.20631, -13990.32948 144140.17711, -14059.06398 144102.70171, -14077.80268 144056.96771, -14028.35928 144040.57891, -13988.54458 143983.95931, -13979.18348 143898.68691, -13919.39118 143856.09541, -13870.33028 143865.24471, -13842.83588 143827.39351, -13861.42348 143778.36541, -13905.31978 143784.07411, -14003.81558 143801.29841, -14109.24718 143814.34501, -14153.33658 143837.48941, -14196.57088 143891.31101, -14163.90238 143952.48441, -14226.22118 143959.95021, -14280.03038 143983.68971, -14359.44768 143951.50411, -14436.09998 143971.04261, -14487.12398 143962.11491, -14533.33968 143987.26011, -14607.73368 143980.17811, -14686.02898 143989.34941, -14639.45538 144025.15361, -14580.93918 144040.03811, -14545.92538 144067.27751, -14477.30518 144065.88851, -14426.68938 144118.58591, -14350.98568 144107.86811, -14308.16098 144098.38731))",none
1418,1418,1,EcEc_2_4_1_Pv,1614,Castelo de Paiva,144142.93568,-13586.7465164,329.0,21.3115,x,m,i,3,Marginal,Ru1.1,Regossolos,1838.42859175,102584.762577,10.2584762577,Eucalipto,1838.42872019,102584.762042,2.9,0.0,0.0,0.0,"POLYGON ((-13802.66968 144085.14121, -13849.89898 144084.16541, -13911.62198 144062.55231, -13901.03998 144111.14871, -13860.94778 144136.24121, -13807.80138 144156.59871, -13757.74248 144103.08431, -13703.38148 144111.35721, -13636.60848 144158.82911, -13631.48538 144210.39821, -13561.94588 144269.56931, -13564.01908 144329.80081, -13542.55558 144391.42491, -13493.12948 144391.88171, -13451.41778 144354.74351, -13417.19948 144315.96441, -13409.86908 144253.54641, -13407.36828 144202.28141, -13390.77828 144121.77191, -13386.77938 144064.29231, -13449.27668 144093.79081, -13476.53228 144047.39071, -13489.67368 143993.47561, -13552.42538 143906.36361, -13586.80848 143855.33011, -13600.00418 143914.22391, -13645.17838 143975.65881, -13702.66248 144002.31151, -13732.26808 144049.78911, -13802.66968 144085.14121))",none
1419,1419,1,EcEc_2_3_2_Pv,1615,Castelo de Paiva,144177.340029,-13158.0594695,329.0,21.3115,x,m,i,3,Marginal,Ru1.1,Regossolos,3250.3634142,314576.585718,31.4576585718,Eucalipto,3250.36343538,314576.611473,2.9,0.0,0.0,0.0,"POLYGON ((-13232.93838 143775.54841, -13303.71078 143767.75741, -13368.11378 143779.36451, -13433.83158 143776.40971, -13482.42478 143789.31201, -13561.03988 143804.21751, -13586.80848 143855.33011, -13552.42538 143906.36361, -13489.67368 143993.47561, -13476.53228 144047.39071, -13449.27668 144093.79081, -13386.77938 144064.29231, -13390.77828 144121.77191, -13407.36828 144202.28141, -13409.86908 144253.54641, -13336.85228 144243.97331, -13278.02608 144223.22441, -13242.00208 144252.09451, -13212.33118 144315.12901, -13171.08788 144368.00791, -13169.43258 144438.67301, -13161.69688 144486.83221, -13145.78368 144532.95371, -13114.98748 144585.05661, -13063.89828 144623.93591, -12985.32608 144640.85061, -12936.17328 144670.15321, -12917.86478 144626.79101, -12974.51128 144592.08371, -12969.83018 144538.77021, -13005.84638 144496.56711, -13024.71378 144420.32761, -12981.23148 144390.67991, -12939.96438 144425.43781, -12901.06348 144408.35361, -12844.52048 144395.02991, -12794.22768 144368.16911, -12753.86348 144351.93481, -12687.45288 144309.21201, -12697.40398 144264.82471, -12682.53148 144197.27531, -12715.29938 144167.09261, -12983.75868 144092.47811, -13029.90498 144091.64781, -13077.19968 144064.04011, -13142.29568 144006.16631, -13210.23278 143932.93721, -13232.93838 143775.54841))",none
1420,1420,1,EcEc_2_3_2_Pv,1616,Castelo de Paiva,144723.729875,-13230.1524741,329.0,21.3115,x,m,i,3,Marginal,Ru1.1,Regossolos,2786.1830673,350513.85255,35.051385255,Eucalipto,2786.18318386,350513.843864,2.9,0.0,0.0,0.0,"POLYGON ((-13479.08328 144799.74821, -13476.70208 144825.14821, -13465.58948 144840.22961, -13451.30208 144862.45451, -13437.80828 144887.85461, -13410.82068 144909.28591, -13398.91448 144936.27351, -13367.16428 144954.52981, -13317.95178 144975.96111, -13281.43918 144991.04231, -13239.44298 144990.57611, -13163.36718 144998.45661, -13122.28518 145035.17161, -13106.04718 145079.34371, -13082.98268 145142.26281, -13040.34908 145172.93921, -12991.13718 145163.80651, -12929.59448 145125.57501, -12871.89498 145076.20401, -12920.00698 145026.38651, -12862.46568 144995.98961, -12881.66548 144980.55181, -12902.51718 144963.78571, -12904.89778 144916.89691, -12895.22748 144865.80191, -12892.48868 144807.15751, -12909.68298 144740.79871, -12936.17328 144670.15321, -12985.32608 144640.85061, -13063.89828 144623.93591, -13114.98748 144585.05661, -13145.78368 144532.95371, -13161.69688 144486.83221, -13169.43258 144438.67301, -13171.08788 144368.00791, -13212.33118 144315.12901, -13242.00208 144252.09451, -13278.02608 144223.22441, -13336.85228 144243.97331, -13409.86908 144253.54641, -13417.19948 144315.96441, -13451.41778 144354.74351, -13493.12948 144391.88171, -13542.55558 144391.42491, -13533.33408 144453.16931, -13498.47218 144484.56571, -13463.44728 144510.89971, -13470.61618 144584.40791, -13478.03048 144613.50021, -13500.52018 144674.35441, -13527.30138 144774.65911, -13477.21758 144778.11351, -13479.08328 144799.74821))",none
1421,1421,1,EcEc_2_3_2_Pv,1618,Castelo de Paiva,146159.828195,-16053.5523296,132.0,12.5731,x,m,i,3,Marginal,Ru1.1,Regossolos,2951.30814862,109216.758691,10.9216758691,Eucalipto,2951.30817719,109216.771422,2.9,0.0,0.0,0.0,"POLYGON ((-15883.06818 146118.33051, -15915.47268 146115.67551, -15952.51448 146147.42551, -15982.14778 146126.25881, -15960.98108 146106.15041, -15911.23938 146095.56711, -15862.54488 146096.91041, -15806.87938 146094.02271, -15731.17488 146102.02571, -15684.54308 146092.18981, -15670.46018 146030.55821, -15729.51778 145999.12351, -15787.31188 145997.64611, -15787.28958 145997.36971, -15878.62498 146046.91811, -15921.45178 146067.03171, -15974.43548 146072.94431, -16072.40798 146043.26411, -16114.41128 146034.58761, -16178.85418 146039.69021, -16282.14468 146092.71361, -16402.00358 146092.05941, -16375.70598 146127.44461, -16361.42748 146206.62521, -16332.31168 146251.73441, -16320.72588 146269.68461, -16304.96478 146179.86341, -16252.53568 146164.60841, -16184.38158 146193.18551, -16154.22558 146253.29081, -16146.07898 146324.15481, -16099.14268 146285.24811, -16067.40358 146321.88041, -16061.26558 146340.59931, -16027.12568 146321.13001, -15965.74228 146323.24671, -15926.58388 146352.88011, -15892.17008 146353.17941, -15965.74718 146293.65921, -16006.18858 146231.25731, -16065.33918 146201.35811, -16003.27078 146184.14601, -15958.19868 146193.79491, -15896.56088 146222.82061, -15832.13798 146236.86611, -15812.77948 146234.90331, -15812.31348 146235.18401, -15781.80478 146231.76271, -15718.40668 146205.28291, -15770.82148 146184.46161, -15851.40338 146169.13421, -15896.55618 146132.60001, -15896.30828 146132.34141, -15896.41208 146132.25741, -15883.06818 146118.33051))",timber
1422,1422,1,EcEc_1_Np,1620,Castelo de Paiva,145819.065647,-14971.5714727,153.0,16.3616,x,m,i,3,Marginal,Ru1.1,Regossolos,1756.61686522,71996.3216115,7.19963216115,Eucalipto,1756.61682562,71996.3168824,2.9,0.0,0.0,0.0,"POLYGON ((-15074.43678 145933.31031, -14996.76588 145950.62141, -14979.30338 146012.53401, -14982.47838 146036.34661, -14957.73507 146053.70593, -14942.57318 146049.11191, -14935.42828 146013.21141, -14927.97818 145975.77751, -14942.79488 145924.97741, -14895.69898 145901.29711, -14871.88648 145836.20951, -14813.14878 145777.47191, -14729.01118 145756.83431, -14666.18568 145703.96781, -14742.15888 145705.68391, -14798.53478 145713.78641, -14850.54008 145718.18911, -14896.87058 145704.87891, -14944.05428 145669.04931, -14957.39878 145614.53541, -15025.34908 145669.27961, -15105.92808 145705.70061, -15038.82568 145697.28981, -15018.18808 145707.60851, -15024.53808 145723.48361, -15088.83198 145779.04611, -15126.13828 145819.52751, -15136.45708 145844.13381, -15180.61768 145846.58881, -15153.27758 145869.88391, -15096.46868 145876.25261, -15047.02658 145886.28121, -15074.43678 145933.31031))",none
1423,1423,1,Solo Nu_3,1622,Castelo de Paiva,146231.041597,-11070.4216333,418.0,41.4573,x,m,i,4,Marginal,Lu3.1,Leptossolos,351.093247545,5444.18024847,0.54441802485,Clareira,351.09316715,5444.17735379,0.0,0.0,0.0,0.0,"POLYGON ((-11019.35018 146283.05711, -11008.78398 146278.60381, -11013.14958 146261.14121, -11066.33098 146148.42851, -11098.47788 146161.52541, -11051.24968 146283.05717, -11019.35018 146283.05711))",none
1424,1424,1,EcEc_3_4_3_Pv,1623,Castelo de Paiva,146098.011606,-10682.3910752,599.0,31.5762,x,m,i,4,Marginal,Lu3.1,Leptossolos,312.74088391,4161.37144429,0.41613714443,Eucalipto,312.740931741,4161.37397046,2.9,0.0,0.0,0.0,"POLYGON ((-10600.05419 146118.42648, -10699.22078 146038.36161, -10723.03338 146074.08041, -10627.12218 146132.03631, -10600.05419 146118.42648))",none
1425,1425,1,EcPb_2_9_2_Pv,1626,Castelo de Paiva,150539.686349,-9688.47716877,262.0,23.7919,x,m,i,3,Marginal,Ru1.1,Regossolos,809.907391532,28790.8091363,2.87908091363,Eucalipto,810.22460012,28804.8377489,2.9,0.0,0.0,0.0,"POLYGON ((-9806.53178 150505.34181, -9809.81668 150507.92801, -9841.07798 150532.54061, -9844.34562 150536.15574, -9788.56688 150594.53391, -9732.78688 150598.00841, -9674.05508 150591.84161, -9628.96578 150591.86421, -9625.86858 150589.28081, -9624.71228 150589.28131, -9593.11728 150562.92761, -9553.42738 150546.25861, -9553.20868 150545.37011, -9549.17408 150543.67571, -9536.71588 150493.05871, -9529.28888 150479.30799, -9591.79762 150409.96462, -9610.96368 150464.32281, -9707.52088 150505.70341, -9806.53178 150505.34181))",timber
