"Node1(x,y)","Node2(x,y)"
"(-9711.6307, 146954.7419)","(-9754.4061, 146919.4502)"
"(-9754.4061, 146919.4502)","(-9633.7321, 146911.0894)"
"(-9633.7321, 146911.0894)","(-9623.8101, 146818.4851)"
"(-9623.8101, 146818.4851)","(-9666.8051, 146735.8026)"
"(-9666.8051, 146735.8026)","(-9656.8832, 146706.0369)"
"(-9656.8832, 146706.0369)","(-9623.8102, 146636.5837)"
"(-9623.8102, 146636.5837)","(-9572.5851, 146586.2223)"
"(-9572.5851, 146586.2223)","(-9572.3465, 146585.9877)"
"(-9572.3465, 146585.9877)","(-9624.1866, 146525.4633)"
"(-9624.1866, 146525.4633)","(-9673.0227, 146554.5626)"
"(-9673.0227, 146554.5626)","(-9730.1729, 146558.796)"
"(-9730.1729, 146558.796)","(-9774.9511, 146537.6326)"
"(-9774.9511, 146537.6326)","(-9792.4835, 146587.4329)"
"(-9792.4835, 146587.4329)","(-9803.9273, 146643.5196)"
"(-9803.9273, 146643.5196)","(-9734.5716, 146663.472)"
"(-9734.5716, 146663.472)","(-9693.2964, 146684.1096)"
"(-9693.2964, 146684.1096)","(-9731.3966, 146730.1471)"
"(-9731.3966, 146730.1471)","(-9713.934, 146769.8347)"
"(-9713.934, 146769.8347)","(-9769.4967, 146747.6097)"
"(-9769.4967, 146747.6097)","(-9814.9455, 146742.3428)"
"(-9814.9455, 146742.3428)","(-9804.747, 146779.7349)"
"(-9804.747, 146779.7349)","(-9770.1395, 146851.8881)"
"(-9770.1395, 146851.8881)","(-9794.9417, 146898.5579)"
"(-9794.9417, 146898.5579)","(-9819.7995, 146933.4588)"
"(-9819.7995, 146933.4588)","(-9828.1989, 146978.8544)"
"(-9828.1989, 146978.8544)","(-9801.3135, 147031.0027)"
"(-9801.3135, 147031.0027)","(-9759.3468, 147041.7118)"
"(-9759.3468, 147041.7118)","(-9713.4952, 147087.3763)"
"(-9713.4952, 147087.3763)","(-9691.3087, 147124.4383)"
"(-9691.3087, 147124.4383)","(-9707.3745, 147173.3622)"
"(-9707.3745, 147173.3622)","(-9649.698, 147181.9575)"
"(-9649.698, 147181.9575)","(-9611.9632, 147240.763)"
"(-9611.9632, 147240.763)","(-9576.8598, 147292.6615)"
