Node1,Node2,edgelength,slope,Build5m,Maintain5m,Build10m,Maintain10m,Upgrade
"(-8035.3134, 151453.9075)","(-8039.2822, 151504.2313)",26.356,36.8,198051.15,70732.55,297076.72,148538.36,70732.55
"(-8035.3134, 151453.9075)","(-8055.1571, 151450.7325)",27.412,36.8,205983.77,73565.63,308975.65,154487.82,73565.63
"(-9490.8798, 147599.7808)","(-9486.1498, 147530.8032)",10.147,36.8,76250.28,27232.24,114375.42,57187.71,27232.24
"(-9490.8798, 147599.7808)","(-9535.9445, 147644.587)",19.079,36.8,143372.45,51204.45,215058.68,107529.34,51204.45
"(-8259.4185, 151837.5757)","(-8289.1113, 151790.5957)",4.532,29.3,34057.56,12163.41,51086.34,25543.17,12163.41
"(-8259.4185, 151837.5757)","(-8194.0299, 151897.3138)",47.175,29.6,354495.79,126605.64,531743.68,265871.84,126605.64
"(-8369.0198, 150897.5009)","(-8396.2622, 150905.093)",39.577,24.6,191188.9,74342.24,286783.35,143391.67,74342.24
"(-8369.0198, 150897.5009)","(-8309.4884, 150882.2873)",32.896,24.6,158913.37,61792.17,238370.05,119185.03,61792.17
"(-9525.6603, 146803.5561)","(-9489.677, 146803.5561)",35.983,11.1,173826.54,67591.03,260739.81,130369.91,67591.03
"(-9525.6603, 146803.5561)","(-9579.1929, 146817.2026)",55.245,11.1,266873.2,103771.46,400309.8,200154.9,103771.46
"(-8008.7521, 151789.1318)","(-8011.5008, 151805.222)",0.785,29.1,5900.43,2107.3,8850.65,4425.32,2107.3
"(-8008.7521, 151789.1318)","(-8003.5633, 151759.1843)",0.459,29.1,3446.55,1230.91,5169.83,2584.92,1230.91
"(-9757.9193, 148501.1954)","(-9734.1866, 148453.1452)",50.674,48.3,380786.38,135995.13,571179.56,285589.78,135995.13
"(-9757.9193, 148501.1954)","(-9710.6197, 148536.542)",52.424,48.3,393938.66,140692.38,590907.99,295454.0,140692.38
"(-8446.4899, 149702.1374)","(-8415.7982, 149678.854)",5.285,36.8,39712.33,14182.98,59568.5,29784.25,14182.98
"(-8446.4899, 149702.1374)","(-8459.7191, 149711.6624)",10.216,36.8,76770.79,27418.14,115156.19,57578.09,27418.14
"(-8304.1968, 150789.0215)","(-8304.0162, 150789.6988)",36.338,36.8,273059.66,97521.31,409589.48,204794.74,97521.31
"(-8304.1968, 150789.0215)","(-8293.4366, 150794.4159)",34.529,24.6,166802.28,64859.7,250203.42,125101.71,64859.7
"(-9237.2754, 147579.1767)","(-9194.1702, 147623.404)",7.008,51.3,52658.61,18806.65,78987.92,39493.96,18806.65
"(-9237.2754, 147579.1767)","(-9266.2569, 147547.4082)",156.403,51.3,1175287.34,419745.48,1762931.01,881465.5,419745.48
"(-8291.1945, 151000.1773)","(-8291.1868, 151000.1726)",2.756,29.1,20710.95,7396.77,31066.42,15533.21,7396.77
"(-8291.1945, 151000.1773)","(-8291.8482, 151000.6123)",13.845,29.1,104040.62,37157.36,156060.93,78030.46,37157.36
"(-8398.4415, 149933.5425)","(-8377.804, 149963.705)",16.214,51.3,121840.17,43514.35,182760.25,91380.13,43514.35
"(-8398.4415, 149933.5425)","(-8427.0165, 149922.4299)",61.198,51.3,459873.44,164240.51,689810.15,344905.08,164240.51
"(-8311.5389, 151167.3631)","(-8301.1939, 151182.6737)",18.478,29.6,138852.32,49590.12,208278.49,104139.24,49590.12
"(-8311.5389, 151167.3631)","(-8314.7801, 151156.3961)",11.436,27.1,85935.29,30691.17,128902.93,64451.46,30691.17
"(-8052.1305, 151628.7286)","(-8052.2617, 151632.4626)",33.243,31.9,249804.08,89215.74,374706.12,187353.06,89215.74
"(-8052.1305, 151628.7286)","(-8054.0458, 151624.6211)",3.484,36.8,26177.37,9349.06,39266.06,19633.03,9349.06
"(-8052.1305, 151628.7286)","(-8052.7759, 151647.1066)",2.987,36.8,22443.24,8015.44,33664.85,16832.43,8015.44
"(-8360.6526, 149340.7837)","(-8337.6709, 149384.4619)",40.084,43.8,301208.26,107574.38,451812.39,225906.19,107574.38
"(-8360.6526, 149340.7837)","(-8385.7929, 149292.7881)",116.279,43.8,873776.85,312063.16,1310665.28,655332.64,312063.16
"(-9392.2441, 148304.8359)","(-9345.1976, 148331.5738)",71.295,48.3,535747.09,191338.25,803620.63,401810.32,191338.25
"(-9392.2441, 148304.8359)","(-9441.049, 148339.8725)",64.857,36.8,487366.91,174059.61,731050.37,365525.18,174059.61
"(-9392.2441, 148304.8359)","(-9311.8394, 148266.0659)",43.765,23.9,211418.03,82208.18,317127.05,158563.53,82208.18
"(-8864.6222, 148391.5493)","(-8935.4845, 148411.6038)",1.941,36.8,14587.85,5209.95,21881.77,10940.88,5209.95
"(-8864.6222, 148391.5493)","(-8850.5592, 148387.5693)",1.655,36.8,12433.38,4440.49,18650.07,9325.03,4440.49
"(-8588.3148, 148405.7502)","(-8588.8725, 148409.2618)",26.649,31.9,200252.71,71518.82,300379.06,150189.53,71518.82
"(-8588.3148, 148405.7502)","(-8586.8394, 148401.9564)",41.171,31.9,309382.94,110493.91,464074.42,232037.21,110493.91
"(-8881.8049, 150503.3391)","(-8867.7594, 150501.2356)",82.47,24.6,398390.37,154910.84,597585.56,298792.78,154910.84
"(-8881.8049, 150503.3391)","(-8911.205, 150507.7424)",46.531,24.6,224781.98,87404.64,337172.97,168586.48,87404.64
"(-8678.1743, 149261.9708)","(-8709.3534, 149189.6211)",44.223,36.8,332311.68,118682.74,498467.51,249233.76,118682.74
"(-8678.1743, 149261.9708)","(-8724.1177, 149321.1251)",50.8,36.8,381737.35,136334.77,572606.03,286303.01,136334.77
"(-8520.4562, 150897.3024)","(-8542.4083, 150889.6869)",22.107,24.6,106793.2,41525.66,160189.81,80094.9,41525.66
"(-8520.4562, 150897.3024)","(-8504.1309, 150902.966)",37.43,24.6,180812.88,70307.61,271219.32,135609.66,70307.61
"(-8524.7151, 150856.1076)","(-8511.7368, 150863.1085)",5.942,36.8,44653.36,15947.63,66980.03,33490.02,15947.63
