harvesting_schedule,component_name,UB,LB,MIP_gap,solver_runtime_seconds,total_variables,nonzero_variables
mres,comp_14_15_48_merged,53096.69999999996,43191.92159973061,0.1865422596935278,14405.66,22350,1255
mres,comp_20_25_28_33_merged,52884.43000000007,40897.06357228505,0.2266709961271205,14400.68,18650,1056
mres,comp_2_44_merged,84643.71999999914,55438.411487172765,0.3450381022103782,14405.08,31750,2039
mres,comp_4_11_12_13_51_merged,53151.420000000006,39075.2451579842,0.264831585722748,14400.25,15050,1082
mres,comp_5_39_merged,118929.66999999998,81908.96298829005,0.3112823487335827,14401.07,34100,2488
mwood,comp_14_15_48_merged,55659.39,44712.893346754885,0.1966693607897085,14405.01,22350,1441
mwood,comp_20_25_28_33_merged,54122.5,41448.721792339136,0.2341683811291207,14401.25,18650,1167
mwood,comp_2_44_merged,91622.98,55810.35224850424,0.3908694931282057,14408.28,31750,2151
mwood,comp_4_11_12_13_51_merged,56840.53,40342.29608135208,0.2902547516472469,14408.44,15050,1189
mwood,comp_5_39_merged,135961.72999999934,85332.62804584723,0.3723775944462631,14407.14,34100,2932
stake,comp_14_15_48_merged,55659.39,44693.45284484758,0.1970186370197804,14408.36,22350,1441
stake,comp_20_25_28_33_merged,54230.22,40882.82440681133,0.2461246809101758,14407.79,18650,1162
stake,comp_2_44_merged,89961.65,56041.143018609,0.3770551894211695,14409.18,31750,2164
stake,comp_4_11_12_13_51_merged,59077.27000000005,41817.99037237479,0.2921475489240652,14407.61,15050,1244
stake,comp_5_39_merged,133449.9,86660.32155605621,0.3506153128922821,14404.75,34100,2803
