harvesting_schedule,component_name,UB,LB,MIP_gap,solver_runtime_seconds
mres,comp_1,1552.36,1552.3600000000001,0.0,0.29
mres,comp_10,15480.15,15480.150000000001,0.0,239.59
mres,comp_14_15_48_merged,57430.40000000003,49091.5081271272,0.14519996156866072,600.26
mres,comp_16,16362.08,15249.710040007634,0.06798463031548305,600.04
mres,comp_18,2279.6399999999994,2279.6399999999994,0.0,0.12
mres,comp_19_41_merged,7113.900000000001,7113.240052910052,9.276867680853107e-05,0.92
mres,comp_20_25_28_33_merged,24389.29,22466.206851449504,0.07884949289423715,600.07
mres,comp_21_40_merged,3694.33,3694.3300000000004,0.0,1.32
mres,comp_22,7073.269999999999,7073.269999999999,0.0,0.92
mres,comp_23,11455.38000000001,11455.38000000001,0.0,16.06
mres,comp_24,8979.769999999999,8978.985323501756,8.738269446125292e-05,7.47
mres,comp_26,825.46,825.46,0.0,0.08
mres,comp_27,2559.09,2559.09,0.0,0.11
mres,comp_29,2769.33,2769.33,0.0,0.38
mres,comp_2_44_merged,29140.489999999998,28843.979136199974,0.010175218872435667,600.14
mres,comp_30,489.74,489.74,0.0,0.42
mres,comp_31_34_merged,9191.349999999999,9191.35,0.0,16.52
mres,comp_32,2377.08,2377.08,0.0,0.4
mres,comp_35,1707.14,1707.0733333333333,3.905166926369805e-05,0.08
mres,comp_36_50_merged,1135.22,1135.22,0.0,0.17
mres,comp_37,1631.23,1631.23,0.0,0.46
mres,comp_38,4578.54,4578.54,0.0,0.53
mres,comp_3_43_merged,2904.5299999999997,2904.5299999999997,0.0,0.17
mres,comp_42,461.84999999999997,461.84999999999997,0.0,0.29
mres,comp_45,554.9,554.9,0.0,0.25
mres,comp_46,207.98000000000002,207.98000000000002,0.0,0.06
mres,comp_47,2472.6499999999996,2472.6499999999996,0.0,0.03
mres,comp_49,11553.189999999999,11553.19,0.0,1.02
mres,comp_4_11_12_13_51_merged,12754.869999999999,12754.869999999999,0.0,3.59
mres,comp_5_39_merged,134087.02000000127,61185.03957826515,0.5436915550941126,600.19
mres,comp_6,4176.509999999999,4176.51,0.0,5.25
mres,comp_7,0.0,0.0,0.0,0.04
mres,comp_8,418.99,418.99,0.0,0.11
mres,comp_9,2654.6,2654.5999999999995,0.0,0.72
