harvesting_schedule,component_name,UB,LB,MIP_gap,solver_runtime_seconds,total_variables,nonzero_variables
stake,comp_14_15_48_merged,55659.39,44693.45284484758,0.19701863701978042,14408.36,22350,1441
stake,comp_20_25_28_33_merged,54230.219999999994,40882.824406811334,0.24612468091017584,14407.79,18650,1162
stake,comp_2_44_merged,89961.65,56041.143018609,0.37705518942116956,14409.18,31750,2164
stake,comp_4_11_12_13_51_merged,59077.27000000005,41817.99037237479,0.29214754892406525,14407.61,15050,1244
stake,comp_5_39_merged,133449.9,86660.32155605621,0.3506153128922821,14404.75,34100,2803
