arc,type
node48node25,exit_in_exit_out
node18node25,exit_in_transit_out
node8node25,exit_in_transit_out
node20node33,exit_in_transit_out
node9node33,exit_in_exit_out
node41node33,exit_in_exit_out
node27node34,exit_in_transit_out
node39node34,exit_in_exit_out
node26node36,exit_in_transit_out
node18node36,exit_in_transit_out
node52node37,exit_in_exit_out
node57node37,exit_in_exit_out
node34node39,exit_in_exit_out
node2node39,exit_in_transit_out
node12node40,exit_in_exit_out
node9node40,exit_in_exit_out
node33node41,exit_in_exit_out
node17node41,exit_in_exit_out
node17node42,exit_in_exit_out
node21node42,exit_in_transit_out
node44node43,exit_in_exit_out
node6node43,exit_in_exit_out
node10node44,exit_in_transit_out
node43node44,exit_in_exit_out
node8node45,exit_in_transit_out
node28node45,exit_in_transit_out
node7node46,exit_in_exit_out
node38node46,exit_in_transit_out
node13node47,exit_in_transit_out
node5node47,exit_in_transit_out
node25node48,exit_in_exit_out
node13node48,exit_in_transit_out
node30node49,exit_in_transit_out
node35node49,exit_in_transit_out
node1node50,exit_in_transit_out
node14node50,exit_in_transit_out
node57node51,exit_in_exit_out
node27node51,exit_in_transit_out
node37node52,exit_in_exit_out
node53node52,exit_in_exit_out
node52node53,exit_in_exit_out
node55node53,exit_in_exit_out
node15node54,exit_in_exit_out
node1node54,exit_in_transit_out
node23node55,exit_in_exit_out
node53node55,exit_in_exit_out
node58node56,exit_in_exit_out
node15node56,exit_in_exit_out
node37node57,exit_in_exit_out
node51node57,exit_in_exit_out
node56node58,exit_in_exit_out
node23node58,exit_in_exit_out
node3node21,exit_out_transit_in
node6node18,exit_out_transit_in
node6node16,exit_out_transit_in
node7node28,exit_out_transit_in
node25node18,exit_out_transit_in
node25node8,exit_out_transit_in
node33node20,exit_out_transit_in
node34node27,exit_out_transit_in
node36node18,exit_out_transit_in
node36node26,exit_out_transit_in
node39node2,exit_out_transit_in
node42node21,exit_out_transit_in
node44node10,exit_out_transit_in
node45node28,exit_out_transit_in
node45node8,exit_out_transit_in
node46node38,exit_out_transit_in
node47node13,exit_out_transit_in
node47node5,exit_out_transit_in
node48node13,exit_out_transit_in
node49node35,exit_out_transit_in
node49node30,exit_out_transit_in
node50node14,exit_out_transit_in
node50node1,exit_out_transit_in
node51node27,exit_out_transit_in
node54node1,exit_out_transit_in
node31node38,transit_in_transit_out
node22node38,transit_in_transit_out
node16node20,transit_in_transit_out
node19node20,transit_in_transit_out
node11node14,transit_in_transit_out
node30node14,transit_in_transit_out
node10node21,transit_in_transit_out
node4node31,transit_in_transit_out
node38node31,transit_in_transit_out
node24node31,transit_in_transit_out
node29node28,transit_in_transit_out
node11node30,transit_in_transit_out
node14node30,transit_in_transit_out
node32node1,transit_in_transit_out
node35node32,transit_in_transit_out
node27node32,transit_in_transit_out
node1node32,transit_in_transit_out
node31node4,transit_in_transit_out
node11node4,transit_in_transit_out
node29node4,transit_in_transit_out
node38node22,transit_in_transit_out
node19node22,transit_in_transit_out
node24node22,transit_in_transit_out
node32node27,transit_in_transit_out
node32node35,transit_in_transit_out
node2node35,transit_in_transit_out
node16node26,transit_in_transit_out
node8node26,transit_in_transit_out
node20node19,transit_in_transit_out
node24node19,transit_in_transit_out
node22node19,transit_in_transit_out
node5node2,transit_in_transit_out
node35node2,transit_in_transit_out
node30node11,transit_in_transit_out
node14node11,transit_in_transit_out
node4node11,transit_in_transit_out
node22node24,transit_in_transit_out
node31node24,transit_in_transit_out
node19node24,transit_in_transit_out
node4node29,transit_in_transit_out
node13node29,transit_in_transit_out
node28node29,transit_in_transit_out
node20node16,transit_in_transit_out
node26node16,transit_in_transit_out
node29node13,transit_in_transit_out
node21node10,transit_in_transit_out
node5node10,transit_in_transit_out
node26node8,transit_in_transit_out
node2node5,transit_in_transit_out
node10node5,transit_in_transit_out
