ID_UG;nodes
1354;(-12415.94768, 150663.74621),(-12417.27058, 150801.19761),(-12730.80248, 150707.27031),(-12664.03048, 150521.83051),(-12567.75859, 150668.47886)
964;(-12415.94768, 150663.74621),(-12193.00388, 150408.57981),(-12204.39288, 150703.88121),(-12630.04948, 150215.18591),(-12664.03048, 150521.83051),(-12713.51408, 150173.77301),(-12482.69789, 150476.59119)
1190;(-13242.88528, 149724.48541),(-13268.95768, 150156.41771),(-13157.07228, 150118.38961),(-13227.07898, 150146.22091),(-13398.16458, 149824.60111),(-13301.84237, 149934.63369)
967;(-13242.88528, 149724.48541),(-13198.59018, 149677.26611),(-12815.40568, 149829.76891),(-13157.07228, 150118.38961),(-12880.92928, 150025.69071),(-13032.42201, 149899.99789)
1091;(-12178.68768, 147494.02351),(-12457.51948, 147320.30191),(-12280.57218, 147253.92281),(-12340.79808, 147255.51221),(-12299.64687, 147391.65277)
1288;(-13322.81538, 150391.65261),(-13732.31928, 150109.64081),(-13268.95768, 150156.41771),(-13513.26518, 149711.07671),(-13882.07368, 149997.78241),(-13373.07518, 150349.56471),(-13515.87128, 150205.52941),(-13398.16458, 149824.60111),(-13561.87851, 149978.584)
1353;(-13322.81538, 150391.65261),(-12989.03628, 150813.47421),(-13373.07518, 150349.56471),(-13498.77538, 150497.94221),(-13265.02588, 150442.04271),(-13053.49218, 150786.17611)
1016;(-13959.76258, 147857.25941),(-13821.76818, 148188.55821),(-13656.34528, 147921.06891),(-13634.20328, 148057.00371),(-13912.17588, 148174.97421),(-13827.41254, 148018.7185)
1025;(-13111.00188, 147817.87781),(-13016.03408, 147973.70541),(-12641.36178, 148195.25691),(-12599.68638, 148243.06201),(-12994.57238, 148531.33661),(-12641.66028, 148300.17291),(-12939.92328, 148186.61558)
957;(-13944.79308, 150216.77961),(-13732.31928, 150109.64081),(-13909.06378, 150338.57541),(-13882.07368, 149997.78241),(-13801.13578, 150223.65781),(-13898.65996, 150339.52273)
922;(-13821.76818, 148188.55821),(-13864.08228, 148731.81221),(-13912.17588, 148174.97421),(-14069.35638, 148584.14781),(-14082.90658, 148243.02061),(-14069.78638, 148330.28551),(-13573.75614, 148328.60157)
1351;(-13732.31928, 150109.64081),(-13801.13578, 150223.65781),(-13515.87128, 150205.52941),(-13643.11667, 150156.67757)
1357;(-12393.24638, 148629.71811),(-13005.98838, 148606.90471),(-12994.57238, 148531.33661),(-12641.66028, 148300.17291),(-12471.95778, 148790.06951),(-12703.09936, 148577.1192)
1022;(-12393.24638, 148629.71811),(-12084.52488, 149162.66771),(-12361.91348, 148875.38871),(-12471.95778, 148790.06951)
875;(-13808.57768, 147230.26881),(-13517.05858, 147392.12021),(-13982.38488, 147789.31921),(-14041.91648, 147856.58241),(-14007.67333, 147513.84128),(-14027.63358, 147523.27423),(-13552.61908, 147372.45363)
1291;(-14792.76558, 147894.42081),(-14923.24858, 148582.19891),(-14588.57088, 148086.74141),(-14784.72258, 148459.94331)
1027;(-13016.03408, 147973.70541),(-12641.36178, 148195.25691),(-12708.81718, 147887.38281),(-12784.22368, 147864.57911),(-12523.52258, 148105.74521),(-12771.5825, 148051.46174)
1021;(-12361.91348, 148875.38871),(-13005.98838, 148606.90471),(-12471.95778, 148790.06951),(-12615.97978, 149059.73551),(-12845.70708, 148850.55401),(-12704.06565, 148795.67262)
1015;(-14508.68698, 148862.21821),(-14540.70728, 149022.29541),(-14459.27998, 148782.04391),(-14069.35638, 148584.14781),(-14486.36158, 148966.53891),(-14269.57668, 148533.53211),(-14069.78638, 148330.28551),(-14200.06897, 148883.78631)
1028;(-12648.09898, 147728.21881),(-12196.46238, 147903.70951),(-12489.67768, 147669.66561),(-12340.19063, 147770.23171)
1030;(-12648.09898, 147728.21881),(-12902.22938, 147791.44611),(-12489.67768, 147669.66561),(-12689.95068, 147506.21071),(-12802.25184, 147648.57319)
962;(-12417.27058, 150801.19761),(-12431.95498, 150877.72851),(-12903.30308, 150870.32291),(-12466.50368, 150966.41501),(-12730.80248, 150707.27031),(-12574.02218, 150958.16571),(-12882.46849, 150884.95349)
1289;(-13909.06378, 150338.57541),(-14102.65778, 150653.72541),(-13373.07518, 150349.56471),(-13498.77538, 150497.94221),(-13801.13578, 150223.65781),(-13960.11328, 150381.75201),(-13515.87128, 150205.52941)
1252;(-12255.08068, 149486.44061),(-12379.68718, 149572.13951),(-12695.44878, 149352.03591),(-12131.75518, 149344.27771),(-12355.92176, 149299.8976)
1024;(-12090.12278, 148160.55131),(-12641.36178, 148195.25691),(-12599.68638, 148243.06201),(-12005.01458, 148333.32061),(-12523.52258, 148105.74521),(-12033.33143, 148289.34676)
1023;(-12599.68638, 148243.06201),(-12641.66028, 148300.17291),(-12005.01458, 148333.32061),(-12087.62932, 148492.70236)
1020;(-12967.41188, 149141.69051),(-12615.97978, 149059.73551),(-12743.46288, 149316.06771),(-12931.20988, 149482.68611),(-12847.34169, 149222.21063)
920;(-14459.27998, 148782.04391),(-14486.36158, 148966.53891),(-14269.57668, 148533.53211),(-14345.5093, 148722.57501)
