"Source(x,y)","Target(x,y)"
"(-12605.97578, 147390.85921)","(-12445.81777, 147294.8568)"
"(-12253.57308, 147164.96431)","(-12676.76408, 147148.37501)"
"(-12253.57308, 147164.96431)","(-12204.27398, 147128.64421)"
"(-12253.57308, 147164.96431)","(-12280.57218, 147253.92281)"
"(-12253.57308, 147164.96431)","(-12445.81777, 147294.8568)"
"(-12253.57308, 147164.96431)","(-12465.81377, 147031.14202)"
"(-12445.81777, 147294.8568)","(-12676.76408, 147148.37501)"
"(-12445.81777, 147294.8568)","(-12178.68768, 147494.02351)"
"(-12445.81777, 147294.8568)","(-12457.51948, 147320.30191)"
"(-12445.81777, 147294.8568)","(-12280.57218, 147253.92281)"
"(-12445.81777, 147294.8568)","(-12605.97578, 147390.85921)"
"(-12445.81777, 147294.8568)","(-12340.79808, 147255.51221)"
"(-12445.81777, 147294.8568)","(-12253.57308, 147164.96431)"
"(-12445.81777, 147294.8568)","(-12314.97658, 147203.97811)"
"(-12465.81377, 147031.14202)","(-12676.76408, 147148.37501)"
"(-12465.81377, 147031.14202)","(-12204.27398, 147128.64421)"
"(-12465.81377, 147031.14202)","(-12376.80708, 146880.38561)"
"(-12465.81377, 147031.14202)","(-12730.49258, 147044.27301)"
"(-12465.81377, 147031.14202)","(-12150.41828, 147034.86361)"
"(-12465.81377, 147031.14202)","(-12253.57308, 147164.96431)"
"(-12465.81377, 147031.14202)","(-12573.93998, 146944.30511)"
"(-12204.27398, 147128.64421)","(-12253.57308, 147164.96431)"
"(-12204.27398, 147128.64421)","(-12150.41828, 147034.86361)"
"(-12204.27398, 147128.64421)","(-11915.1548, 147459.44344)"
"(-12204.27398, 147128.64421)","(-12465.81377, 147031.14202)"
"(-12150.41828, 147034.86361)","(-12204.27398, 147128.64421)"
"(-12150.41828, 147034.86361)","(-12376.80708, 146880.38561)"
"(-12150.41828, 147034.86361)","(-11666.33808, 147348.19052)"
"(-12150.41828, 147034.86361)","(-12465.81377, 147031.14202)"
"(-11915.1548, 147459.44344)","(-12204.27398, 147128.64421)"
"(-11915.1548, 147459.44344)","(-11647.46748, 147490.42951)"
"(-14115.84058, 148231.16461)","(-14082.90658, 148243.02061)"
"(-14115.84058, 148231.16461)","(-14261.58618, 148060.00501)"
"(-14115.84058, 148231.16461)","(-14725.76647, 148708.12995)"
"(-14115.84058, 148231.16461)","(-14083.29341, 148038.77795)"
"(-14082.90658, 148243.02061)","(-14115.84058, 148231.16461)"
"(-14082.90658, 148243.02061)","(-13912.17588, 148174.97421)"
"(-14082.90658, 148243.02061)","(-14069.78638, 148330.28551)"
"(-14082.90658, 148243.02061)","(-14083.29341, 148038.77795)"
"(-14261.58618, 148060.00501)","(-14115.84058, 148231.16461)"
"(-14261.58618, 148060.00501)","(-14451.34568, 148138.03471)"
