"Node1(x,y)","Node2(x,y)"
"(-13007.97968, 147564.01141)","(-12952.07418, 147583.93271)"
"(-13007.97968, 147564.01141)","(-13044.57688, 147590.13141)"
"(-12204.27398, 147128.64421)","(-12162.38518, 147088.50391)"
"(-12204.27398, 147128.64421)","(-12150.88468, 147155.23851)"
"(-12204.27398, 147128.64421)","(-12253.57308, 147164.96431)"
"(-12837.75498, 148567.14051)","(-12792.92358, 148563.01901)"
"(-12837.75498, 148567.14051)","(-12888.84978, 148602.03921)"
"(-14098.21748, 147720.20011)","(-14102.78858, 147702.99791)"
"(-14098.21748, 147720.20011)","(-14081.64748, 147738.70341)"
"(-14115.84058, 148231.16461)","(-14082.90658, 148243.02061)"
"(-14115.84058, 148231.16461)","(-14130.12808, 148277.20211)"
"(-14115.84058, 148231.16461)","(-14148.02998, 148195.04921)"
"(-13779.96568, 149852.44391)","(-13803.13378, 149834.21821)"
"(-13779.96568, 149852.44391)","(-13785.25738, 149888.16271)"
"(-11888.78078, 147252.51691)","(-11932.40778, 147220.85121)"
"(-11888.78078, 147252.51691)","(-11835.29698, 147287.21631)"
"(-12172.94708, 150402.38211)","(-12177.70738, 150403.85321)"
"(-12172.94708, 150402.38211)","(-12173.44668, 150401.27201)"
"(-12451.03148, 148715.84891)","(-12433.56898, 148655.52391)"
"(-12451.03148, 148715.84891)","(-12471.95778, 148790.06951)"
"(-11932.40778, 147220.85121)","(-11911.20918, 147169.78621)"
"(-14314.61748, 148075.75451)","(-14263.29688, 148060.51301)"
"(-14314.61748, 148075.75451)","(-14373.17468, 148116.49711)"
"(-13927.20188, 148694.85321)","(-13980.12148, 148671.85081)"
"(-13927.20188, 148694.85321)","(-13864.08228, 148731.81221)"
"(-13530.61778, 147653.57281)","(-13597.10408, 147665.89741)"
"(-14257.99018, 148701.93861)","(-14277.26218, 148741.74481)"
"(-14257.99018, 148701.93861)","(-14222.83608, 148662.79661)"
"(-14906.41708, 148518.50261)","(-14894.51088, 148488.07541)"
"(-14906.41708, 148518.50261)","(-14923.24858, 148582.19891)"
"(-12041.43778, 149785.47481)","(-12022.90838, 149779.59961)"
"(-12041.43778, 149785.47481)","(-12053.60008, 149741.49951)"
"(-12343.22728, 148867.54521)","(-12361.91348, 148875.38871)"
"(-12343.22728, 148867.54521)","(-12361.90848, 148799.72671)"
"(-13217.53098, 149234.95371)","(-13205.88928, 149216.96201)"
"(-13217.53098, 149234.95371)","(-13241.87268, 149262.47041)"
"(-12079.93658, 149454.85741)","(-12045.01158, 149392.15091)"
"(-12079.93658, 149454.85741)","(-12111.52308, 149486.71661)"
"(-14090.78468, 150315.48721)","(-14157.62978, 150333.11521)"
"(-14090.78468, 150315.48721)","(-14038.79338, 150341.53461)"
"(-12939.98248, 148760.29911)","(-12987.60758, 148746.01161)"
"(-12939.98248, 148760.29911)","(-12903.46988, 148780.93661)"
"(-12802.52988, 148040.00061)","(-12792.88188, 148106.91171)"
"(-12802.52988, 148040.00061)","(-12765.42958, 147998.79021)"
"(-12335.24418, 150418.77751)","(-12330.38958, 150419.11211)"
"(-12335.24418, 150418.77751)","(-12335.79088, 150418.75011)"
"(-13676.95438, 150097.11341)","(-13626.68348, 150089.17591)"
"(-12961.22138, 149405.15901)","(-12999.04458, 149377.46461)"
"(-12961.22138, 149405.15901)","(-12931.20988, 149482.68611)"
"(-12369.47588, 149986.50381)","(-12393.46398, 149949.97711)"
"(-12369.47588, 149986.50381)","(-12334.07288, 150036.38051)"
"(-12399.81758, 148890.50631)","(-12402.56688, 148892.45321)"
"(-12399.81758, 148890.50631)","(-12361.91348, 148875.38871)"
"(-13590.96468, 150126.21771)","(-13626.68348, 150089.17591)"
"(-13590.96468, 150126.21771)","(-13515.55818, 150122.24891)"
"(-12258.14398, 147591.09791)","(-12206.43788, 147549.28161)"
"(-12258.14398, 147591.09791)","(-12306.66998, 147604.57251)"
"(-13796.31128, 147902.21741)","(-13711.26688, 147906.05931)"
"(-13796.31128, 147902.21741)","(-13850.39888, 147875.93771)"
"(-12975.40738, 147828.59971)","(-13037.75698, 147824.35601)"
"(-12975.40738, 147828.59971)","(-12923.71398, 147829.54221)"
"(-13489.18408, 149095.06091)","(-13470.47308, 149061.38671)"
"(-13489.18408, 149095.06091)","(-13481.93518, 149112.65691)"
"(-11931.04648, 150675.38001)","(-11930.56368, 150673.93181)"
"(-13342.41448, 149273.05371)","(-13255.63098, 149270.93711)"
"(-13342.41448, 149273.05371)","(-13371.09178, 149240.39221)"
"(-13342.41448, 149273.05371)","(-13344.55208, 149283.23872)"
"(-12814.29168, 146779.49421)","(-12771.02698, 146756.67071)"
"(-12814.29168, 146779.49421)","(-12874.23558, 146791.73581)"
"(-13150.39048, 147167.67311)","(-13099.47688, 147146.92521)"
"(-13150.39048, 147167.67311)","(-13223.90328, 147193.25151)"
"(-12077.01318, 148042.24901)","(-12069.69608, 148083.63751)"
"(-12077.01318, 148042.24901)","(-12081.56955, 148030.69877)"
"(-14451.34568, 148138.03471)","(-14524.06268, 148100.13261)"
"(-14451.34568, 148138.03471)","(-14488.98938, 148205.82491)"
"(-14451.34568, 148138.03471)","(-14440.99458, 148135.18271)"
"(-12952.07418, 147583.93271)","(-12887.19118, 147555.87671)"
"(-12115.78298, 149489.29801)","(-12113.63518, 149487.13171)"
"(-12115.78298, 149489.29801)","(-12125.00768, 149491.11041)"
"(-12083.89488, 149179.40441)","(-12096.46258, 149194.61791)"
"(-12083.89488, 149179.40441)","(-12084.52488, 149162.66771)"
"(-12597.82108, 148084.21641)","(-12652.37748, 148061.83361)"
"(-12597.82108, 148084.21641)","(-12523.52258, 148105.74521)"
"(-13626.40118, 148258.90381)","(-13679.31798, 148268.42891)"
"(-13489.09978, 150148.70731)","(-13465.28728, 150134.15521)"
"(-13489.09978, 150148.70731)","(-13514.23528, 150179.13451)"
"(-12194.35928, 150408.99861)","(-12193.00388, 150408.57981)"
"(-12194.35928, 150408.99861)","(-12199.88228, 150410.16681)"
"(-12333.76748, 148958.21071)","(-12352.94988, 148942.33571)"
"(-12333.76748, 148958.21071)","(-12324.50708, 149000.54411)"
"(-12704.87318, 148475.80971)","(-12693.76068, 148490.09721)"
"(-12704.87318, 148475.80971)","(-12695.34818, 148404.37211)"
"(-12611.44288, 150271.83831)","(-12602.40678, 150291.90211)"
"(-12611.44288, 150271.83831)","(-12617.02278, 150259.44891)"
"(-13839.49698, 149963.56911)","(-13807.74698, 149991.35041)"
"(-13839.49698, 149963.56911)","(-13882.38998, 149974.23101)"
"(-12262.70028, 150423.45431)","(-12256.82938, 150422.21241)"
"(-12262.70028, 150423.45431)","(-12263.59248, 150423.64331)"
"(-11771.29168, 147565.52741)","(-11821.56248, 147544.36071)"
"(-11771.29168, 147565.52741)","(-11727.63538, 147599.92341)"
"(-13093.39048, 148264.36981)","(-13103.31378, 148202.26101)"
"(-13093.39048, 148264.36981)","(-13028.32348, 148500.60331)"
"(-12936.77568, 150847.07991)","(-12941.00898, 150834.37991)"
"(-12936.77568, 150847.07991)","(-12919.84238, 150855.54671)"
"(-11696.00488, 149459.23631)","(-11663.50808, 149453.94621)"
"(-11696.00488, 149459.23631)","(-11706.87438, 149468.82721)"
"(-13121.22238, 149067.73671)","(-13145.56408, 149117.47851)"
"(-13121.22238, 149067.73671)","(-13127.57238, 149059.27011)"
"(-13121.22238, 149067.73671)","(-13069.62858, 149003.70741)"
"(-13275.49088, 147239.33471)","(-13328.05228, 147261.99701)"
"(-13275.49088, 147239.33471)","(-13223.90328, 147193.25151)"
"(-13756.86928, 150217.11981)","(-13739.27648, 150160.13681)"
"(-13756.86928, 150217.11981)","(-13801.13578, 150223.65781)"
"(-13033.90978, 148966.66571)","(-12986.28468, 148925.65511)"
"(-13033.90978, 148966.66571)","(-13069.62858, 149003.70741)"
"(-11816.67148, 149589.58201)","(-11814.89028, 149587.05141)"
"(-11816.67148, 149589.58201)","(-11849.98588, 149590.26581)"
"(-12493.99418, 147196.06891)","(-12469.30838, 147233.38551)"
"(-12493.99418, 147196.06891)","(-12435.92798, 147181.90981)"
"(-13018.36858, 149161.17581)","(-12967.41188, 149141.69051)"
"(-13018.36858, 149161.17581)","(-13054.79598, 149198.22101)"
"(-13250.39468, 147614.31101)","(-13227.25538, 147667.07051)"
"(-13250.39468, 147614.31101)","(-13291.34988, 147588.84271)"
"(-12168.39498, 147729.99981)","(-12140.00248, 147793.29121)"
"(-12168.39498, 147729.99981)","(-12225.78348, 147661.16791)"
"(-11726.11498, 149873.89731)","(-11730.18318, 149874.95201)"
"(-11726.11498, 149873.89731)","(-11725.92418, 149872.37051)"
"(-14246.78158, 150347.65021)","(-14300.86368, 150261.49301)"
"(-14246.78158, 150347.65021)","(-14203.63548, 150334.97501)"
"(-13264.51328, 146989.71721)","(-13206.10108, 146926.16291)"
"(-13264.51328, 146989.71721)","(-13350.23848, 147050.04231)"
"(-12564.73848, 147774.76341)","(-12609.67768, 147757.23341)"
"(-12564.73848, 147774.76341)","(-12514.73228, 147766.63661)"
"(-13157.50808, 148009.64711)","(-13165.79488, 147964.59321)"
"(-13157.50808, 148009.64711)","(-13115.29138, 148082.85281)"
"(-13854.25958, 150231.50441)","(-13832.86998, 150288.72811)"
"(-13854.25958, 150231.50441)","(-13801.13578, 150223.65781)"
"(-11787.35798, 146901.58651)","(-11726.15138, 146918.80101)"
"(-11787.35798, 146901.58651)","(-11829.82083, 146875.34897)"
"(-12376.80708, 146880.38561)","(-12313.59968, 146834.82901)"
"(-12376.80708, 146880.38561)","(-12339.89678, 146919.53631)"
"(-12376.80708, 146880.38561)","(-12422.89798, 146902.37141)"
"(-12552.18018, 150196.78751)","(-12565.42878, 150238.24301)"
"(-12552.18018, 150196.78751)","(-12563.56228, 150136.32261)"
"(-12418.99758, 148110.51641)","(-12359.18558, 148077.97121)"
"(-12418.99758, 148110.51641)","(-12469.20808, 148096.24451)"
"(-12488.10628, 148476.31221)","(-12547.26588, 148423.43201)"
"(-12488.10628, 148476.31221)","(-12424.43888, 148478.60841)"
"(-12082.65148, 147348.72231)","(-12084.26298, 147266.00361)"
"(-12082.65148, 147348.72231)","(-12059.82198, 147397.63961)"
"(-12365.66668, 150677.12771)","(-12286.47218, 150686.48781)"
"(-12365.66668, 150677.12771)","(-12415.94768, 150663.74621)"
"(-12274.22078, 150422.98411)","(-12273.38338, 150423.04181)"
