"Source(x,y)","Target(x,y)"
"(-13447.65628, 147077.80214)","(-13459.37977, 147097.59772)"
"(-13524.37078, 147119.40171)","(-13459.37977, 147097.59772)"
"(-13197.82043, 146922.22721)","(-13459.37977, 147097.59772)"
"(-13324.00156, 146877.80252)","(-13459.37977, 147097.59772)"
"(-13479.80373, 146959.63421)","(-13459.37977, 147097.59772)"
"(-13089.88771, 147018.35919)","(-13459.37977, 147097.59772)"
"(-12253.57308, 147164.96431)","(-12263.80848, 147091.67241)"
"(-12465.81377, 147031.14202)","(-12263.80848, 147091.67241)"
"(-12445.81777, 147294.8568)","(-12263.80848, 147091.67241)"
"(-12253.57308, 147164.96431)","(-12204.27398, 147128.64421)"
"(-12162.38518, 147088.50391)","(-12204.27398, 147128.64421)"
"(-11915.1548, 147459.44344)","(-12204.27398, 147128.64421)"
"(-12465.81377, 147031.14202)","(-12204.27398, 147128.64421)"
"(-11897.64531, 147344.57458)","(-12204.27398, 147128.64421)"
"(-14148.02998, 148195.04921)","(-14115.84058, 148231.16461)"
"(-14082.90658, 148243.02061)","(-14115.84058, 148231.16461)"
"(-14433.07574, 148589.79609)","(-14115.84058, 148231.16461)"
"(-14083.29341, 148038.77795)","(-14115.84058, 148231.16461)"
"(-14468.39677, 148629.44725)","(-14115.84058, 148231.16461)"
"(-14564.73205, 148466.21055)","(-14115.84058, 148231.16461)"
"(-11932.40778, 147220.85121)","(-11888.78078, 147252.51691)"
"(-11774.10648, 147351.59401)","(-11888.78078, 147252.51691)"
"(-11832.54596, 147082.78683)","(-11888.78078, 147252.51691)"
"(-11897.64531, 147344.57458)","(-11888.78078, 147252.51691)"
"(-12150.41828, 147034.86361)","(-11932.40778, 147220.85121)"
"(-11832.54596, 147082.78683)","(-11932.40778, 147220.85121)"
"(-11897.64531, 147344.57458)","(-11932.40778, 147220.85121)"
"(-12193.48708, 149840.19281)","(-12041.43778, 149785.47481)"
"(-12379.68718, 149572.13951)","(-12041.43778, 149785.47481)"
"(-11981.49018, 149557.28201)","(-12041.43778, 149785.47481)"
"(-12666.14925, 149667.58121)","(-12041.43778, 149785.47481)"
"(-12107.60039, 149563.08518)","(-12041.43778, 149785.47481)"
"(-11866.22802, 149776.83151)","(-12041.43778, 149785.47481)"
"(-13580.48258, 149011.38861)","(-13489.18408, 149095.06091)"
"(-13362.52288, 148952.37821)","(-13489.18408, 149095.06091)"
"(-13342.41448, 149273.05371)","(-13489.18408, 149095.06091)"
"(-13590.11442, 148854.66064)","(-13489.18408, 149095.06091)"
"(-13310.96519, 149117.31268)","(-13489.18408, 149095.06091)"
"(-13836.02542, 149041.5392)","(-13489.18408, 149095.06091)"
"(-13255.63098, 149270.93711)","(-13342.41448, 149273.05371)"
"(-13344.55208, 149283.23872)","(-13342.41448, 149273.05371)"
"(-13310.96519, 149117.31268)","(-13342.41448, 149273.05371)"
"(-13254.19366, 149464.37443)","(-13342.41448, 149273.05371)"
"(-13836.02542, 149041.5392)","(-13342.41448, 149273.05371)"
"(-13518.84458, 146773.71091)","(-13450.72168, 146777.41561)"
"(-13447.65628, 147077.80214)","(-13450.72168, 146777.41561)"
"(-13226.05408, 146692.81491)","(-13450.72168, 146777.41561)"
"(-13324.00156, 146877.80252)","(-13450.72168, 146777.41561)"
"(-13479.80373, 146959.63421)","(-13450.72168, 146777.41561)"
"(-13023.58007, 147093.60982)","(-13150.39048, 147167.67311)"
"(-13517.05858, 147392.12021)","(-13150.39048, 147167.67311)"
"(-12876.52625, 147384.35382)","(-13150.39048, 147167.67311)"
"(-13089.88771, 147018.35919)","(-13150.39048, 147167.67311)"
"(-12873.50474, 147235.71548)","(-13150.39048, 147167.67311)"
"(-13290.59419, 147587.12927)","(-13150.39048, 147167.67311)"
"(-12081.56955, 148030.69878)","(-12077.01318, 148042.24901)"
"(-12090.12278, 148160.55131)","(-12077.01318, 148042.24901)"
"(-12708.81718, 147887.38281)","(-12077.01318, 148042.24901)"
"(-12492.32844, 147882.62806)","(-12077.01318, 148042.24901)"
"(-12425.12239, 148037.82604)","(-12077.01318, 148042.24901)"
"(-14588.57088, 148086.74141)","(-14451.34568, 148138.03471)"
"(-14261.58618, 148060.00501)","(-14451.34568, 148138.03471)"
"(-14784.72258, 148459.94331)","(-14451.34568, 148138.03471)"
"(-14646.58932, 148243.81284)","(-14451.34568, 148138.03471)"
"(-14564.73205, 148466.21055)","(-14451.34568, 148138.03471)"
"(-12903.30308, 150870.32291)","(-12936.77568, 150847.07991)"
"(-12976.39239, 150817.80705)","(-12936.77568, 150847.07991)"
"(-12967.5417, 150404.96628)","(-12936.77568, 150847.07991)"
"(-12962.70158, 148897.86801)","(-13121.22238, 149067.73671)"
"(-13153.70138, 149198.15421)","(-13121.22238, 149067.73671)"
"(-13362.52288, 148952.37821)","(-13121.22238, 149067.73671)"
"(-13167.04628, 148957.40486)","(-13121.22238, 149067.73671)"
"(-12911.237, 149019.71742)","(-13121.22238, 149067.73671)"
"(-13310.96519, 149117.31268)","(-13121.22238, 149067.73671)"
"(-12080.04928, 146757.98281)","(-12181.79218, 146626.33611)"
"(-12245.41252, 146523.94896)","(-12181.79218, 146626.33611)"
"(-11614.43768, 146306.63241)","(-12181.79218, 146626.33611)"
"(-11535.17588, 146511.60567)","(-12181.79218, 146626.33611)"
"(-12229.4852, 146691.79924)","(-12181.79218, 146626.33611)"
"(-14267.39888, 150386.63271)","(-14246.78158, 150347.65021)"
"(-13909.06378, 150338.57541)","(-14246.78158, 150347.65021)"
"(-13944.79308, 150216.77961)","(-14246.78158, 150347.65021)"
"(-14031.72505, 150215.80035)","(-14246.78158, 150347.65021)"
"(-14091.62136, 150375.00936)","(-14246.78158, 150347.65021)"
"(-14659.81378, 149014.15301)","(-14747.5615, 149078.66405)"
"(-14849.10808, 149082.06171)","(-14747.5615, 149078.66405)"
"(-14748.54698, 149657.91391)","(-14747.5615, 149078.66405)"
"(-14754.39218, 148935.42417)","(-14747.5615, 149078.66405)"
"(-14512.32767, 149509.9299)","(-14747.5615, 149078.66405)"
"(-12225.39426, 146864.2554)","(-12376.80708, 146880.38561)"
"(-12573.93998, 146944.30511)","(-12376.80708, 146880.38561)"
"(-12150.41828, 147034.86361)","(-12376.80708, 146880.38561)"
"(-12416.58816, 146754.19929)","(-12376.80708, 146880.38561)"
"(-12465.81377, 147031.14202)","(-12376.80708, 146880.38561)"
"(-11832.54596, 147082.78683)","(-12376.80708, 146880.38561)"
"(-11530.46478, 146304.00601)","(-11614.43768, 146306.63241)"
"(-11535.17588, 146511.60567)","(-11614.43768, 146306.63241)"
"(-13417.72448, 150892.31761)","(-13535.03698, 150818.95011)"
"(-13792.60508, 150568.20931)","(-13535.03698, 150818.95011)"
"(-13666.41118, 151056.27181)","(-13535.03698, 150818.95011)"
"(-13822.99718, 150843.18972)","(-13535.03698, 150818.95011)"
"(-13482.42507, 150694.46085)","(-13535.03698, 150818.95011)"
"(-14908.31698, 148833.23941)","(-14852.42928, 148832.95261)"
"(-14639.88718, 148780.30091)","(-14852.42928, 148832.95261)"
"(-14849.10808, 149082.06171)","(-14852.42928, 148832.95261)"
"(-14468.39677, 148629.44725)","(-14852.42928, 148832.95261)"
"(-14754.39218, 148935.42417)","(-14852.42928, 148832.95261)"
"(-14955.64841, 148962.5414)","(-14852.42928, 148832.95261)"
"(-13500.66031, 148267.46739)","(-13503.97838, 148238.07981)"
"(-13573.75614, 148328.60157)","(-13503.97838, 148238.07981)"
"(-13821.76818, 148188.55821)","(-13503.97838, 148238.07981)"
"(-13479.42886, 148513.25675)","(-13503.97838, 148238.07981)"
"(-13864.91187, 148400.54176)","(-13503.97838, 148238.07981)"
"(-12193.48708, 149840.19281)","(-12169.65998, 150016.73191)"
"(-11828.98588, 150328.93911)","(-12169.65998, 150016.73191)"
"(-12666.14925, 149667.58121)","(-12169.65998, 150016.73191)"
"(-11960.48012, 150082.82789)","(-12169.65998, 150016.73191)"
"(-12244.76529, 150210.78863)","(-12169.65998, 150016.73191)"
"(-12686.93718, 146655.17411)","(-12770.76558, 146507.5353)"
"(-12705.32778, 146463.12191)","(-12770.76558, 146507.5353)"
"(-12864.00236, 146562.20164)","(-12770.76558, 146507.5353)"
"(-12693.48505, 146544.85772)","(-12770.76558, 146507.5353)"
"(-12773.22451, 146624.62785)","(-12770.76558, 146507.5353)"
"(-13610.15188, 148378.99901)","(-13672.51748, 148400.85541)"
"(-13725.34838, 148456.91111)","(-13672.51748, 148400.85541)"
"(-13864.91187, 148400.54176)","(-13672.51748, 148400.85541)"
"(-13624.68056, 148480.95494)","(-13672.51748, 148400.85541)"
"(-12204.39288, 150703.88121)","(-12415.94768, 150663.74621)"
"(-12417.27058, 150801.19761)","(-12415.94768, 150663.74621)"
"(-12664.03048, 150521.83051)","(-12415.94768, 150663.74621)"
"(-12567.75859, 150668.47886)","(-12415.94768, 150663.74621)"
"(-12482.69789, 150476.59119)","(-12415.94768, 150663.74621)"
"(-12140.67703, 150814.53752)","(-12415.94768, 150663.74621)"
"(-13541.13018, 148740.11621)","(-13338.97268, 148543.80121)"
"(-13500.66031, 148267.46739)","(-13338.97268, 148543.80121)"
"(-13479.42886, 148513.25675)","(-13338.97268, 148543.80121)"
"(-12641.10768, 146527.34251)","(-12580.68998, 146607.75611)"
"(-12451.77348, 146591.56311)","(-12580.68998, 146607.75611)"
"(-12573.93998, 146944.30511)","(-12580.68998, 146607.75611)"
"(-12419.48714, 146353.17934)","(-12580.68998, 146607.75611)"
"(-12416.58816, 146754.19929)","(-12580.68998, 146607.75611)"
"(-13089.88771, 147018.35919)","(-12580.68998, 146607.75611)"
"(-13651.37428, 147115.01191)","(-13700.70448, 146912.22621)"
"(-13518.84458, 146773.71091)","(-13700.70448, 146912.22621)"
"(-13603.2826, 146951.31058)","(-13700.70448, 146912.22621)"
"(-13754.70546, 147106.64356)","(-13700.70448, 146912.22621)"
"(-12856.57828, 147058.04901)","(-12730.49258, 147044.27301)"
"(-12573.93998, 146944.30511)","(-12730.49258, 147044.27301)"
"(-12465.81377, 147031.14202)","(-12730.49258, 147044.27301)"
"(-13089.88771, 147018.35919)","(-12730.49258, 147044.27301)"
