"Source(x,y)","Target(x,y)"
"(-13322.81538, 150391.65261)","(-13373.07518, 150349.56471)"
"(-13322.81538, 150391.65261)","(-13268.95768, 150156.41771)"
"(-13322.81538, 150391.65261)","(-13561.87851, 149978.584)"
"(-12193.48708, 149840.19281)","(-11771.13658, 150069.97271)"
"(-12193.48708, 149840.19281)","(-11960.48012, 150082.8279)"
"(-12193.48708, 149840.19281)","(-12666.14925, 149667.58121)"
"(-13959.76258, 147857.25941)","(-13982.38488, 147789.31921)"
"(-13959.76258, 147857.25941)","(-13656.34528, 147921.06891)"
"(-13959.76258, 147857.25941)","(-13912.17588, 148174.97421)"
"(-13959.76258, 147857.25941)","(-13827.41254, 148018.7185)"
"(-13959.76258, 147857.25941)","(-14083.29341, 148038.77795)"
"(-13959.76258, 147857.25941)","(-13290.59419, 147587.12927)"
"(-13111.00188, 147817.87781)","(-13212.37538, 147764.49301)"
"(-13111.00188, 147817.87781)","(-12994.57238, 148531.33661)"
"(-13111.00188, 147817.87781)","(-13016.03408, 147973.70541)"
"(-13111.00188, 147817.87781)","(-12939.92328, 148186.61558)"
"(-13111.00188, 147817.87781)","(-13290.59419, 147587.12927)"
"(-13944.79308, 150216.77961)","(-13882.07368, 149997.78241)"
"(-13944.79308, 150216.77961)","(-13909.06378, 150338.57541)"
"(-13198.59018, 149677.26611)","(-12931.20988, 149482.68611)"
"(-13198.59018, 149677.26611)","(-12815.40568, 149829.76891)"
"(-13198.59018, 149677.26611)","(-13032.42201, 149899.99789)"
"(-13198.59018, 149677.26611)","(-12666.14925, 149667.58121)"
"(-13821.76818, 148188.55821)","(-13912.17588, 148174.97421)"
"(-13821.76818, 148188.55821)","(-13573.75614, 148328.60157)"
"(-13821.76818, 148188.55821)","(-13634.20328, 148057.00371)"
"(-13821.76818, 148188.55821)","(-13827.41254, 148018.7185)"
"(-13153.70138, 149198.15421)","(-13191.91595, 149213.96773)"
"(-13153.70138, 149198.15421)","(-12967.41188, 149141.69051)"
"(-13153.70138, 149198.15421)","(-12911.237, 149019.71742)"
"(-13732.31928, 150109.64081)","(-13515.87128, 150205.52941)"
"(-13732.31928, 150109.64081)","(-13801.13578, 150223.65781)"
"(-13732.31928, 150109.64081)","(-13882.07368, 149997.78241)"
"(-13732.31928, 150109.64081)","(-13561.87851, 149978.584)"
"(-13732.31928, 150109.64081)","(-13643.11667, 150156.67757)"
"(-12393.24638, 148629.71811)","(-12471.95778, 148790.06951)"
"(-12393.24638, 148629.71811)","(-12084.52488, 149162.66771)"
"(-12393.24638, 148629.71811)","(-12641.66028, 148300.17291)"
"(-12393.24638, 148629.71811)","(-12703.09936, 148577.1192)"
"(-13808.57768, 147230.26881)","(-13788.95158, 147217.47001)"
"(-13808.57768, 147230.26881)","(-13552.61908, 147372.45363)"
"(-13808.57768, 147230.26881)","(-14007.67333, 147513.84128)"
"(-14792.76558, 147894.42081)","(-14923.24858, 148582.19891)"
"(-14792.76558, 147894.42081)","(-14588.57088, 148086.74141)"
"(-12989.03628, 150813.47421)","(-12976.39239, 150817.80705)"
"(-12989.03628, 150813.47421)","(-13265.02588, 150442.04271)"
"(-12989.03628, 150813.47421)","(-13053.49218, 150786.17611)"
"(-13268.95768, 150156.41771)","(-13227.07898, 150146.22091)"
"(-13268.95768, 150156.41771)","(-13398.16458, 149824.60111)"
"(-13268.95768, 150156.41771)","(-13301.84237, 149934.63369)"
"(-13268.95768, 150156.41771)","(-13561.87851, 149978.584)"
"(-13517.05858, 147392.12021)","(-13552.61908, 147372.45363)"
"(-13517.05858, 147392.12021)","(-13982.38488, 147789.31921)"
"(-13517.05858, 147392.12021)","(-13290.59419, 147587.12927)"
"(-12084.52488, 149162.66771)","(-12361.91348, 148875.38871)"
"(-12457.51948, 147320.30191)","(-12314.97658, 147203.97811)"
"(-12457.51948, 147320.30191)","(-12340.79808, 147255.51221)"
"(-12457.51948, 147320.30191)","(-12445.81777, 147294.8568)"
"(-12457.51948, 147320.30191)","(-12299.64687, 147391.65277)"
"(-14261.58618, 148060.00501)","(-14041.91648, 147856.58241)"
"(-14261.58618, 148060.00501)","(-14083.29341, 148038.77795)"
"(-12150.41828, 147034.86361)","(-11666.33808, 147348.19052)"
"(-12150.41828, 147034.86361)","(-12465.81377, 147031.14202)"
"(-13016.03408, 147973.70541)","(-12641.36178, 148195.25691)"
"(-13016.03408, 147973.70541)","(-12784.22368, 147864.57911)"
"(-13016.03408, 147973.70541)","(-12939.92328, 148186.61558)"
"(-13016.03408, 147973.70541)","(-12771.5825, 148051.46174)"
"(-13016.03408, 147973.70541)","(-13290.59419, 147587.12927)"
"(-13982.38488, 147789.31921)","(-14041.91648, 147856.58241)"
"(-13982.38488, 147789.31921)","(-14083.29341, 148038.77795)"
"(-13982.38488, 147789.31921)","(-13290.59419, 147587.12927)"
"(-12361.91348, 148875.38871)","(-12471.95778, 148790.06951)"
"(-12361.91348, 148875.38871)","(-12615.97978, 149059.73551)"
"(-12361.91348, 148875.38871)","(-12704.06565, 148795.67262)"
"(-13656.34528, 147921.06891)","(-13634.20328, 148057.00371)"
"(-13656.34528, 147921.06891)","(-13827.41254, 148018.7185)"
"(-13656.34528, 147921.06891)","(-13432.83625, 147809.62672)"
"(-13656.34528, 147921.06891)","(-13290.59419, 147587.12927)"
"(-13255.63098, 149270.93711)","(-13191.91595, 149213.96773)"
"(-12193.00388, 150408.57981)","(-12146.24188, 150392.86561)"
"(-12193.00388, 150408.57981)","(-12630.04948, 150215.18591)"
"(-12193.00388, 150408.57981)","(-12204.39288, 150703.88121)"
"(-12193.00388, 150408.57981)","(-12482.69789, 150476.59119)"
"(-13513.26518, 149711.07671)","(-13592.64028, 149533.99081)"
"(-13513.26518, 149711.07671)","(-13398.16458, 149824.60111)"
"(-13513.26518, 149711.07671)","(-13882.07368, 149997.78241)"
"(-13513.26518, 149711.07671)","(-13561.87851, 149978.584)"
"(-14508.68698, 148862.21821)","(-14459.27998, 148782.04391)"
"(-14508.68698, 148862.21821)","(-14540.70728, 149022.29541)"
"(-14508.68698, 148862.21821)","(-14559.30131, 148727.3699)"
"(-12648.09898, 147728.21881)","(-12902.22938, 147791.44611)"
"(-12648.09898, 147728.21881)","(-12489.67768, 147669.66561)"
"(-12648.09898, 147728.21881)","(-12196.46238, 147903.70951)"
"(-12648.09898, 147728.21881)","(-12340.19063, 147770.23171)"
"(-12648.09898, 147728.21881)","(-12802.25184, 147648.57319)"
"(-13634.20328, 148057.00371)","(-13212.37538, 147764.49301)"
"(-13634.20328, 148057.00371)","(-13827.41254, 148018.7185)"
"(-13634.20328, 148057.00371)","(-13432.83625, 147809.62672)"
"(-12417.27058, 150801.19761)","(-12730.80248, 150707.27031)"
"(-12417.27058, 150801.19761)","(-12431.95498, 150877.72851)"
"(-12417.27058, 150801.19761)","(-12567.75859, 150668.47886)"
"(-11646.16018, 147401.95171)","(-11647.46748, 147490.42951)"
"(-11646.16018, 147401.95171)","(-11666.33808, 147348.19052)"
"(-11771.13658, 150069.97271)","(-11828.98588, 150328.93911)"
"(-11771.13658, 150069.97271)","(-11721.16148, 150038.74081)"
"(-11771.13658, 150069.97271)","(-11960.48012, 150082.8279)"
"(-13788.95158, 147217.47001)","(-12645.86123, 146575.13652)"
