"Node1(x,y)","Node2(x,y)"
"(-13150.39048, 147167.67311)","(-13517.05858, 147392.12021)"
"(-13150.39048, 147167.67311)","(-12876.52625, 147384.35382)"
"(-13150.39048, 147167.67311)","(-13089.88771, 147018.35919)"
"(-13150.39048, 147167.67311)","(-12873.50474, 147235.71548)"
"(-13150.39048, 147167.67311)","(-13290.59419, 147587.12927)"
"(-12077.01318, 148042.24901)","(-12081.56955, 148030.69878)"
"(-12077.01318, 148042.24901)","(-12090.12278, 148160.55131)"
"(-12077.01318, 148042.24901)","(-12708.81718, 147887.38281)"
"(-12077.01318, 148042.24901)","(-12492.32844, 147882.62806)"
"(-12077.01318, 148042.24901)","(-12425.12239, 148037.82604)"
"(-14451.34568, 148138.03471)","(-14588.57088, 148086.74141)"
"(-14451.34568, 148138.03471)","(-14261.58618, 148060.00501)"
"(-14451.34568, 148138.03471)","(-14784.72258, 148459.94331)"
"(-14451.34568, 148138.03471)","(-14646.58932, 148243.81284)"
"(-14451.34568, 148138.03471)","(-14564.73205, 148466.21055)"
"(-12936.77568, 150847.07991)","(-12903.30308, 150870.32291)"
"(-12936.77568, 150847.07991)","(-12976.39239, 150817.80705)"
"(-12936.77568, 150847.07991)","(-12967.5417, 150404.96628)"
"(-13121.22238, 149067.73671)","(-12962.70158, 148897.86801)"
"(-13121.22238, 149067.73671)","(-13153.70138, 149198.15421)"
"(-13121.22238, 149067.73671)","(-13362.52288, 148952.37821)"
"(-13121.22238, 149067.73671)","(-13167.04628, 148957.40486)"
"(-13121.22238, 149067.73671)","(-12911.237, 149019.71742)"
"(-13121.22238, 149067.73671)","(-13310.96519, 149117.31268)"
"(-12181.79218, 146626.33611)","(-12080.04928, 146757.98281)"
"(-12181.79218, 146626.33611)","(-12245.41252, 146523.94896)"
"(-12181.79218, 146626.33611)","(-11614.43768, 146306.63241)"
"(-12181.79218, 146626.33611)","(-11535.17588, 146511.60567)"
"(-12181.79218, 146626.33611)","(-12229.4852, 146691.79924)"
"(-14246.78158, 150347.65021)","(-14267.39888, 150386.63271)"
"(-14246.78158, 150347.65021)","(-13909.06378, 150338.57541)"
"(-14246.78158, 150347.65021)","(-13944.79308, 150216.77961)"
"(-14246.78158, 150347.65021)","(-14031.72505, 150215.80035)"
"(-14246.78158, 150347.65021)","(-14091.62136, 150375.00936)"
"(-14747.5615, 149078.66405)","(-14659.81378, 149014.15301)"
"(-14747.5615, 149078.66405)","(-14849.10808, 149082.06171)"
"(-14747.5615, 149078.66405)","(-14748.54698, 149657.91391)"
"(-14747.5615, 149078.66405)","(-14754.39218, 148935.42417)"
"(-14747.5615, 149078.66405)","(-14512.32767, 149509.9299)"
"(-12376.80708, 146880.38561)","(-12225.39426, 146864.2554)"
