"Source(x,y)","Target(x,y)",edgelength,has_exit,has_source,Build5m,Maintain5m,Build10m,Maintain10m,Upgrade,slope,removed_nodes
"(-12438.34998, 149911.92941)","(-12169.65998, 150016.73191)",0.35276848850193443,False,False,1705,663,2556,663,1278,False,"[(-12396.51688, 149879.55011), (-12351.07248, 149875.49201), (-12286.69168, 149882.03101), (-12232.58578, 149932.88131), (-12212.60768, 149998.55341)]"
"(-12438.34998, 149911.92941)","(-12815.40568, 149829.76891)",0.4296100452893785,False,False,3228,1153,4842,1153,2421,False,"[(-12509.39408, 149920.94601), (-12534.69348, 149875.09221), (-12575.61748, 149834.71161), (-12630.15378, 149814.53071), (-12676.85858, 149807.14131), (-12731.95788, 149828.91431)]"
"(-12438.34998, 149911.92941)","(-12630.04948, 150215.18591)",1.3255507827338422,False,False,6403,2489,9603,2489,4804,False,"[(-12393.46398, 149949.97711), (-12369.47588, 149986.50381), (-12334.07288, 150036.38051), (-12385.21928, 150073.95061), (-12342.40368, 150148.47501), (-12301.02898, 150197.03491), (-12278.98048, 150248.99951), (-12252.58538, 150316.06411), (-12293.39058, 150303.00261), (-12362.43728, 150304.23601), (-12390.98498, 150342.68631), (-12435.81408, 150355.07141), (-12480.45088, 150304.76221), (-12524.51088, 150274.06401), (-12565.42878, 150238.24301), (-12552.18018, 150196.78751), (-12563.56228, 150136.32261), (-12548.65458, 150051.03531), (-12602.34938, 150041.94871), (-12645.80408, 150100.63681), (-12622.97328, 150157.89681)]"
"(-12438.34998, 149911.92941)","(-12666.14925, 149667.58121)",0.0,False,True,0,0,0,0,0,False,
"(-12438.34998, 149911.92941)","(-12571.66956, 150052.70114)",0.0,False,True,0,0,0,0,0,False,
"(-12438.34998, 149911.92941)","(-12244.76529, 150210.78863)",0.0,False,True,0,0,0,0,0,False,
"(-12169.65998, 150016.73191)","(-12438.34998, 149911.92941)",0.35276848850193443,False,False,1705,663,2556,663,1278,False,"[(-12396.51688, 149879.55011), (-12351.07248, 149875.49201), (-12286.69168, 149882.03101), (-12232.58578, 149932.88131), (-12212.60768, 149998.55341)]"
"(-12169.65998, 150016.73191)","(-12193.48708, 149840.19281)",0.1784372219415514,False,False,861,335,1293,335,647,False,"[(-12176.74988, 149962.95391), (-12178.55128, 149919.42121)]"
"(-12169.65998, 150016.73191)","(-11828.98588, 150328.93911)",0.4740496449490088,False,False,2291,890,3434,890,1718,False,"[(-12108.30538, 150088.12301), (-12063.54948, 150107.10711), (-12022.83238, 150138.88091), (-11976.63918, 150172.33491), (-11917.03128, 150199.35311), (-11879.28168, 150266.12291)]"
"(-12169.65998, 150016.73191)","(-12666.14925, 149667.58121)",0.0,False,True,0,0,0,0,0,False,
"(-12169.65998, 150016.73191)","(-11960.48012, 150082.82789)",0.0,False,True,0,0,0,0,0,False,
"(-12169.65998, 150016.73191)","(-12244.76529, 150210.78863)",0.0,False,True,0,0,0,0,0,False,
"(-12815.40568, 149829.76891)","(-12438.34998, 149911.92941)",0.4296100452893785,False,False,3228,1153,4842,1153,2421,False,"[(-12509.39408, 149920.94601), (-12534.69348, 149875.09221), (-12575.61748, 149834.71161), (-12630.15378, 149814.53071), (-12676.85858, 149807.14131), (-12731.95788, 149828.91431)]"
"(-12815.40568, 149829.76891)","(-13198.59018, 149677.26611)",0.462892821373263,False,False,2236,871,3354,871,1678,False,"[(-13146.57098, 149722.63241), (-13109.08518, 149744.83221), (-13083.26788, 149779.71061), (-13014.62788, 149741.40261), (-12954.81268, 149748.32431), (-12903.63008, 149774.86461), (-12845.81118, 149788.90331)]"
"(-12815.40568, 149829.76891)","(-12880.92928, 150025.69071)",0.3357862191291192,False,False,2523,902,3786,902,1893,False,"[(-12903.66458, 149841.46201), (-12864.99128, 149907.80211)]"
"(-12815.40568, 149829.76891)","(-12666.14925, 149667.58121)",0.0,False,True,0,0,0,0,0,False,
"(-12815.40568, 149829.76891)","(-13032.42201, 149899.99789)",0.0,False,True,0,0,0,0,0,False,
"(-12815.40568, 149829.76891)","(-12571.66956, 150052.70114)",0.0,False,True,0,0,0,0,0,False,
"(-12630.04948, 150215.18591)","(-12438.34998, 149911.92941)",1.3255507827338422,False,False,6403,2489,9603,2489,4804,False,"[(-12393.46398, 149949.97711), (-12369.47588, 149986.50381), (-12334.07288, 150036.38051), (-12385.21928, 150073.95061), (-12342.40368, 150148.47501), (-12301.02898, 150197.03491), (-12278.98048, 150248.99951), (-12252.58538, 150316.06411), (-12293.39058, 150303.00261), (-12362.43728, 150304.23601), (-12390.98498, 150342.68631), (-12435.81408, 150355.07141), (-12480.45088, 150304.76221), (-12524.51088, 150274.06401), (-12565.42878, 150238.24301), (-12552.18018, 150196.78751), (-12563.56228, 150136.32261), (-12548.65458, 150051.03531), (-12602.34938, 150041.94871), (-12645.80408, 150100.63681), (-12622.97328, 150157.89681)]"
"(-12630.04948, 150215.18591)","(-12193.00388, 150408.57981)",0.5819645706576426,False,False,2812,1096,4216,1096,2112,False,"[(-12624.71278, 150233.31911), (-12621.28828, 150244.95501)]"
"(-12630.04948, 150215.18591)","(-12713.51408, 150173.77301)",0.09318150413653666,False,False,450,174,675,174,338,False,"[(-12667.89648, 150196.40711)]"
"(-12630.04948, 150215.18591)","(-12571.66956, 150052.70114)",0.0,False,True,0,0,0,0,0,False,
"(-12630.04948, 150215.18591)","(-12244.76529, 150210.78863)",0.0,False,True,0,0,0,0,0,False,
"(-12630.04948, 150215.18591)","(-12482.69789, 150476.59119)",0.0,False,True,0,0,0,0,0,False,
"(-12666.14925, 149667.58121)","(-12438.34998, 149911.92941)",0.0,False,True,0,0,0,0,0,False,
"(-12666.14925, 149667.58121)","(-12041.43778, 149785.47481)",0.0,False,True,0,0,0,0,0,False,
"(-12666.14925, 149667.58121)","(-12169.65998, 150016.73191)",0.0,False,True,0,0,0,0,0,False,
"(-12666.14925, 149667.58121)","(-12193.48708, 149840.19281)",0.0,False,True,0,0,0,0,0,False,
"(-12666.14925, 149667.58121)","(-13198.59018, 149677.26611)",0.0,False,True,0,0,0,0,0,False,
"(-12666.14925, 149667.58121)","(-12815.40568, 149829.76891)",0.0,False,True,0,0,0,0,0,False,
"(-12666.14925, 149667.58121)","(-12379.68718, 149572.13951)",0.0,False,True,0,0,0,0,0,False,
"(-12666.14925, 149667.58121)","(-12695.44878, 149352.03591)",0.0,False,True,0,0,0,0,0,False,
"(-12666.14925, 149667.58121)","(-12743.46288, 149316.06771)",0.0,False,True,0,0,0,0,0,False,
"(-12666.14925, 149667.58121)","(-12931.20988, 149482.68611)",0.0,False,True,0,0,0,0,0,False,
"(-12571.66956, 150052.70114)","(-12438.34998, 149911.92941)",0.0,False,True,0,0,0,0,0,False,
"(-12571.66956, 150052.70114)","(-12815.40568, 149829.76891)",0.0,False,True,0,0,0,0,0,False,
"(-12571.66956, 150052.70114)","(-12880.92928, 150025.69071)",0.0,False,True,0,0,0,0,0,False,
"(-12571.66956, 150052.70114)","(-12630.04948, 150215.18591)",0.0,False,True,0,0,0,0,0,False,
"(-12571.66956, 150052.70114)","(-12713.51408, 150173.77301)",0.0,False,True,0,0,0,0,0,False,
"(-12244.76529, 150210.78863)","(-12438.34998, 149911.92941)",0.0,False,True,0,0,0,0,0,False,
"(-12244.76529, 150210.78863)","(-12169.65998, 150016.73191)",0.0,False,True,0,0,0,0,0,False,
"(-12244.76529, 150210.78863)","(-12193.00388, 150408.57981)",0.0,False,True,0,0,0,0,0,False,
"(-12244.76529, 150210.78863)","(-11828.98588, 150328.93911)",0.0,False,True,0,0,0,0,0,False,
"(-12244.76529, 150210.78863)","(-12146.24188, 150392.86561)",0.0,False,True,0,0,0,0,0,False,
"(-12244.76529, 150210.78863)","(-12630.04948, 150215.18591)",0.0,False,True,0,0,0,0,0,False,
"(-12244.76529, 150210.78863)","(-11953.75681, 150358.93574)",0.0,True,True,0,0,0,0,0,False,
"(-13500.79458, 147648.48191)","(-13429.23381, 147717.86836)",0.10418667419573348,True,False,503,196,755,196,378,False,"[(-13447.79828, 147715.54781)]"
"(-13500.79458, 147648.48191)","(-13328.57132, 147493.85056)",0.6720619640932342,True,False,3247,1263,4870,1263,2434,False,"[(-13552.57348, 147570.29131), (-13499.65668, 147506.79111), (-13332.96888, 147382.43681), (-13293.28128, 147308.35321), (-13269.46868, 147377.14501)]"
"(-13500.79458, 147648.48191)","(-13656.34528, 147921.06891)",0.40332389229846816,False,False,1948,757,2922,757,1462,False,"[(-13530.61778, 147653.57281), (-13597.10408, 147665.89741), (-13626.29398, 147715.71501), (-13580.13868, 147757.10841), (-13594.43388, 147825.20261), (-13612.54348, 147872.94401)]"
"(-13500.79458, 147648.48191)","(-13413.54336, 147534.53855)",0.0,False,True,0,0,0,0,0,False,
"(-13500.79458, 147648.48191)","(-13290.59419, 147587.12927)",0.0,False,True,0,0,0,0,0,False,
"(-13500.79458, 147648.48191)","(-13432.83625, 147809.62672)",0.0,False,True,0,0,0,0,0,False,
"(-13429.23381, 147717.86836)","(-13500.79458, 147648.48191)",0.10418667419573348,True,False,503,196,755,196,378,False,"[(-13447.79828, 147715.54781)]"
"(-13429.23381, 147717.86836)","(-13345.51158, 147527.30121)",0.2301358913275064,True,False,1112,433,1667,433,834,False,"[(-13361.70868, 147533.40341), (-13380.39788, 147595.67071)]"
"(-13429.23381, 147717.86836)","(-13413.54336, 147534.53855)",0.0,True,True,0,0,0,0,0,False,
"(-13429.23381, 147717.86836)","(-13432.83625, 147809.62672)",0.0,True,True,0,0,0,0,0,False,
"(-13328.57132, 147493.85056)","(-13500.79458, 147648.48191)",0.6720619640932342,True,False,3247,1263,4870,1263,2434,False,"[(-13552.57348, 147570.29131), (-13499.65668, 147506.79111), (-13332.96888, 147382.43681), (-13293.28128, 147308.35321), (-13269.46868, 147377.14501)]"
"(-13328.57132, 147493.85056)","(-13345.51158, 147527.30121)",0.037495578329864956,True,False,181,70,272,70,136,13.0354,
"(-13328.57132, 147493.85056)","(-13413.54336, 147534.53855)",0.0,True,True,0,0,0,0,0,False,
"(-13328.57132, 147493.85056)","(-13290.59419, 147587.12927)",0.0,True,True,0,0,0,0,0,False,
