Node,Stand
"(-14261.79398, 147279.95771)","[1244, 1453]"
"(-14258.84668, 147328.78181)","[1244, 1453]"
"(-14258.34848, 147380.49911)","[1244, 1453]"
"(-14299.97578, 147426.14361)","[1244, 1453]"
"(-14289.22458, 147430.33091)",[1453]
"(-14249.00778, 147436.68091)",[1453]
"(-14209.84938, 147470.54761)",[1453]
"(-14201.38268, 147519.23111)",[1453]
"(-14184.44938, 147561.56451)",[1453]
"(-14208.79108, 147559.44791)",[1453]
"(-14247.94948, 147563.68121)",[1453]
"(-14277.58288, 147577.43961)",[1453]
"(-14315.68288, 147595.43131)",[1453]
"(-14312.50798, 147635.64801)",[1453]
"(-14297.34464, 147649.73247)","[1452, 1453]"
"(-13833.05184, 147247.15997)",[1453]
"(-13802.69994, 147226.43575)",[1453]
"(-14151.45153, 147604.69307)",[1453]
"(-14027.63359, 147523.27423)",[1453]
"(-13935.63776, 147429.61756)",[1453]
"(-14007.67332, 147513.84128)",[1453]
"(-13813.50428, 147233.48162)",[1453]
"(-14788.58488, 147879.74541)","[1291, 1244]"
"(-14537.74978, 147738.65121)","[1291, 1244]"
"(-14548.29018, 147672.87581)",[1244]
"(-14542.99848, 147654.35501)",[1244]
"(-14499.63328, 147659.13111)",[1244]
"(-14490.27358, 147656.10931)",[1244]
"(-14473.54178, 147658.34491)","[1452, 1244]"
"(-14454.48028, 147660.89161)","[1452, 1244]"
"(-14418.24458, 147665.73311)","[1452, 1244]"
"(-14423.85468, 147632.90981)",[1244]
"(-14447.74828, 147582.65281)",[1244]
"(-14427.75418, 147569.79081)",[1244]
"(-14450.39408, 147450.36091)",[1244]
"(-14427.90448, 147442.42331)",[1244]
"(-14404.09188, 147445.06911)",[1244]
"(-14371.01888, 147426.54831)",[1244]
"(-14352.49808, 147425.22541)",[1244]
"(-14345.80678, 147439.34491)",[1244]
"(-14288.02858, 147223.14711)",[1244]
"(-14349.94738, 147214.82171)",[1244]
"(-14419.77488, 147197.57601)",[1244]
"(-14469.51228, 147196.71231)",[1244]
"(-14515.24518, 147167.58171)",[1244]
"(-14575.02828, 147166.47881)",[1244]
"(-14624.54598, 147179.06321)",[1244]
"(-14636.88558, 147182.19921)",[1244]
"(-14689.39148, 147183.17421)",[1244]
"(-14732.41678, 147175.42021)",[1244]
"(-14756.95238, 147153.40021)",[1244]
"(-14768.35328, 147143.16851)",[1244]
"(-14771.20208, 147165.93321)",[1244]
"(-14792.36878, 147199.00621)",[1244]
"(-14792.36878, 147224.80311)",[1244]
"(-14786.41558, 147249.93861)",[1244]
"(-14788.39998, 147299.54801)",[1244]
"(-14762.19118, 147355.01111)",[1244]
"(-14753.19428, 147391.15951)",[1244]
"(-14747.22868, 147432.63241)",[1244]
"(-14726.22278, 147456.84311)",[1244]
"(-14744.47908, 147475.09941)",[1244]
"(-14769.08528, 147491.76821)",[1244]
"(-14784.01138, 147502.02031)",[1244]
"(-14845.02088, 147506.32031)",[1244]
"(-14912.48978, 147506.32041)",[1244]
"(-14969.37528, 147499.70581)",[1244]
"(-15051.39638, 147499.70571)",[1244]
"(-15104.31308, 147506.32041)",[1244]
"(-15136.06318, 147518.22661)",[1244]
"(-15112.25058, 147543.36211)",[1244]
"(-15075.20888, 147576.43511)",[1244]
"(-15037.31188, 147624.17501)",[1244]
"(-14952.95938, 147621.56091)",[1244]
"(-14880.18138, 147625.67691)",[1244]
"(-14800.22388, 147657.19591)",[1244]
"(-14832.86238, 147717.65001)",[1244]
"(-14900.99728, 147723.58001)",[1244]
"(-14952.04718, 147691.73871)",[1244]
"(-14990.64828, 147658.52191)",[1244]
"(-15032.25988, 147681.35721)",[1244]
"(-15015.74838, 147730.72301)",[1244]
"(-14994.01078, 147778.04371)",[1244]
"(-14964.95588, 147811.21121)",[1244]
"(-14948.31378, 147824.17081)",[1244]
"(-14925.58668, 147871.18141)",[1244]
"(-14896.85948, 147866.84871)",[1244]
"(-14889.31928, 147873.46291)",[1244]
"(-14832.81068, 147904.62321)",[1244]
"(-14540.96074, 147718.6138)",[1244]
"(-14638.77407, 147795.47715)",[1244]
"(-12263.18378, 146130.23371)",[1103]
"(-12324.88288, 146143.42311)",[1103]
"(-12399.74898, 146109.60471)",[1103]
"(-12460.81378, 146096.66401)",[1103]
"(-12470.54088, 146156.54001)",[1103]
"(-12477.61118, 146175.39391)",[1103]
"(-12491.57528, 146212.63171)",[1103]
"(-12540.42858, 146276.60601)",[1103]
"(-12580.47548, 146329.04871)",[1103]
"(-12610.10888, 146362.91541)",[1103]
"(-12581.62248, 146404.94151)",[1103]
"(-12565.74738, 146438.27901)",[1103]
"(-12577.65368, 146468.44151)",[1103]
"(-12623.79488, 146574.70591)","[1096, 1103]"
"(-12580.68998, 146607.75611)","[1096, 1095, 1103]"
"(-12527.21298, 146606.28051)","[1095, 1103]"
"(-12462.34318, 146599.35461)","[1095, 1103]"
"(-12451.77348, 146591.56311)","[1095, 1103]"
"(-12425.26918, 146572.02501)","[1097, 1095, 1103]"
"(-12373.60158, 146507.69211)","[1097, 1103]"
"(-12236.01448, 146458.80881)","[1097, 1103]"
"(-12259.80638, 146392.38991)",[1103]
"(-12303.79868, 146355.01091)",[1103]
"(-12322.98048, 146306.96011)",[1103]
"(-12283.21178, 146261.27031)",[1103]
"(-12226.77238, 146232.78851)",[1103]
"(-12190.09908, 146195.17091)",[1103]
"(-12177.65168, 146147.95231)",[1103]
"(-12150.32018, 146106.93491)",[1103]
"(-12202.63988, 146110.78401)",[1103]
"(-12585.01497, 146399.93656)",[1103]
"(-12455.1458, 146594.04903)",[1103]
"(-12188.21993, 146109.72315)",[1103]
"(-12306.4491, 146483.83352)",[1103]
"(-12265.70579, 146469.35783)",[1103]
"(-12157.26545, 146117.35794)",[1103]
"(-12164.98961, 146108.01412)",[1103]
"(-11292.57138, 146694.10811)",[1201]
"(-11237.50528, 146700.52691)",[1201]
"(-11196.65988, 146664.98951)",[1201]
"(-11162.23678, 146616.02491)",[1201]
"(-11113.07018, 146571.39151)",[1201]
"(-11068.26618, 146538.67251)",[1201]
"(-11030.10968, 146502.23731)",[1201]
"(-10979.42848, 146476.33291)",[1201]
"(-10939.01198, 146439.71691)",[1201]
"(-10974.15718, 146389.92001)",[1201]
"(-11012.61858, 146356.26801)",[1201]
"(-11034.00928, 146314.14501)",[1201]
"(-11019.35018, 146283.05711)",[1201]
"(-11051.24968, 146283.05717)",[1201]
"(-11070.94408, 146283.05721)",[1201]
"(-11104.20178, 146281.33681)",[1201]
"(-11147.67338, 146279.08841)",[1201]
"(-11160.41478, 146297.38671)",[1201]
"(-11193.97548, 146304.22381)",[1201]
"(-11246.89228, 146312.16131)",[1201]
"(-11311.71538, 146310.83841)",[1201]
"(-11371.24668, 146289.67171)",[1201]
"(-11412.25728, 146301.57801)",[1201]
"(-11485.00078, 146272.43131)",[1201]
"(-11498.47148, 146267.03401)",[1201]
"(-11530.46478, 146304.00601)",[1201]
"(-11614.43768, 146306.63241)",[1201]
"(-11631.86178, 146341.26561)",[1201]
"(-11662.28898, 146337.29681)",[1201]
"(-11781.45528, 146357.98461)",[1201]
"(-11799.95158, 146371.10671)",[1201]
"(-11848.46738, 146406.31591)",[1201]
"(-11867.67638, 146420.25631)",[1201]
"(-11901.24468, 146456.97991)",[1201]
"(-11903.73748, 146469.52171)",[1201]
"(-11918.56588, 146544.12721)",[1201]
"(-11985.92898, 146557.64721)",[1201]
"(-12022.41158, 146595.09861)",[1201]
"(-12078.15678, 146592.99481)",[1201]
"(-12128.28838, 146605.30541)",[1201]
"(-12181.79218, 146626.33611)","[1097, 1201]"
"(-12183.03178, 146686.36391)","[1097, 1201]"
"(-12124.61008, 146716.36491)","[1097, 1201]"
"(-12080.04928, 146757.98281)","[1097, 1201, 1200]"
"(-12020.80848, 146775.19261)","[1200, 1201]"
"(-11973.64728, 146750.44291)",[1201]
"(-11923.07578, 146737.93821)",[1201]
"(-11841.75738, 146714.80341)",[1201]
"(-11778.90218, 146712.35631)",[1201]
"(-11736.76038, 146738.40061)",[1201]
"(-11686.21728, 146799.22651)",[1201]
"(-11657.10278, 146836.53971)",[1201]
"(-11648.92168, 146703.26721)",[1201]
"(-11639.64698, 146644.42651)",[1201]
"(-11617.13168, 146600.06011)",[1201]
"(-11563.57668, 146584.66191)",[1201]
"(-11524.95598, 146538.49191)",[1201]
"(-11466.82768, 146529.12371)",[1201]
"(-11407.24888, 146556.54021)",[1201]
"(-11415.12028, 146623.62571)",[1201]
"(-11388.84248, 146666.81461)",[1201]
"(-11327.15788, 146654.76671)",[1201]
"(-11529.32917, 146302.69367)",[1201]
"(-11150.20205, 146282.71991)",[1201]
"(-11400.35565, 146298.1227)",[1201]
"(-11068.41984, 146283.0572)",[1201]
"(-11426.15818, 146296.00823)",[1201]
"(-11260.41238, 146311.88539)",[1201]
"(-11511.51977, 146282.11283)",[1201]
"(-11618.59941, 146314.90451)",[1201]
"(-12256.36048, 146578.72411)",[1097]
"(-12231.64668, 146541.70531)",[1097]
"(-12268.88628, 146493.67051)",[1097]
"(-12351.55168, 146619.23311)","[1097, 1095]"
"(-12326.78098, 146659.05391)","[1097, 1095]"
"(-12328.24218, 146706.47941)","[1097, 1095]"
"(-12291.75678, 146730.65391)","[1097, 1095]"
"(-12231.55148, 146756.92561)","[1097, 1095]"
"(-12215.13788, 146806.62111)","[1097, 1095]"
"(-12203.62278, 146868.49841)","[1200, 1097, 1095]"
"(-12132.72678, 146920.47281)","[1200, 1097]"
"(-12076.71498, 146902.99241)","[1200, 1097]"
"(-12056.66778, 146856.12321)","[1200, 1097]"
"(-12087.97178, 146816.80081)","[1200, 1097]"
"(-12192.16702, 146876.89671)",[1097]
"(-12245.41252, 146523.94896)",[1097]
"(-12376.80708, 146880.38561)","[1200, 1094, 1095]"
"(-12313.59968, 146834.82901)","[1200, 1095]"
"(-12260.58868, 146857.39641)","[1200, 1095]"
"(-12556.11648, 146675.55061)","[1096, 1095]"
"(-12533.73238, 146824.37381)","[1096, 1095]"
"(-12533.73238, 146894.22391)","[1096, 1095]"
"(-12573.93998, 146944.30511)","[1096, 1094, 1095]"
"(-12518.42598, 146932.46091)","[1094, 1095]"
"(-12476.31028, 146897.38891)","[1094, 1095]"
"(-12422.89798, 146902.37141)","[1094, 1095]"
"(-12225.39426, 146864.2554)",[1095]
