0.0 * C_node2node85_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
0.0 * C_node2node85_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
0.0 * C_node2node85_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
0.0 * C_node2node85_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
0.0 * C_node2node85_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
0.0 * C_node2node85_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
0.0 * C_node2node85_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
0.0 * C_node2node85_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
0.0 * C_node2node85_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
0.0 * C_node2node85_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
0.0 * C_node2node85_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
0.0 * C_node2node85_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
0.0 * C_node2node87_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
0.0 * C_node2node87_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
0.0 * C_node2node87_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
0.0 * C_node2node87_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
0.0 * C_node2node87_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
0.0 * C_node2node87_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
0.0 * C_node2node87_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
0.0 * C_node2node87_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
0.0 * C_node2node87_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
0.0 * C_node2node87_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
0.0 * C_node2node87_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
0.0 * C_node2node87_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
225.0 * C_node3node26_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
189.44 * C_node3node26_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
134.3 * C_node3node26_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
95.21 * C_node3node26_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
67.49 * C_node3node26_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
47.85 * C_node3node26_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
337.0 * C_node3node26_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
283.74 * C_node3node26_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
201.15 * C_node3node26_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
142.6 * C_node3node26_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
101.09 * C_node3node26_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
71.67 * C_node3node26_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
133.0 * C_node3node51_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
111.98 * C_node3node51_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
79.39 * C_node3node51_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
56.28 * C_node3node51_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
39.9 * C_node3node51_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
28.28 * C_node3node51_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
200.0 * C_node3node51_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
168.39 * C_node3node51_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
119.38 * C_node3node51_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
84.63 * C_node3node51_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
60.0 * C_node3node51_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
42.53 * C_node3node51_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
1809.0 * C_node3node34_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
1523.13 * C_node3node34_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
1079.78 * C_node3node34_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
765.47 * C_node3node34_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
542.66 * C_node3node34_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
384.7 * C_node3node34_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
2715.0 * C_node3node34_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
2285.96 * C_node3node34_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
1620.56 * C_node3node34_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
1148.84 * C_node3node34_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
814.44 * C_node3node34_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
577.37 * C_node3node34_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
0.0 * C_node3node77_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
0.0 * C_node3node77_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
0.0 * C_node3node77_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
0.0 * C_node3node77_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
0.0 * C_node3node77_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
0.0 * C_node3node77_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
0.0 * C_node3node77_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
0.0 * C_node3node77_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
0.0 * C_node3node77_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
0.0 * C_node3node77_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
0.0 * C_node3node77_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
0.0 * C_node3node77_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
0.0 * C_node3node79_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
0.0 * C_node3node79_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
0.0 * C_node3node79_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
0.0 * C_node3node79_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
0.0 * C_node3node79_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
0.0 * C_node3node79_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
0.0 * C_node3node79_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
0.0 * C_node3node79_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
0.0 * C_node3node79_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
0.0 * C_node3node79_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
0.0 * C_node3node79_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
0.0 * C_node3node79_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
58.0 * C_node4node66_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
48.83 * C_node4node66_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
34.62 * C_node4node66_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
24.54 * C_node4node66_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
17.4 * C_node4node66_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
12.33 * C_node4node66_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
87.0 * C_node4node66_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
73.25 * C_node4node66_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
51.93 * C_node4node66_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
36.81 * C_node4node66_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
26.1 * C_node4node66_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
18.5 * C_node4node66_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
621.0 * C_node4node68_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
522.87 * C_node4node68_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
370.67 * C_node4node68_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
262.77 * C_node4node68_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
186.29 * C_node4node68_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
132.06 * C_node4node68_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
932.0 * C_node4node68_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
784.72 * C_node4node68_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
556.3 * C_node4node68_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
394.37 * C_node4node68_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
279.58 * C_node4node68_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
198.2 * C_node4node68_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
1453.0 * C_node4node8_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
1223.39 * C_node4node8_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
867.28 * C_node4node8_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
614.83 * C_node4node8_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
435.87 * C_node4node8_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
308.99 * C_node4node8_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
2178.0 * C_node4node8_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
1833.82 * C_node4node8_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
1300.03 * C_node4node8_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
921.61 * C_node4node8_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
653.35 * C_node4node8_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
463.17 * C_node4node8_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
0.0 * C_node4node87_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
0.0 * C_node4node87_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
0.0 * C_node4node87_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
0.0 * C_node4node87_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
0.0 * C_node4node87_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
0.0 * C_node4node87_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
0.0 * C_node4node87_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
0.0 * C_node4node87_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
0.0 * C_node4node87_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
0.0 * C_node4node87_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
0.0 * C_node4node87_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
0.0 * C_node4node87_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
0.0 * C_node4node89_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
0.0 * C_node4node89_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
0.0 * C_node4node89_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
0.0 * C_node4node89_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
0.0 * C_node4node89_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
0.0 * C_node4node89_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
0.0 * C_node4node89_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
0.0 * C_node4node89_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
0.0 * C_node4node89_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
0.0 * C_node4node89_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
0.0 * C_node4node89_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
0.0 * C_node4node89_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
0.0 * C_node4node90_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
0.0 * C_node4node90_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
0.0 * C_node4node90_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
0.0 * C_node4node90_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
0.0 * C_node4node90_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
0.0 * C_node4node90_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
0.0 * C_node4node90_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
0.0 * C_node4node90_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
0.0 * C_node4node90_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
0.0 * C_node4node90_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
0.0 * C_node4node90_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
0.0 * C_node4node90_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
4128.0 * C_node5node21_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
3475.67 * C_node5node21_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
2463.96 * C_node5node21_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
1746.75 * C_node5node21_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
1238.3 * C_node5node21_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
877.86 * C_node5node21_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
6194.0 * C_node5node21_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
5215.18 * C_node5node21_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
