variable,value,node_type_info
C_node134node366_timber_t1,1.0,node134transit_node366source
C_node134node368_timber_t1,1.0,node134transit_node368source
C_node135node188_timber_t1,1.0,node135transit_node188transit
C_node135node179_timber_t1,1.0,node135transit_node179transit
C_node135node405_timber_t1,1.0,node135transit_node405source
C_node135node406_timber_t1,1.0,node135transit_node406source
C_node136node363_timber_t1,1.0,node136transit_node363source
C_node136node363_timber_t3,1.0,node136transit_node363source
C_node137node154_timber_t1,1.0,node137transit_node154transit
C_node137node381_timber_t1,1.0,node137transit_node381source
C_node137node382_timber_t1,1.0,node137transit_node382source
C_node138node366_timber_t1,1.0,node138exit_node366source
C_node139node433_timber_t1,1.0,node139transit_node433source
C_node140node408_timber_t1,1.0,node140transit_node408source
C_node140node408_timber_t4,1.0,node140transit_node408source
C_node140node409_timber_t1,1.0,node140transit_node409source
C_node140node409_timber_t4,1.0,node140transit_node409source
C_node146node306_timber_t2,1.0,node146transit_node306exit
C_node146node409_wide_t1,1.0,node146transit_node409source
C_node147node402_timber_t1,1.0,node147exit_node402source
C_node149node404_timber_t1,1.0,node149transit_node404source
C_node149node431_timber_t1,1.0,node149transit_node431source
C_node151node389_timber_t1,1.0,node151transit_node389source
C_node153node378_timber_t1,1.0,node153transit_node378source
C_node153node379_timber_t1,1.0,node153transit_node379source
C_node154node187_timber_t1,1.0,node154transit_node187transit
C_node154node382_timber_t1,1.0,node154transit_node382source
C_node155node437_timber_t3,1.0,node155transit_node437source
C_node158node409_timber_t2,1.0,node158transit_node409source
C_node158node409_timber_t4,1.0,node158transit_node409source
C_node159node372_timber_t1,1.0,node159transit_node372source
C_node159node379_timber_t1,1.0,node159transit_node379source
C_node163node404_timber_t1,1.0,node163transit_node404source
C_node165node389_timber_t1,1.0,node165transit_node389source
C_node167node382_timber_t1,1.0,node167transit_node382source
C_node167node384_timber_t1,1.0,node167transit_node384source
C_node169node400_timber_t1,1.0,node169transit_node400source
C_node169node402_timber_t1,1.0,node169transit_node402source
C_node170node381_timber_t1,1.0,node170transit_node381source
C_node173node249_timber_t1,1.0,node173transit_node249transit
C_node173node378_timber_t1,1.0,node173transit_node378source
C_node174node363_timber_t1,1.0,node174exit_node363source
C_node174node363_timber_t3,1.0,node174exit_node363source
C_node176node438_timber_t2,1.0,node176transit_node438source
