503.0 * C_node2node288_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
423.51 * C_node2node288_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
300.24 * C_node2node288_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
212.84 * C_node2node288_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
150.89 * C_node2node288_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
106.97 * C_node2node288_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
755.0 * C_node2node288_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
635.69 * C_node2node288_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
450.65 * C_node2node288_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
319.48 * C_node2node288_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
226.48 * C_node2node288_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
160.56 * C_node2node288_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
3247.0 * C_node2node287_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
2733.89 * C_node2node287_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
1938.1 * C_node2node287_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
1373.96 * C_node2node287_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
974.02 * C_node2node287_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
690.5 * C_node2node287_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
4870.0 * C_node2node287_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
4100.41 * C_node2node287_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
2906.86 * C_node2node287_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
2060.73 * C_node2node287_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
1460.89 * C_node2node287_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
1035.65 * C_node2node287_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
1948.0 * C_node2node78_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
1640.16 * C_node2node78_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
1162.74 * C_node2node78_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
824.29 * C_node2node78_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
584.35 * C_node2node78_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
414.26 * C_node2node78_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
2922.0 * C_node2node78_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
2460.25 * C_node2node78_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
1744.11 * C_node2node78_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
1236.44 * C_node2node78_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
876.53 * C_node2node78_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
621.39 * C_node2node78_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
0.0 * C_node2node377_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
0.0 * C_node2node377_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
0.0 * C_node2node377_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
0.0 * C_node2node377_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
0.0 * C_node2node377_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
0.0 * C_node2node377_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
0.0 * C_node2node377_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
0.0 * C_node2node377_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
0.0 * C_node2node377_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
0.0 * C_node2node377_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
0.0 * C_node2node377_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
0.0 * C_node2node377_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
0.0 * C_node2node378_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
0.0 * C_node2node378_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
0.0 * C_node2node378_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
0.0 * C_node2node378_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
0.0 * C_node2node378_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
0.0 * C_node2node378_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
0.0 * C_node2node378_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
0.0 * C_node2node378_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
0.0 * C_node2node378_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
0.0 * C_node2node378_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
0.0 * C_node2node378_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
0.0 * C_node2node378_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
0.0 * C_node2node380_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
0.0 * C_node2node380_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
0.0 * C_node2node380_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
0.0 * C_node2node380_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
0.0 * C_node2node380_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
0.0 * C_node2node380_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
0.0 * C_node2node380_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
0.0 * C_node2node380_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
0.0 * C_node2node380_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
0.0 * C_node2node380_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
0.0 * C_node2node380_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
0.0 * C_node2node380_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
694.0 * C_node3node192_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
584.33 * C_node3node192_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
414.24 * C_node3node192_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
293.66 * C_node3node192_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
208.18 * C_node3node192_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
147.59 * C_node3node192_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
1041.0 * C_node3node192_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
876.49 * C_node3node192_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
621.36 * C_node3node192_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
440.5 * C_node3node192_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
312.28 * C_node3node192_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
221.38 * C_node3node192_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
3133.0 * C_node3node264_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
2637.9 * C_node3node264_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
1870.06 * C_node3node264_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
1325.72 * C_node3node264_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
939.83 * C_node3node264_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
666.26 * C_node3node264_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
4699.0 * C_node3node264_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
3956.43 * C_node3node264_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
2804.79 * C_node3node264_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
1988.37 * C_node3node264_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
1409.59 * C_node3node264_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
999.29 * C_node3node264_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
0.0 * C_node3node362_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
0.0 * C_node3node362_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
0.0 * C_node3node362_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
0.0 * C_node3node362_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
0.0 * C_node3node362_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
0.0 * C_node3node362_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
0.0 * C_node3node362_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
0.0 * C_node3node362_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
0.0 * C_node3node362_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
0.0 * C_node3node362_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
0.0 * C_node3node362_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
0.0 * C_node3node362_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
595.0 * C_node4node37_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
500.97 * C_node4node37_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
355.15 * C_node4node37_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
251.77 * C_node4node37_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
178.49 * C_node4node37_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
126.53 * C_node4node37_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
892.0 * C_node4node37_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
751.04 * C_node4node37_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
532.43 * C_node4node37_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
377.45 * C_node4node37_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
267.58 * C_node4node37_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
189.69 * C_node4node37_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
1305.0 * C_node4node89_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
1098.77 * C_node4node89_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
778.94 * C_node4node89_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
552.21 * C_node4node89_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
391.47 * C_node4node89_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
277.52 * C_node4node89_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
1957.0 * C_node4node89_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
1647.74 * C_node4node89_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
1168.11 * C_node4node89_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
828.1 * C_node4node89_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
587.05 * C_node4node89_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
416.17 * C_node4node89_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
3399.0 * C_node4node8_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
2861.87 * C_node4node8_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
2028.83 * C_node4node8_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
1438.28 * C_node4node8_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
1019.62 * C_node4node8_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
722.83 * C_node4node8_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
5097.0 * C_node4node8_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
4291.54 * C_node4node8_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
3042.35 * C_node4node8_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
2156.78 * C_node4node8_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
1528.98 * C_node4node8_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
1083.92 * C_node4node8_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
0.0 * C_node4node366_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
0.0 * C_node4node366_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
0.0 * C_node4node366_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
0.0 * C_node4node366_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
0.0 * C_node4node366_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
0.0 * C_node4node366_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
0.0 * C_node4node366_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
0.0 * C_node4node366_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
0.0 * C_node4node366_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
0.0 * C_node4node366_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
0.0 * C_node4node366_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
0.0 * C_node4node366_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
0.0 * C_node4node368_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
0.0 * C_node4node368_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
0.0 * C_node4node368_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
0.0 * C_node4node368_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
0.0 * C_node4node368_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
0.0 * C_node4node368_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
0.0 * C_node4node368_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
0.0 * C_node4node368_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
0.0 * C_node4node368_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
0.0 * C_node4node368_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
0.0 * C_node4node368_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
0.0 * C_node4node368_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
0.0 * C_node4node376_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
0.0 * C_node4node376_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
0.0 * C_node4node376_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
0.0 * C_node4node376_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
0.0 * C_node4node376_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
0.0 * C_node4node376_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
0.0 * C_node4node376_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
0.0 * C_node4node376_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
0.0 * C_node4node376_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
0.0 * C_node4node376_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
