variable,lb,ub,type,edge,period,road_type
flow_timber_node7node1_t4,0.0,9.0,I,node7node1,4,timber
flow_timber_node7node1_t5,0.0,9.0,I,node7node1,5,timber
flow_wide_node7node1_t1,0.0,9.0,I,node7node1,1,wide
flow_wide_node7node1_t2,0.0,9.0,I,node7node1,2,wide
flow_wide_node7node1_t3,0.0,9.0,I,node7node1,3,wide
flow_wide_node7node1_t4,0.0,9.0,I,node7node1,4,wide
flow_wide_node7node1_t5,0.0,9.0,I,node7node1,5,wide
flow_timber_node7node8_t1,0.0,9.0,I,node7node8,1,timber
flow_timber_node7node8_t2,0.0,9.0,I,node7node8,2,timber
flow_timber_node7node8_t3,0.0,9.0,I,node7node8,3,timber
flow_timber_node7node8_t4,0.0,9.0,I,node7node8,4,timber
flow_timber_node7node8_t5,0.0,9.0,I,node7node8,5,timber
flow_wide_node7node8_t1,0.0,9.0,I,node7node8,1,wide
flow_wide_node7node8_t2,0.0,9.0,I,node7node8,2,wide
flow_wide_node7node8_t3,0.0,9.0,I,node7node8,3,wide
flow_wide_node7node8_t4,0.0,9.0,I,node7node8,4,wide
flow_wide_node7node8_t5,0.0,9.0,I,node7node8,5,wide
flow_timber_node7node13_t1,0.0,9.0,I,node7node13,1,timber
flow_timber_node7node13_t2,0.0,9.0,I,node7node13,2,timber
flow_timber_node7node13_t3,0.0,9.0,I,node7node13,3,timber
flow_timber_node7node13_t4,0.0,9.0,I,node7node13,4,timber
flow_timber_node7node13_t5,0.0,9.0,I,node7node13,5,timber
flow_wide_node7node13_t1,0.0,9.0,I,node7node13,1,wide
flow_wide_node7node13_t2,0.0,9.0,I,node7node13,2,wide
flow_wide_node7node13_t3,0.0,9.0,I,node7node13,3,wide
flow_wide_node7node13_t4,0.0,9.0,I,node7node13,4,wide
flow_wide_node7node13_t5,0.0,9.0,I,node7node13,5,wide
flow_timber_node8node1_t1,0.0,9.0,I,node8node1,1,timber
flow_timber_node8node1_t2,0.0,9.0,I,node8node1,2,timber
flow_timber_node8node1_t3,0.0,9.0,I,node8node1,3,timber
flow_timber_node8node1_t4,0.0,9.0,I,node8node1,4,timber
flow_timber_node8node1_t5,0.0,9.0,I,node8node1,5,timber
flow_wide_node8node1_t1,0.0,9.0,I,node8node1,1,wide
flow_wide_node8node1_t2,0.0,9.0,I,node8node1,2,wide
flow_wide_node8node1_t3,0.0,9.0,I,node8node1,3,wide
flow_wide_node8node1_t4,0.0,9.0,I,node8node1,4,wide
flow_wide_node8node1_t5,0.0,9.0,I,node8node1,5,wide
flow_timber_node8node3_t1,0.0,9.0,I,node8node3,1,timber
flow_timber_node8node3_t2,0.0,9.0,I,node8node3,2,timber
flow_timber_node8node3_t3,0.0,9.0,I,node8node3,3,timber
flow_timber_node8node3_t4,0.0,9.0,I,node8node3,4,timber
flow_timber_node8node3_t5,0.0,9.0,I,node8node3,5,timber
flow_wide_node8node3_t1,0.0,9.0,I,node8node3,1,wide
flow_wide_node8node3_t2,0.0,9.0,I,node8node3,2,wide
flow_wide_node8node3_t3,0.0,9.0,I,node8node3,3,wide
flow_wide_node8node3_t4,0.0,9.0,I,node8node3,4,wide
flow_wide_node8node3_t5,0.0,9.0,I,node8node3,5,wide
flow_timber_node8node7_t1,0.0,9.0,I,node8node7,1,timber
flow_timber_node8node7_t2,0.0,9.0,I,node8node7,2,timber
flow_timber_node8node7_t3,0.0,9.0,I,node8node7,3,timber
flow_timber_node8node7_t4,0.0,9.0,I,node8node7,4,timber
flow_timber_node8node7_t5,0.0,9.0,I,node8node7,5,timber
flow_wide_node8node7_t1,0.0,9.0,I,node8node7,1,wide
flow_wide_node8node7_t2,0.0,9.0,I,node8node7,2,wide
flow_wide_node8node7_t3,0.0,9.0,I,node8node7,3,wide
flow_wide_node8node7_t4,0.0,9.0,I,node8node7,4,wide
flow_wide_node8node7_t5,0.0,9.0,I,node8node7,5,wide
flow_timber_node8node12_t1,0.0,9.0,I,node8node12,1,timber
flow_timber_node8node12_t2,0.0,9.0,I,node8node12,2,timber
flow_timber_node8node12_t3,0.0,9.0,I,node8node12,3,timber
flow_timber_node8node12_t4,0.0,9.0,I,node8node12,4,timber
flow_timber_node8node12_t5,0.0,9.0,I,node8node12,5,timber
flow_wide_node8node12_t1,0.0,9.0,I,node8node12,1,wide
flow_wide_node8node12_t2,0.0,9.0,I,node8node12,2,wide
flow_wide_node8node12_t3,0.0,9.0,I,node8node12,3,wide
flow_wide_node8node12_t4,0.0,9.0,I,node8node12,4,wide
flow_wide_node8node12_t5,0.0,9.0,I,node8node12,5,wide
flow_timber_node8node13_t1,0.0,9.0,I,node8node13,1,timber
flow_timber_node8node13_t2,0.0,9.0,I,node8node13,2,timber
flow_timber_node8node13_t3,0.0,9.0,I,node8node13,3,timber
flow_timber_node8node13_t4,0.0,9.0,I,node8node13,4,timber
flow_timber_node8node13_t5,0.0,9.0,I,node8node13,5,timber
flow_wide_node8node13_t1,0.0,9.0,I,node8node13,1,wide
flow_wide_node8node13_t2,0.0,9.0,I,node8node13,2,wide
flow_wide_node8node13_t3,0.0,9.0,I,node8node13,3,wide
flow_wide_node8node13_t4,0.0,9.0,I,node8node13,4,wide
flow_wide_node8node13_t5,0.0,9.0,I,node8node13,5,wide
flow_timber_node12node1_t1,0.0,9.0,I,node12node1,1,timber
flow_timber_node12node1_t2,0.0,9.0,I,node12node1,2,timber
flow_timber_node12node1_t3,0.0,9.0,I,node12node1,3,timber
flow_timber_node12node1_t4,0.0,9.0,I,node12node1,4,timber
flow_timber_node12node1_t5,0.0,9.0,I,node12node1,5,timber
flow_wide_node12node1_t1,0.0,9.0,I,node12node1,1,wide
flow_wide_node12node1_t2,0.0,9.0,I,node12node1,2,wide
flow_wide_node12node1_t3,0.0,9.0,I,node12node1,3,wide
flow_wide_node12node1_t4,0.0,9.0,I,node12node1,4,wide
flow_wide_node12node1_t5,0.0,9.0,I,node12node1,5,wide
flow_timber_node12node2_t1,0.0,9.0,I,node12node2,1,timber
flow_timber_node12node2_t2,0.0,9.0,I,node12node2,2,timber
flow_timber_node12node2_t3,0.0,9.0,I,node12node2,3,timber
flow_timber_node12node2_t4,0.0,9.0,I,node12node2,4,timber
flow_timber_node12node2_t5,0.0,9.0,I,node12node2,5,timber
flow_wide_node12node2_t1,0.0,9.0,I,node12node2,1,wide
flow_wide_node12node2_t2,0.0,9.0,I,node12node2,2,wide
flow_wide_node12node2_t3,0.0,9.0,I,node12node2,3,wide
flow_wide_node12node2_t4,0.0,9.0,I,node12node2,4,wide
flow_wide_node12node2_t5,0.0,9.0,I,node12node2,5,wide
flow_timber_node12node3_t1,0.0,9.0,I,node12node3,1,timber
flow_timber_node12node3_t2,0.0,9.0,I,node12node3,2,timber
flow_timber_node12node3_t3,0.0,9.0,I,node12node3,3,timber
flow_timber_node12node3_t4,0.0,9.0,I,node12node3,4,timber
flow_timber_node12node3_t5,0.0,9.0,I,node12node3,5,timber
flow_wide_node12node3_t1,0.0,9.0,I,node12node3,1,wide
flow_wide_node12node3_t2,0.0,9.0,I,node12node3,2,wide
flow_wide_node12node3_t3,0.0,9.0,I,node12node3,3,wide
flow_wide_node12node3_t4,0.0,9.0,I,node12node3,4,wide
flow_wide_node12node3_t5,0.0,9.0,I,node12node3,5,wide
flow_timber_node12node4_t1,0.0,9.0,I,node12node4,1,timber
flow_timber_node12node4_t2,0.0,9.0,I,node12node4,2,timber
flow_timber_node12node4_t3,0.0,9.0,I,node12node4,3,timber
flow_timber_node12node4_t4,0.0,9.0,I,node12node4,4,timber
flow_timber_node12node4_t5,0.0,9.0,I,node12node4,5,timber
flow_wide_node12node4_t1,0.0,9.0,I,node12node4,1,wide
flow_wide_node12node4_t2,0.0,9.0,I,node12node4,2,wide
flow_wide_node12node4_t3,0.0,9.0,I,node12node4,3,wide
flow_wide_node12node4_t4,0.0,9.0,I,node12node4,4,wide
flow_wide_node12node4_t5,0.0,9.0,I,node12node4,5,wide
flow_timber_node12node8_t1,0.0,9.0,I,node12node8,1,timber
flow_timber_node12node8_t2,0.0,9.0,I,node12node8,2,timber
flow_timber_node12node8_t3,0.0,9.0,I,node12node8,3,timber
flow_timber_node12node8_t4,0.0,9.0,I,node12node8,4,timber
flow_timber_node12node8_t5,0.0,9.0,I,node12node8,5,timber
flow_wide_node12node8_t1,0.0,9.0,I,node12node8,1,wide
flow_wide_node12node8_t2,0.0,9.0,I,node12node8,2,wide
flow_wide_node12node8_t3,0.0,9.0,I,node12node8,3,wide
flow_wide_node12node8_t4,0.0,9.0,I,node12node8,4,wide
flow_wide_node12node8_t5,0.0,9.0,I,node12node8,5,wide
flow_timber_node13node1_t1,0.0,9.0,I,node13node1,1,timber
flow_timber_node13node1_t2,0.0,9.0,I,node13node1,2,timber
flow_timber_node13node1_t3,0.0,9.0,I,node13node1,3,timber
flow_timber_node13node1_t4,0.0,9.0,I,node13node1,4,timber
flow_timber_node13node1_t5,0.0,9.0,I,node13node1,5,timber
