variable,coefficient,type,prefix,width,edge,period
C_node2node377_wide_t2,0.0,B,C,wide,,2
C_node2node377_wide_t3,0.0,B,C,wide,,3
C_node2node377_wide_t4,0.0,B,C,wide,,4
C_node2node377_wide_t5,0.0,B,C,wide,,5
C_node2node378_timber_t0,0.0,B,C,timber,,0
C_node2node378_timber_t1,0.0,B,C,timber,,1
C_node2node378_timber_t2,0.0,B,C,timber,,2
C_node2node378_timber_t3,0.0,B,C,timber,,3
C_node2node378_timber_t4,0.0,B,C,timber,,4
C_node2node378_timber_t5,0.0,B,C,timber,,5
C_node2node378_wide_t0,0.0,B,C,wide,,0
C_node2node378_wide_t1,0.0,B,C,wide,,1
C_node2node378_wide_t2,0.0,B,C,wide,,2
C_node2node378_wide_t3,0.0,B,C,wide,,3
C_node2node378_wide_t4,0.0,B,C,wide,,4
C_node2node378_wide_t5,0.0,B,C,wide,,5
C_node2node380_timber_t0,0.0,B,C,timber,,0
C_node2node380_timber_t1,0.0,B,C,timber,,1
C_node2node380_timber_t2,0.0,B,C,timber,,2
C_node2node380_timber_t3,0.0,B,C,timber,,3
C_node2node380_timber_t4,0.0,B,C,timber,,4
C_node2node380_timber_t5,0.0,B,C,timber,,5
C_node2node380_wide_t0,0.0,B,C,wide,,0
C_node2node380_wide_t1,0.0,B,C,wide,,1
C_node2node380_wide_t2,0.0,B,C,wide,,2
C_node2node380_wide_t3,0.0,B,C,wide,,3
C_node2node380_wide_t4,0.0,B,C,wide,,4
C_node2node380_wide_t5,0.0,B,C,wide,,5
C_node3node192_timber_t0,694.0,B,C,timber,,0
C_node3node192_timber_t1,584.33,B,C,timber,,1
C_node3node192_timber_t2,414.24,B,C,timber,,2
C_node3node192_timber_t3,293.66,B,C,timber,,3
C_node3node192_timber_t4,208.18,B,C,timber,,4
C_node3node192_timber_t5,147.59,B,C,timber,,5
C_node3node192_wide_t0,1041.0,B,C,wide,,0
C_node3node192_wide_t1,876.49,B,C,wide,,1
C_node3node192_wide_t2,621.36,B,C,wide,,2
C_node3node192_wide_t3,440.5,B,C,wide,,3
C_node3node192_wide_t4,312.28,B,C,wide,,4
C_node3node192_wide_t5,221.38,B,C,wide,,5
C_node3node264_timber_t0,3133.0,B,C,timber,,0
C_node3node264_timber_t1,2637.9,B,C,timber,,1
C_node3node264_timber_t2,1870.06,B,C,timber,,2
C_node3node264_timber_t3,1325.72,B,C,timber,,3
C_node3node264_timber_t4,939.83,B,C,timber,,4
C_node3node264_timber_t5,666.26,B,C,timber,,5
C_node3node264_wide_t0,4699.0,B,C,wide,,0
C_node3node264_wide_t1,3956.43,B,C,wide,,1
C_node3node264_wide_t2,2804.79,B,C,wide,,2
C_node3node264_wide_t3,1988.37,B,C,wide,,3
C_node3node264_wide_t4,1409.59,B,C,wide,,4
C_node3node264_wide_t5,999.29,B,C,wide,,5
C_node3node362_timber_t0,0.0,B,C,timber,,0
C_node3node362_timber_t1,0.0,B,C,timber,,1
C_node3node362_timber_t2,0.0,B,C,timber,,2
C_node3node362_timber_t3,0.0,B,C,timber,,3
C_node3node362_timber_t4,0.0,B,C,timber,,4
C_node3node362_timber_t5,0.0,B,C,timber,,5
C_node3node362_wide_t0,0.0,B,C,wide,,0
C_node3node362_wide_t1,0.0,B,C,wide,,1
C_node3node362_wide_t2,0.0,B,C,wide,,2
C_node3node362_wide_t3,0.0,B,C,wide,,3
C_node3node362_wide_t4,0.0,B,C,wide,,4
C_node3node362_wide_t5,0.0,B,C,wide,,5
C_node4node37_timber_t0,595.0,B,C,timber,,0
C_node4node37_timber_t1,500.97,B,C,timber,,1
C_node4node37_timber_t2,355.15,B,C,timber,,2
C_node4node37_timber_t3,251.77,B,C,timber,,3
C_node4node37_timber_t4,178.49,B,C,timber,,4
C_node4node37_timber_t5,126.53,B,C,timber,,5
C_node4node37_wide_t0,892.0,B,C,wide,,0
C_node4node37_wide_t1,751.04,B,C,wide,,1
C_node4node37_wide_t2,532.43,B,C,wide,,2
C_node4node37_wide_t3,377.45,B,C,wide,,3
C_node4node37_wide_t4,267.58,B,C,wide,,4
C_node4node37_wide_t5,189.69,B,C,wide,,5
C_node4node89_timber_t0,1305.0,B,C,timber,,0
C_node4node89_timber_t1,1098.77,B,C,timber,,1
C_node4node89_timber_t2,778.94,B,C,timber,,2
C_node4node89_timber_t3,552.21,B,C,timber,,3
C_node4node89_timber_t4,391.47,B,C,timber,,4
C_node4node89_timber_t5,277.52,B,C,timber,,5
C_node4node89_wide_t0,1957.0,B,C,wide,,0
C_node4node89_wide_t1,1647.74,B,C,wide,,1
C_node4node89_wide_t2,1168.11,B,C,wide,,2
C_node4node89_wide_t3,828.1,B,C,wide,,3
C_node4node89_wide_t4,587.05,B,C,wide,,4
C_node4node89_wide_t5,416.17,B,C,wide,,5
C_node4node8_timber_t0,3399.0,B,C,timber,,0
C_node4node8_timber_t1,2861.87,B,C,timber,,1
C_node4node8_timber_t2,2028.83,B,C,timber,,2
C_node4node8_timber_t3,1438.28,B,C,timber,,3
C_node4node8_timber_t4,1019.62,B,C,timber,,4
C_node4node8_timber_t5,722.83,B,C,timber,,5
C_node4node8_wide_t0,5097.0,B,C,wide,,0
C_node4node8_wide_t1,4291.54,B,C,wide,,1
C_node4node8_wide_t2,3042.35,B,C,wide,,2
