variable,lb,ub,type,edge,period,road_type
flow_timber_node30node139_t2,0.0,9.0,I,node30node139,2,timber
flow_timber_node30node139_t3,0.0,9.0,I,node30node139,3,timber
flow_timber_node30node139_t4,0.0,9.0,I,node30node139,4,timber
flow_timber_node30node139_t5,0.0,9.0,I,node30node139,5,timber
flow_wide_node30node139_t1,0.0,9.0,I,node30node139,1,wide
flow_wide_node30node139_t2,0.0,9.0,I,node30node139,2,wide
flow_wide_node30node139_t3,0.0,9.0,I,node30node139,3,wide
flow_wide_node30node139_t4,0.0,9.0,I,node30node139,4,wide
flow_wide_node30node139_t5,0.0,9.0,I,node30node139,5,wide
flow_timber_node30node404_t1,0.0,9.0,I,node30node404,1,timber
flow_timber_node30node404_t2,0.0,9.0,I,node30node404,2,timber
flow_timber_node30node404_t3,0.0,9.0,I,node30node404,3,timber
flow_timber_node30node404_t4,0.0,9.0,I,node30node404,4,timber
flow_timber_node30node404_t5,0.0,9.0,I,node30node404,5,timber
flow_wide_node30node404_t1,0.0,9.0,I,node30node404,1,wide
flow_wide_node30node404_t2,0.0,9.0,I,node30node404,2,wide
flow_wide_node30node404_t3,0.0,9.0,I,node30node404,3,wide
flow_wide_node30node404_t4,0.0,9.0,I,node30node404,4,wide
flow_wide_node30node404_t5,0.0,9.0,I,node30node404,5,wide
flow_timber_node30node433_t1,0.0,9.0,I,node30node433,1,timber
flow_timber_node30node433_t2,0.0,9.0,I,node30node433,2,timber
flow_timber_node30node433_t3,0.0,9.0,I,node30node433,3,timber
flow_timber_node30node433_t4,0.0,9.0,I,node30node433,4,timber
flow_timber_node30node433_t5,0.0,9.0,I,node30node433,5,timber
flow_wide_node30node433_t1,0.0,9.0,I,node30node433,1,wide
flow_wide_node30node433_t2,0.0,9.0,I,node30node433,2,wide
flow_wide_node30node433_t3,0.0,9.0,I,node30node433,3,wide
flow_wide_node30node433_t4,0.0,9.0,I,node30node433,4,wide
flow_wide_node30node433_t5,0.0,9.0,I,node30node433,5,wide
flow_timber_node30node434_t1,0.0,9.0,I,node30node434,1,timber
flow_timber_node30node434_t2,0.0,9.0,I,node30node434,2,timber
flow_timber_node30node434_t3,0.0,9.0,I,node30node434,3,timber
flow_timber_node30node434_t4,0.0,9.0,I,node30node434,4,timber
flow_timber_node30node434_t5,0.0,9.0,I,node30node434,5,timber
flow_wide_node30node434_t1,0.0,9.0,I,node30node434,1,wide
flow_wide_node30node434_t2,0.0,9.0,I,node30node434,2,wide
flow_wide_node30node434_t3,0.0,9.0,I,node30node434,3,wide
flow_wide_node30node434_t4,0.0,9.0,I,node30node434,4,wide
flow_wide_node30node434_t5,0.0,9.0,I,node30node434,5,wide
flow_timber_node109node1_t1,0.0,9.0,I,node109node1,1,timber
flow_timber_node109node1_t2,0.0,9.0,I,node109node1,2,timber
flow_timber_node109node1_t3,0.0,9.0,I,node109node1,3,timber
flow_timber_node109node1_t4,0.0,9.0,I,node109node1,4,timber
flow_timber_node109node1_t5,0.0,9.0,I,node109node1,5,timber
flow_wide_node109node1_t1,0.0,9.0,I,node109node1,1,wide
flow_wide_node109node1_t2,0.0,9.0,I,node109node1,2,wide
flow_wide_node109node1_t3,0.0,9.0,I,node109node1,3,wide
flow_wide_node109node1_t4,0.0,9.0,I,node109node1,4,wide
flow_wide_node109node1_t5,0.0,9.0,I,node109node1,5,wide
flow_timber_node109node52_t1,0.0,9.0,I,node109node52,1,timber
flow_timber_node109node52_t2,0.0,9.0,I,node109node52,2,timber
flow_timber_node109node52_t3,0.0,9.0,I,node109node52,3,timber
flow_timber_node109node52_t4,0.0,9.0,I,node109node52,4,timber
flow_timber_node109node52_t5,0.0,9.0,I,node109node52,5,timber
flow_wide_node109node52_t1,0.0,9.0,I,node109node52,1,wide
flow_wide_node109node52_t2,0.0,9.0,I,node109node52,2,wide
flow_wide_node109node52_t3,0.0,9.0,I,node109node52,3,wide
flow_wide_node109node52_t4,0.0,9.0,I,node109node52,4,wide
flow_wide_node109node52_t5,0.0,9.0,I,node109node52,5,wide
flow_timber_node109node179_t1,0.0,9.0,I,node109node179,1,timber
flow_timber_node109node179_t2,0.0,9.0,I,node109node179,2,timber
flow_timber_node109node179_t3,0.0,9.0,I,node109node179,3,timber
flow_timber_node109node179_t4,0.0,9.0,I,node109node179,4,timber
flow_timber_node109node179_t5,0.0,9.0,I,node109node179,5,timber
flow_wide_node109node179_t1,0.0,9.0,I,node109node179,1,wide
flow_wide_node109node179_t2,0.0,9.0,I,node109node179,2,wide
flow_wide_node109node179_t3,0.0,9.0,I,node109node179,3,wide
flow_wide_node109node179_t4,0.0,9.0,I,node109node179,4,wide
flow_wide_node109node179_t5,0.0,9.0,I,node109node179,5,wide
flow_timber_node109node404_t1,0.0,9.0,I,node109node404,1,timber
flow_timber_node109node404_t2,0.0,9.0,I,node109node404,2,timber
flow_timber_node109node404_t3,0.0,9.0,I,node109node404,3,timber
flow_timber_node109node404_t4,0.0,9.0,I,node109node404,4,timber
flow_timber_node109node404_t5,0.0,9.0,I,node109node404,5,timber
flow_wide_node109node404_t1,0.0,9.0,I,node109node404,1,wide
flow_wide_node109node404_t2,0.0,9.0,I,node109node404,2,wide
flow_wide_node109node404_t3,0.0,9.0,I,node109node404,3,wide
flow_wide_node109node404_t4,0.0,9.0,I,node109node404,4,wide
flow_wide_node109node404_t5,0.0,9.0,I,node109node404,5,wide
flow_timber_node109node405_t1,0.0,9.0,I,node109node405,1,timber
flow_timber_node109node405_t2,0.0,9.0,I,node109node405,2,timber
flow_timber_node109node405_t3,0.0,9.0,I,node109node405,3,timber
flow_timber_node109node405_t4,0.0,9.0,I,node109node405,4,timber
flow_timber_node109node405_t5,0.0,9.0,I,node109node405,5,timber
flow_wide_node109node405_t1,0.0,9.0,I,node109node405,1,wide
flow_wide_node109node405_t2,0.0,9.0,I,node109node405,2,wide
flow_wide_node109node405_t3,0.0,9.0,I,node109node405,3,wide
flow_wide_node109node405_t4,0.0,9.0,I,node109node405,4,wide
flow_wide_node109node405_t5,0.0,9.0,I,node109node405,5,wide
flow_timber_node109node420_t1,0.0,9.0,I,node109node420,1,timber
flow_timber_node109node420_t2,0.0,9.0,I,node109node420,2,timber
flow_timber_node109node420_t3,0.0,9.0,I,node109node420,3,timber
flow_timber_node109node420_t4,0.0,9.0,I,node109node420,4,timber
flow_timber_node109node420_t5,0.0,9.0,I,node109node420,5,timber
flow_wide_node109node420_t1,0.0,9.0,I,node109node420,1,wide
flow_wide_node109node420_t2,0.0,9.0,I,node109node420,2,wide
flow_wide_node109node420_t3,0.0,9.0,I,node109node420,3,wide
flow_wide_node109node420_t4,0.0,9.0,I,node109node420,4,wide
flow_wide_node109node420_t5,0.0,9.0,I,node109node420,5,wide
flow_timber_node223node1_t1,0.0,9.0,I,node223node1,1,timber
flow_timber_node223node1_t2,0.0,9.0,I,node223node1,2,timber
flow_timber_node223node1_t3,0.0,9.0,I,node223node1,3,timber
flow_timber_node223node1_t4,0.0,9.0,I,node223node1,4,timber
flow_timber_node223node1_t5,0.0,9.0,I,node223node1,5,timber
flow_wide_node223node1_t1,0.0,9.0,I,node223node1,1,wide
flow_wide_node223node1_t2,0.0,9.0,I,node223node1,2,wide
flow_wide_node223node1_t3,0.0,9.0,I,node223node1,3,wide
flow_wide_node223node1_t4,0.0,9.0,I,node223node1,4,wide
flow_wide_node223node1_t5,0.0,9.0,I,node223node1,5,wide
flow_timber_node223node80_t1,0.0,9.0,I,node223node80,1,timber
flow_timber_node223node80_t2,0.0,9.0,I,node223node80,2,timber
flow_timber_node223node80_t3,0.0,9.0,I,node223node80,3,timber
flow_timber_node223node80_t4,0.0,9.0,I,node223node80,4,timber
flow_timber_node223node80_t5,0.0,9.0,I,node223node80,5,timber
flow_wide_node223node80_t1,0.0,9.0,I,node223node80,1,wide
flow_wide_node223node80_t2,0.0,9.0,I,node223node80,2,wide
flow_wide_node223node80_t3,0.0,9.0,I,node223node80,3,wide
flow_wide_node223node80_t4,0.0,9.0,I,node223node80,4,wide
flow_wide_node223node80_t5,0.0,9.0,I,node223node80,5,wide
flow_timber_node223node235_t1,0.0,9.0,I,node223node235,1,timber
flow_timber_node223node235_t2,0.0,9.0,I,node223node235,2,timber
flow_timber_node223node235_t3,0.0,9.0,I,node223node235,3,timber
flow_timber_node223node235_t4,0.0,9.0,I,node223node235,4,timber
flow_timber_node223node235_t5,0.0,9.0,I,node223node235,5,timber
flow_wide_node223node235_t1,0.0,9.0,I,node223node235,1,wide
flow_wide_node223node235_t2,0.0,9.0,I,node223node235,2,wide
flow_wide_node223node235_t3,0.0,9.0,I,node223node235,3,wide
flow_wide_node223node235_t4,0.0,9.0,I,node223node235,4,wide
flow_wide_node223node235_t5,0.0,9.0,I,node223node235,5,wide
flow_timber_node223node420_t1,0.0,9.0,I,node223node420,1,timber
flow_timber_node223node420_t2,0.0,9.0,I,node223node420,2,timber
flow_timber_node223node420_t3,0.0,9.0,I,node223node420,3,timber
flow_timber_node223node420_t4,0.0,9.0,I,node223node420,4,timber
flow_timber_node223node420_t5,0.0,9.0,I,node223node420,5,timber
flow_wide_node223node420_t1,0.0,9.0,I,node223node420,1,wide
flow_wide_node223node420_t2,0.0,9.0,I,node223node420,2,wide
flow_wide_node223node420_t3,0.0,9.0,I,node223node420,3,wide
flow_wide_node223node420_t4,0.0,9.0,I,node223node420,4,wide
flow_wide_node223node420_t5,0.0,9.0,I,node223node420,5,wide
flow_timber_node223node434_t1,0.0,9.0,I,node223node434,1,timber
flow_timber_node223node434_t2,0.0,9.0,I,node223node434,2,timber
flow_timber_node223node434_t3,0.0,9.0,I,node223node434,3,timber
flow_timber_node223node434_t4,0.0,9.0,I,node223node434,4,timber
flow_timber_node223node434_t5,0.0,9.0,I,node223node434,5,timber
flow_wide_node223node434_t1,0.0,9.0,I,node223node434,1,wide
flow_wide_node223node434_t2,0.0,9.0,I,node223node434,2,wide
flow_wide_node223node434_t3,0.0,9.0,I,node223node434,3,wide
flow_wide_node223node434_t4,0.0,9.0,I,node223node434,4,wide
flow_wide_node223node434_t5,0.0,9.0,I,node223node434,5,wide
flow_timber_node223node435_t1,0.0,9.0,I,node223node435,1,timber
flow_timber_node223node435_t2,0.0,9.0,I,node223node435,2,timber
flow_timber_node223node435_t3,0.0,9.0,I,node223node435,3,timber
flow_timber_node223node435_t4,0.0,9.0,I,node223node435,4,timber
flow_timber_node223node435_t5,0.0,9.0,I,node223node435,5,timber
flow_wide_node223node435_t1,0.0,9.0,I,node223node435,1,wide
flow_wide_node223node435_t2,0.0,9.0,I,node223node435,2,wide
flow_wide_node223node435_t3,0.0,9.0,I,node223node435,3,wide
flow_wide_node223node435_t4,0.0,9.0,I,node223node435,4,wide
flow_wide_node223node435_t5,0.0,9.0,I,node223node435,5,wide
flow_timber_node404node1_t1,0.0,9.0,I,node404node1,1,timber
flow_timber_node404node1_t2,0.0,9.0,I,node404node1,2,timber
flow_timber_node404node1_t3,0.0,9.0,I,node404node1,3,timber
flow_timber_node404node1_t4,0.0,9.0,I,node404node1,4,timber
flow_timber_node404node1_t5,0.0,9.0,I,node404node1,5,timber
flow_wide_node404node1_t1,0.0,9.0,I,node404node1,1,wide
flow_wide_node404node1_t2,0.0,9.0,I,node404node1,2,wide
flow_wide_node404node1_t3,0.0,9.0,I,node404node1,3,wide
flow_wide_node404node1_t4,0.0,9.0,I,node404node1,4,wide
flow_wide_node404node1_t5,0.0,9.0,I,node404node1,5,wide
flow_timber_node404node13_t1,0.0,9.0,I,node404node13,1,timber
flow_timber_node404node13_t2,0.0,9.0,I,node404node13,2,timber
flow_timber_node404node13_t3,0.0,9.0,I,node404node13,3,timber
flow_timber_node404node13_t4,0.0,9.0,I,node404node13,4,timber
flow_timber_node404node13_t5,0.0,9.0,I,node404node13,5,timber
flow_wide_node404node13_t1,0.0,9.0,I,node404node13,1,wide
flow_wide_node404node13_t2,0.0,9.0,I,node404node13,2,wide
flow_wide_node404node13_t3,0.0,9.0,I,node404node13,3,wide
flow_wide_node404node13_t4,0.0,9.0,I,node404node13,4,wide
flow_wide_node404node13_t5,0.0,9.0,I,node404node13,5,wide
flow_timber_node404node30_t1,0.0,9.0,I,node404node30,1,timber
flow_timber_node404node30_t2,0.0,9.0,I,node404node30,2,timber
flow_timber_node404node30_t3,0.0,9.0,I,node404node30,3,timber
flow_timber_node404node30_t4,0.0,9.0,I,node404node30,4,timber
flow_timber_node404node30_t5,0.0,9.0,I,node404node30,5,timber
flow_wide_node404node30_t1,0.0,9.0,I,node404node30,1,wide
flow_wide_node404node30_t2,0.0,9.0,I,node404node30,2,wide
flow_wide_node404node30_t3,0.0,9.0,I,node404node30,3,wide
flow_wide_node404node30_t4,0.0,9.0,I,node404node30,4,wide
flow_wide_node404node30_t5,0.0,9.0,I,node404node30,5,wide
flow_timber_node404node48_t1,0.0,9.0,I,node404node48,1,timber
flow_timber_node404node48_t2,0.0,9.0,I,node404node48,2,timber
flow_timber_node404node48_t3,0.0,9.0,I,node404node48,3,timber
flow_timber_node404node48_t4,0.0,9.0,I,node404node48,4,timber
flow_timber_node404node48_t5,0.0,9.0,I,node404node48,5,timber
flow_wide_node404node48_t1,0.0,9.0,I,node404node48,1,wide
flow_wide_node404node48_t2,0.0,9.0,I,node404node48,2,wide
flow_wide_node404node48_t3,0.0,9.0,I,node404node48,3,wide
