"Source(x,y)","Target(x,y)"
"(-10471.31358, 144456.25121)","(-10383.51255, 144329.66068)"
"(-10471.31358, 144456.25121)","(-9999.62849, 144442.66667)"
"(-10471.31358, 144456.25121)","(-10689.80193, 144458.96875)"
"(-12376.80708, 146880.38561)","(-12225.39426, 146864.2554)"
"(-12376.80708, 146880.38561)","(-12573.93998, 146944.30511)"
"(-12376.80708, 146880.38561)","(-12150.41828, 147034.86361)"
"(-12376.80708, 146880.38561)","(-12416.58816, 146754.19929)"
"(-12376.80708, 146880.38561)","(-12465.81377, 147031.14202)"
"(-12376.80708, 146880.38561)","(-11832.54596, 147082.78683)"
"(-11614.43768, 146306.63241)","(-11530.46478, 146304.00601)"
"(-11614.43768, 146306.63241)","(-11689.91373, 146061.82348)"
"(-11614.43768, 146306.63241)","(-11535.17588, 146511.60567)"
"(-10940.07578, 146634.18461)","(-11113.07018, 146571.39151)"
"(-10940.07578, 146634.18461)","(-10804.38598, 146592.14491)"
"(-10940.07578, 146634.18461)","(-11292.57138, 146694.10811)"
"(-10940.07578, 146634.18461)","(-10585.40251, 146441.79314)"
"(-10940.07578, 146634.18461)","(-11130.22825, 146695.29086)"
"(-10940.07578, 146634.18461)","(-11262.68254, 146782.69804)"
"(-11832.87338, 145011.12561)","(-11715.25928, 145005.74931)"
"(-11832.87338, 145011.12561)","(-12126.29698, 145154.53001)"
"(-11832.87338, 145011.12561)","(-11935.33564, 145084.54367)"
"(-11214.88648, 145304.51751)","(-11263.25238, 145350.99561)"
"(-11214.88648, 145304.51751)","(-11291.89646, 145284.32538)"
"(-11214.88648, 145304.51751)","(-10969.37789, 145233.76956)"
"(-11214.88648, 145304.51751)","(-11298.50872, 145094.28111)"
"(-11214.88648, 145304.51751)","(-11175.37279, 145212.95609)"
"(-11214.88648, 145304.51751)","(-10886.6139, 145312.75793)"
"(-10586.47098, 145430.04251)","(-10572.27948, 145306.64461)"
"(-10586.47098, 145430.04251)","(-10508.17068, 145469.67671)"
"(-10586.47098, 145430.04251)","(-10727.11168, 145383.44001)"
"(-10586.47098, 145430.04251)","(-10433.51815, 145216.22844)"
"(-10586.47098, 145430.04251)","(-10886.6139, 145312.75793)"
"(-10586.47098, 145430.04251)","(-10875.67833, 145439.00808)"
"(-10409.86108, 146061.03541)","(-10366.09948, 146045.01991)"
"(-10409.86108, 146061.03541)","(-10463.28508, 146061.25081)"
"(-10409.86108, 146061.03541)","(-10415.02377, 146051.40539)"
"(-10409.86108, 146061.03541)","(-10458.17531, 145959.85114)"
"(-10409.86108, 146061.03541)","(-10508.41568, 145963.38485)"
