"Node1(x,y)","Node2(x,y)"
"(-12404.28668, 145555.55021)","(-12266.05088, 145592.35111)"
"(-12404.28668, 145555.55021)","(-12318.6526, 145359.61718)"
"(-9686.91908, 144778.42451)","(-9674.56938, 144595.59931)"
"(-9686.91908, 144778.42451)","(-9467.41438, 144774.25241)"
"(-9686.91908, 144778.42451)","(-10096.21758, 144857.05771)"
"(-12126.29698, 145154.53001)","(-11842.71668, 145304.14611)"
"(-12126.29698, 145154.53001)","(-12226.24183, 145268.4027)"
"(-11013.14958, 146261.14121)","(-11019.35018, 146283.05711)"
"(-11013.14958, 146261.14121)","(-11051.24968, 146283.05717)"
"(-12056.15258, 145620.82851)","(-12204.43494, 145535.89745)"
"(-12056.15258, 145620.82851)","(-11956.11228, 145598.48942)"
"(-12056.15258, 145620.82851)","(-11911.82328, 145716.01351)"
"(-10001.33388, 145572.81591)","(-9978.05058, 145605.62441)"
"(-10001.33388, 145572.81591)","(-10006.62558, 145444.75741)"
"(-10319.20618, 145145.05011)","(-10240.41981, 145208.32364)"
"(-9861.69428, 145345.43311)","(-9682.96018, 145287.91201)"
"(-9861.69428, 145345.43311)","(-9981.22558, 145423.59061)"
"(-12425.26918, 146572.02501)","(-12451.77348, 146591.56311)"
"(-12425.26918, 146572.02501)","(-12306.4491, 146483.83352)"
"(-12425.26918, 146572.02501)","(-12203.62278, 146868.49841)"
"(-11360.44038, 144863.96811)","(-11274.31335, 144903.57648)"
"(-11360.44038, 144863.96811)","(-11474.53728, 145036.98431)"
"(-11360.44038, 144863.96811)","(-11076.49878, 144696.99751)"
"(-11360.44038, 144863.96811)","(-11445.56428, 144561.99741)"
"(-11292.57138, 146694.10811)","(-11657.10278, 146836.53971)"
"(-11292.57138, 146694.10811)","(-11113.07018, 146571.39151)"
"(-10422.05028, 144587.15941)","(-10373.22795, 144597.34741)"
"(-10422.05028, 144587.15941)","(-10815.39788, 144550.04898)"
"(-10591.73298, 144296.31881)","(-10339.73058, 144215.51711)"
"(-10591.73298, 144296.31881)","(-11024.58038, 144201.20341)"
"(-10591.73298, 144296.31881)","(-10859.9594, 144404.45946)"
"(-10612.28278, 145868.52701)","(-10463.28508, 146061.25081)"
"(-10612.28278, 145868.52701)","(-10559.87008, 145862.92891)"
"(-10612.28278, 145868.52701)","(-11345.52318, 145931.44721)"
"(-10493.51198, 146549.16931)","(-10804.38598, 146592.14491)"
"(-10493.51198, 146549.16931)","(-10425.74452, 146665.6367)"
"(-10493.51198, 146549.16931)","(-9984.20277, 146563.07825)"
"(-12089.04288, 146105.08451)","(-12150.32018, 146106.93491)"
"(-12089.04288, 146105.08451)","(-11787.61178, 146176.79402)"
"(-11051.24968, 146283.05717)","(-11019.35018, 146283.05711)"
"(-11051.24968, 146283.05717)","(-11070.94408, 146283.05721)"
"(-11461.86638, 145478.87951)","(-11479.27611, 145482.62956)"
"(-11461.86638, 145478.87951)","(-11324.91898, 145686.34871)"
"(-11461.86638, 145478.87951)","(-11322.38808, 145684.27591)"
"(-12150.41828, 147034.86361)","(-12162.38518, 147088.50391)"
"(-12080.04928, 146757.98281)","(-12020.80848, 146775.19261)"
"(-12080.04928, 146757.98281)","(-12192.16702, 146876.89671)"
"(-11903.73748, 146469.52171)","(-11848.46738, 146406.31591)"
"(-11903.73748, 146469.52171)","(-12085.69028, 146465.38451)"
"(-11903.73748, 146469.52171)","(-12128.28838, 146605.30541)"
"(-9682.96018, 145287.91201)","(-9273.47336, 145165.18738)"
"(-12266.05088, 145592.35111)","(-12204.43494, 145535.89745)"
"(-12266.05088, 145592.35111)","(-12132.32018, 145815.81351)"
"(-12085.69028, 146465.38451)","(-12175.26418, 146323.63221)"
"(-12085.69028, 146465.38451)","(-12128.28838, 146605.30541)"
"(-11657.61788, 144440.58811)","(-12377.49558, 143982.26871)"
"(-11657.61788, 144440.58811)","(-12126.48468, 144569.94141)"
"(-12175.26418, 146323.63221)","(-12176.52211, 146295.99382)"
"(-12175.26418, 146323.63221)","(-11848.46738, 146406.31591)"
"(-9978.05058, 145605.62441)","(-9939.95048, 145616.20771)"
"(-9978.05058, 145605.62441)","(-9989.59175, 145621.69655)"
"(-9584.22898, 144422.42351)","(-9721.09488, 144536.77931)"
"(-9584.22898, 144422.42351)","(-9461.89162, 144402.46279)"
"(-11646.16018, 147401.95171)","(-11647.46748, 147490.42951)"
"(-11646.16018, 147401.95171)","(-11666.33808, 147348.19052)"
"(-10681.31538, 146176.81681)","(-10627.12218, 146132.03631)"
"(-10681.31538, 146176.81681)","(-11034.00928, 146314.14501)"
"(-10681.31538, 146176.81681)","(-9988.06853, 146375.41721)"
"(-10930.14798, 145204.05181)","(-10945.4788, 145215.66533)"
"(-10930.14798, 145204.05181)","(-10599.75727, 145307.75594)"
"(-11647.46748, 147490.42951)","(-11514.13248, 147464.64091)"
"(-11647.46748, 147490.42951)","(-11631.18218, 147630.20151)"
"(-11024.58038, 144201.20341)","(-11652.93558, 144066.29101)"
"(-11024.58038, 144201.20341)","(-10996.05097, 144429.79117)"
"(-11070.94408, 146283.05721)","(-11147.67338, 146279.08841)"
"(-10099.59488, 145303.55751)","(-9981.22558, 145423.59061)"
"(-10099.59488, 145303.55751)","(-10240.41981, 145208.32364)"
"(-10099.59488, 145303.55751)","(-10508.17068, 145469.67671)"
"(-11715.25928, 145005.74931)","(-11745.20313, 144967.58487)"
"(-11715.25928, 145005.74931)","(-11660.15818, 145199.22361)"
"(-11193.97548, 146304.22381)","(-11199.2228, 146286.69589)"
"(-11193.97548, 146304.22381)","(-11147.67338, 146279.08841)"
"(-11193.97548, 146304.22381)","(-11260.41238, 146311.88539)"
"(-12132.32018, 145815.81351)","(-12460.81378, 146096.66401)"
