"Source(x,y)","Target(x,y)",edgelength,has_exit,has_source,Build5m,Maintain5m,Build10m,Maintain10m,Upgrade,slope,removed_nodes
"(-9833.40198, 146132.72991)","(-9913.6735, 145997.5426)",0.15730005881365267,True,False,760,295,1140,295,570,False,"[(-9883.05958, 146053.83271)]"
"(-9833.40198, 146132.72991)","(-9936.64878, 146330.41641)",0.3027491320574996,False,False,1462,568,2194,568,1098,False,"[(-9868.80898, 146130.25731), (-9934.37098, 146130.25681), (-9946.38268, 146189.89831), (-9940.85308, 146270.24361)]"
"(-9833.40198, 146132.72991)","(-9976.58998, 146666.29741)",1.5482147388398562,False,False,7482,2909,11220,2909,5608,False,"[(-9805.46208, 146134.68111), (-9741.08058, 146132.42451), (-9648.87528, 146125.89911), (-9582.33208, 146131.56141), (-9524.71108, 146168.79911), (-9474.36458, 146148.00311), (-9425.86588, 146152.17191), (-9359.18068, 146204.62561), (-9344.90718, 146279.05861), (-9337.37118, 146345.65811), (-9347.95448, 146436.67491), (-9354.96598, 146506.32671), (-9353.85428, 146563.86791), (-9397.18908, 146571.47301), (-9453.10198, 146592.00121), (-9496.01288, 146608.30301), (-9519.06088, 146583.74391), (-9580.44438, 146604.91061), (-9649.24508, 146658.36981), (-9695.71648, 146659.22551)]"
"(-9833.40198, 146132.72991)","(-10003.61619, 146080.35893)",0.0,False,True,0,0,0,0,0,False,
"(-9833.40198, 146132.72991)","(-9661.65701, 146389.74345)",0.0,False,True,0,0,0,0,0,False,
"(-9913.6735, 145997.5426)","(-9833.40198, 146132.72991)",0.15730005881365267,True,False,760,295,1140,295,570,False,"[(-9883.05958, 146053.83271)]"
"(-9913.6735, 145997.5426)","(-10171.53348, 146040.09591)",0.35584679632895255,True,False,1720,669,2578,669,1290,False,"[(-10125.06328, 146007.32211), (-10071.66138, 145951.60221), (-10019.47178, 145915.13611), (-9998.86478, 145898.18631), (-9924.07008, 145978.42631)]"
"(-9913.6735, 145997.5426)","(-10003.61619, 146080.35893)",0.0,True,True,0,0,0,0,0,False,
"(-9936.64878, 146330.41641)","(-9833.40198, 146132.72991)",0.3027491320574996,False,False,1462,568,2194,568,1098,False,"[(-9868.80898, 146130.25731), (-9934.37098, 146130.25681), (-9946.38268, 146189.89831), (-9940.85308, 146270.24361)]"
"(-9936.64878, 146330.41641)","(-9927.71538, 146363.58361)",0.034349218206529065,False,False,166,65,249,65,124,17.2107,
"(-9936.64878, 146330.41641)","(-10000.51986, 146251.47094)",0.10154753612908761,True,False,491,191,736,191,368,22.0285,
