Node,Stand
"(-12078.15678, 146592.99481)","[1201, 1519]"
"(-12128.28838, 146605.30541)","[1201, 1519]"
"(-12181.79218, 146626.33611)","[1097, 1201]"
"(-12183.03178, 146686.36391)","[1097, 1201]"
"(-12124.61008, 146716.36491)","[1097, 1201]"
"(-11973.64728, 146750.44291)",[1201]
"(-11923.07578, 146737.93821)",[1201]
"(-11841.75738, 146714.80341)",[1201]
"(-11778.90218, 146712.35631)",[1201]
"(-11736.76038, 146738.40061)",[1201]
"(-11686.21728, 146799.22651)",[1201]
"(-11657.10278, 146836.53971)","[1112, 1201]"
"(-11648.92168, 146703.26721)","[1112, 1201]"
"(-11639.64698, 146644.42651)","[1112, 1201]"
"(-11617.13168, 146600.06011)","[1112, 1201]"
"(-11563.57668, 146584.66191)","[1112, 1201]"
"(-11524.95598, 146538.49191)","[1112, 1201]"
"(-11466.82768, 146529.12371)","[1112, 1201]"
"(-11407.24888, 146556.54021)","[1112, 1201]"
"(-11415.12028, 146623.62571)","[1112, 1201]"
"(-11388.84248, 146666.81461)","[1112, 1201]"
"(-11327.15788, 146654.76671)","[1112, 1201]"
"(-10612.28278, 145868.52701)","[1521, 1202]"
"(-10597.92768, 145864.28861)","[1521, 1202]"
"(-10559.87008, 145862.92891)","[1521, 1202, 1522]"
"(-10522.91078, 145861.60871)","[1202, 1523, 1522]"
"(-10458.37578, 145856.31011)","[1202, 1523]"
"(-10496.10668, 145815.77961)",[1202]
"(-10528.17788, 145787.23431)",[1202]
"(-10586.51338, 145797.88311)",[1202]
"(-10673.56678, 145763.02571)",[1202]
"(-10753.60538, 145731.06961)",[1202]
"(-10798.97448, 145718.85241)",[1202]
"(-10859.80788, 145708.37321)",[1202]
"(-10924.40518, 145698.17071)",[1202]
"(-11002.23838, 145702.44421)",[1202]
"(-11063.64328, 145681.57131)",[1202]
"(-11113.98768, 145696.53051)",[1202]
"(-11176.00098, 145729.83651)",[1202]
"(-11220.63588, 145708.20761)",[1202]
"(-11279.98208, 145695.08561)",[1202]
"(-11322.38808, 145684.27591)",[1202]
"(-11324.91898, 145686.34871)",[1202]
"(-11364.64548, 145718.88591)",[1202]
"(-11440.57778, 145740.78761)",[1202]
"(-11446.45148, 145739.67071)",[1202]
"(-11511.81928, 145727.24051)",[1202]
"(-11513.99508, 145726.82691)",[1202]
"(-11544.98418, 145743.36791)",[1202]
"(-11584.87628, 145764.66121)",[1202]
"(-11658.77228, 145773.94291)",[1202]
"(-11700.87218, 145787.08951)",[1202]
"(-11708.00478, 145789.31671)",[1202]
"(-11710.84508, 145800.03771)",[1202]
"(-11714.64028, 145814.36301)",[1202]
"(-11721.68068, 145840.93761)",[1202]
"(-11724.56608, 145851.82881)",[1202]
"(-11751.46628, 145846.17771)",[1202]
"(-11804.61578, 145835.01261)",[1202]
"(-11809.39888, 145830.47211)",[1202]
"(-11842.75418, 145798.80901)",[1202]
"(-11854.79008, 145787.38381)",[1202]
"(-11858.22438, 145782.12211)",[1202]
"(-11866.97968, 145768.70791)",[1202]
"(-11876.34628, 145754.35741)",[1202]
"(-11880.72738, 145747.64511)",[1202]
"(-11884.70948, 145741.54421)",[1202]
"(-11886.31868, 145739.07881)",[1202]
"(-11890.88518, 145732.08241)",[1202]
"(-11893.68148, 145727.79831)",[1202]
"(-11911.82328, 145716.01351)",[1202]
"(-11937.40728, 145699.39451)",[1202]
"(-11940.96438, 145697.08401)",[1202]
"(-11940.97378, 145697.07781)",[1202]
"(-11949.38778, 145691.61221)",[1202]
"(-11950.06808, 145691.12221)",[1202]
"(-11957.36938, 145685.86281)",[1202]
"(-11981.05388, 145668.80201)",[1202]
"(-11986.20988, 145665.08791)",[1202]
"(-11996.41668, 145657.73571)",[1202]
"(-12006.20518, 145650.68471)",[1202]
"(-12013.82198, 145646.13161)",[1202]
"(-12056.15258, 145620.82851)",[1202]
"(-12118.89688, 145560.24551)",[1202]
