ID_UG;nodes
1199;(-12126.35638, 145955.36771),(-11662.28898, 146337.29681),(-11614.43768, 146306.63241),(-11345.52318, 145931.44721),(-11766.11108, 146178.79121),(-11668.69188, 146318.24681),(-11530.46478, 146304.00601),(-11498.47148, 146267.03401),(-11511.51977, 146282.11283),(-11689.91373, 146061.82348)
868;(-10931.42588, 144772.14521),(-10973.55168, 145177.73511),(-11360.44038, 144863.96811),(-10930.14798, 145204.05181),(-10643.00188, 145112.35371),(-10989.83068, 144664.08681),(-11076.49878, 144696.99751),(-10866.23208, 144968.77101),(-10572.27948, 145306.64461),(-10599.75727, 145307.75594),(-10899.29296, 145033.64337)
869;(-10931.42588, 144772.14521),(-10474.81838, 144921.17101),(-10643.00188, 145112.35371),(-10866.23208, 144968.77101),(-10536.39665, 144988.45603),(-10706.98024, 144921.79793)
1265;(-9272.67648, 145681.67241),(-10001.33388, 145572.81591),(-9861.69428, 145345.43311),(-9682.96018, 145287.91201),(-9978.05058, 145605.62441),(-9939.95048, 145616.20771),(-9189.81098, 145140.27701),(-9981.22558, 145423.59061),(-10006.62558, 145444.75741),(-9548.31546, 145415.4506)
1266;(-9272.67648, 145681.67241),(-9939.95048, 145616.20771),(-9890.19048, 145757.38021),(-9921.70364, 145669.30352),(-9668.512, 145677.10047),(-9589.40351, 145679.25373)
1264;(-10171.53348, 146040.09591),(-10409.86108, 146061.03541),(-10309.34908, 146023.00721),(-10681.31538, 146176.81681),(-10627.12218, 146132.03631),(-10273.18688, 146008.23321),(-10600.05419, 146118.42648),(-9936.64878, 146330.41641),(-9927.71538, 146363.58361),(-10463.28508, 146061.25081),(-10283.24258, 146051.18691),(-10366.09948, 146045.01991),(-9988.06853, 146375.41721),(-10536.25397, 146086.34763),(-10328.465, 146251.40691)
1497;(-9397.61418, 144516.32871),(-9651.78088, 144199.77851),(-9584.22898, 144422.42351),(-9674.56938, 144595.59931),(-9437.22218, 144335.59211),(-9305.40998, 144657.12641),(-9573.00478, 144160.25261),(-9500.51238, 144325.26181),(-9254.73888, 144343.29081),(-9721.09488, 144536.77931),(-9463.35979, 144425.66771)
1201;(-11662.28898, 146337.29681),(-12181.79218, 146626.33611),(-11614.43768, 146306.63241),(-11292.57138, 146694.10811),(-11051.24968, 146283.05717),(-12080.04928, 146757.98281),(-11903.73748, 146469.52171),(-11070.94408, 146283.05721),(-11193.97548, 146304.22381),(-11657.10278, 146836.53971),(-12128.28838, 146605.30541),(-11019.35018, 146283.05711),(-12020.80848, 146775.19261),(-11113.07018, 146571.39151),(-11530.46478, 146304.00601),(-11781.45528, 146357.98461),(-11498.47148, 146267.03401),(-11147.67338, 146279.08841),(-11848.46738, 146406.31591),(-11034.00928, 146314.14501),(-11400.35565, 146298.1227),(-11426.15818, 146296.00823),(-11260.41238, 146311.88539),(-11535.17588, 146511.60567)
1097;(-12181.79218, 146626.33611),(-12425.26918, 146572.02501),(-12080.04928, 146757.98281),(-12236.01448, 146458.80881),(-12203.62278, 146868.49841),(-12192.16702, 146876.89671),(-12245.41252, 146523.94896),(-12229.4852, 146691.79924)
873;(-10471.31358, 144456.25121),(-10422.05028, 144587.15941),(-10591.73298, 144296.31881),(-11010.83498, 144515.51401),(-10820.93418, 144562.38671),(-10866.58898, 144554.29691),(-11000.49588, 144453.43731),(-10815.39788, 144550.04898),(-10689.80193, 144458.96875)
