"Node1(x,y)","Node2(x,y)",edgelength,slope,has_exit,has_source
"(-12568.71418, 145807.27891)","(-12581.21798, 145732.85311)",0.07546883277273843,25.7721,False,False
"(-12568.71418, 145807.27891)","(-12618.47018, 145830.80591)",0.055037980204582615,25.7721,False,False
"(-9825.82548, 146654.12811)","(-9874.66158, 146683.22741)",0.05684834143315125,17.2107,False,False
"(-9825.82548, 146654.12811)","(-9762.87928, 146669.14421)",0.06471249766196852,17.2107,False,False
"(-9971.72598, 144924.51451)","(-10024.30708, 144904.45791)",0.05627645405292132,28.1464,False,False
"(-9971.72598, 144924.51451)","(-9945.05923, 144940.80891)",0.031250968415745276,28.1464,True,False
"(-9411.90168, 144462.35361)","(-9397.61418, 144516.32871)",0.05583407629988296,28.1464,True,False
"(-9411.90168, 144462.35361)","(-9389.67668, 144430.60351)",0.03875589600319309,28.1464,False,False
"(-12495.56068, 144747.04741)","(-12503.58468, 144748.39251)",0.0081359615295309,26.9084,False,False
"(-12495.56068, 144747.04741)","(-12416.83758, 144733.85091)",0.07982151392863912,26.9084,False,False
"(-12165.51968, 144570.61191)","(-12182.98228, 144569.81821)",0.017480628090833603,26.9084,False,False
"(-12165.51968, 144570.61191)","(-12146.46968, 144571.40571)",0.01906653136886593,26.9084,False,False
"(-11724.56608, 145851.82881)","(-11751.46628, 145846.17771)",0.02748737330575983,20.651,False,False
"(-11724.56608, 145851.82881)","(-11721.68068, 145840.93761)",0.011266932617189286,20.651,False,False
"(-10691.35818, 144826.91311)","(-10747.02548, 144814.89671)",0.05694947021922104,28.1464,False,False
"(-10691.35818, 144826.91311)","(-10630.95868, 144839.63321)",0.06172439180956013,28.1464,False,False
"(-12768.49968, 145909.42561)","(-12707.69438, 145938.15221)",0.06724955059812432,24.9455,False,False
"(-12768.49968, 145909.42561)","(-12816.51328, 145944.08061)",0.05921380590672893,24.9455,False,False
"(-9833.40198, 146132.72991)","(-9883.05958, 146053.83271)",0.09322363115434262,22.0285,False,False
"(-9833.40198, 146132.72991)","(-9868.80898, 146130.25731)",0.03549323033706551,17.2107,False,False
"(-9833.40198, 146132.72991)","(-9805.46208, 146134.68111)",0.02800794875477511,17.2107,False,False
"(-11030.10968, 146502.23731)","(-10979.42848, 146476.33291)",0.05691767715569459,23.5624,False,False
"(-11030.10968, 146502.23731)","(-11068.26618, 146538.67251)",0.05275833859486665,23.5624,False,False
"(-9882.24478, 145040.07641)","(-9924.57818, 145055.95131)",0.04521204712872233,28.1464,False,False
"(-9882.24478, 145040.07641)","(-9849.17178, 145034.78471)",0.03349366235409376,28.1464,False,False
"(-11301.37178, 144893.17581)","(-11360.44038, 144863.96811)",0.06589529000808786,28.1464,False,False
"(-11301.37178, 144893.17581)","(-11274.31335, 144903.57648)",0.028988490311049483,28.1464,True,False
"(-11708.00478, 145789.31671)","(-11710.84508, 145800.03771)",0.011090858627256702,20.651,False,False
"(-11708.00478, 145789.31671)","(-11700.87218, 145787.08951)",0.007472242140086751,20.651,False,False
"(-11956.00868, 145141.11541)","(-11935.54898, 145084.89061)",0.059831659337926085,21.616,False,False
"(-11956.00868, 145141.11541)","(-12002.95368, 145175.71251)",0.05831631292709539,21.616,False,False
"(-12581.62248, 146404.94151)","(-12610.10888, 146362.91541)",0.05077074025628781,10.4611,True,False
"(-12581.62248, 146404.94151)","(-12565.74738, 146438.27901)",0.036924351128484155,10.4611,True,False
"(-11940.96438, 145697.08401)","(-11940.97378, 145697.07781)",1.126055061079224e-05,20.651,False,False
"(-11940.96438, 145697.08401)","(-11937.40728, 145699.39451)",0.004241623587743132,20.651,False,False
"(-10154.14968, 144433.01491)","(-10200.16948, 144438.89811)",0.04639433191975215,28.1464,False,False
"(-10154.14968, 144433.01491)","(-10150.13318, 144383.57551)",0.04960228366325776,28.1464,False,False
"(-12676.76408, 147148.37501)","(-12720.62968, 147104.78651)",0.06183969757048046,21.6492,False,False
"(-12676.76408, 147148.37501)","(-12625.24098, 147196.09961)",0.0702301023690807,21.6492,False,False
"(-12827.23758, 144693.93011)","(-12754.88218, 144699.75321)",0.07258934083438254,26.9084,False,False
"(-12827.23758, 144693.93011)","(-12892.48988, 144675.16421)",0.06789714027924683,26.9084,False,False
"(-11272.63738, 147349.18341)","(-11335.19898, 147334.29751)",0.06430819398311309,17.9728,False,False
"(-11272.63738, 147349.18341)","(-11278.24178, 147401.84521)",0.05295917747284392,17.9728,False,False
"(-11646.33298, 146885.47931)","(-11657.10278, 146836.53971)",0.0501106080605531,13.9257,False,False
"(-11646.33298, 146885.47931)","(-11598.70698, 146900.72431)",0.050006458592862825,13.9257,False,False
"(-11338.22208, 147664.89681)","(-11282.40848, 147651.99271)",0.05728589478894707,17.9728,False,False
"(-11338.22208, 147664.89681)","(-11337.90718, 147666.42181)",0.0015571727617646883,17.9728,False,False
"(-11320.00928, 144379.32771)","(-11400.44298, 144355.27201)",0.08395389686120112,11.428,False,False
"(-11320.00928, 144379.32771)","(-11368.44098, 144395.19441)",0.05096451445642759,7.90462,False,False
"(-11320.00928, 144379.32771)","(-11298.81805, 144346.94946)",0.03869650245146179,7.90462,True,False
"(-9328.57358, 144617.03861)","(-9376.30458, 144586.68421)",0.05656534239584238,28.1464,False,False
"(-9328.57358, 144617.03861)","(-9305.40998, 144657.12641)",0.04629885607442876,28.1464,True,False
"(-10830.91928, 145927.71381)","(-10872.19638, 145937.86281)",0.042506484039614996,20.651,False,False
"(-10830.91928, 145927.71381)","(-10765.87298, 145903.02991)",0.06957238002899382,20.651,False,False
"(-12086.91678, 146501.91151)","(-12108.56068, 146489.63031)",0.024885463239610037,34.9974,False,False
