"Node1(x,y)","Node2(x,y)"
"(-11878.37698, 145918.93021)","(-11945.21128, 145925.18031)"
"(-11636.58518, 147037.84251)","(-11567.55768, 147020.37881)"
"(-11636.58518, 147037.84251)","(-11731.39298, 147083.07661)"
"(-10154.14968, 144433.01491)","(-10150.13318, 144383.57551)"
"(-10154.14968, 144433.01491)","(-10200.16948, 144438.89811)"
"(-11262.76738, 145969.52531)","(-11215.14228, 146092.55671)"
"(-11262.76738, 145969.52531)","(-11313.27938, 145995.44651)"
"(-9359.11808, 144722.23791)","(-9419.23008, 144744.06521)"
"(-9359.11808, 144722.23791)","(-9317.16199, 144671.37362)"
"(-11009.14508, 145140.90221)","(-10973.55168, 145177.73511)"
"(-11009.14508, 145140.90221)","(-11037.01668, 145024.30811)"
"(-10274.41428, 145183.54161)","(-10156.18288, 145269.73251)"
"(-10274.41428, 145183.54161)","(-10319.20618, 145145.05011)"
"(-11344.91508, 145185.92821)","(-11306.76598, 145160.23671)"
"(-11344.91508, 145185.92821)","(-11368.06588, 145227.72601)"
"(-11595.31278, 144206.94801)","(-11629.99018, 144170.65121)"
"(-11595.31278, 144206.94801)","(-11567.18588, 144257.36441)"
"(-10866.58898, 144554.29691)","(-10820.93418, 144562.38671)"
"(-10866.58898, 144554.29691)","(-10909.24578, 144539.91501)"
"(-10561.51648, 144349.71811)","(-10591.73298, 144296.31881)"
"(-10561.51648, 144349.71811)","(-10523.37498, 144404.14781)"
"(-9682.96018, 145287.91201)","(-9637.98088, 145277.32861)"
"(-9682.96018, 145287.91201)","(-9773.49258, 145311.69301)"
"(-10670.42388, 145618.08421)","(-10608.43858, 145595.63311)"
"(-10670.42388, 145618.08421)","(-10621.45838, 145684.22091)"
"(-10627.12218, 146132.03631)","(-10600.05419, 146118.42648)"
"(-10627.12218, 146132.03631)","(-10681.31538, 146176.81681)"
"(-10627.12218, 146132.03631)","(-10723.03338, 146074.08041)"
"(-11226.73778, 144921.86351)","(-11180.08208, 144918.93121)"
"(-12022.41158, 146595.09861)","(-11985.92898, 146557.64721)"
"(-12022.41158, 146595.09861)","(-12078.15678, 146592.99481)"
"(-11973.64728, 146750.44291)","(-12020.80848, 146775.19261)"
"(-11973.64728, 146750.44291)","(-11923.07578, 146737.93821)"
