Node1,Node2,edgelength,slope,Build5m,Maintain5m,Build10m,Maintain10m,Upgrade
"(-15964.9419, 153471.924)","(-15916.0205, 153453.4132)",31.467,35.1,236455.09,84448.25,354682.63,177341.32,84448.25
"(-15964.9419, 153471.924)","(-15989.9582, 153541.7063)",42.597,35.1,320096.88,114320.31,480145.32,240072.66,114320.31
"(-15833.7215, 154167.1561)","(-15907.8049, 154156.5727)",200.714,47.9,1508267.26,538666.88,2262400.88,1131200.44,538666.88
"(-15833.7215, 154167.1561)","(-15756.9922, 154167.156)",65.146,33.9,489540.85,174836.02,734311.27,367155.63,174836.02
"(-15574.2538, 153226.7665)","(-15571.9158, 153259.9245)",70.447,20.0,340314.1,132328.36,510471.15,255235.58,132328.36
"(-15574.2538, 153226.7665)","(-15599.207, 153232.9704)",58.485,20.0,282526.76,109858.22,423790.13,211895.07,109858.22
"(-14893.3802, 153171.8584)","(-14857.6848, 153208.0215)",26.611,35.1,199970.98,71418.21,299956.48,149978.24,71418.21
"(-14893.3802, 153171.8584)","(-14937.3977, 153180.6719)",38.166,35.1,286800.01,102428.57,430200.01,215100.01,102428.57
"(-15826.6533, 153886.1845)","(-15815.9649, 153882.2879)",0.318,47.9,2391.6,854.14,3587.4,1793.7,854.14
"(-15826.6533, 153886.1845)","(-15869.4326, 153900.9525)",0.273,47.9,2052.47,733.03,3078.71,1539.36,733.03
"(-15317.0881, 153654.3452)","(-15321.8121, 153713.6783)",32.801,27.1,246484.29,88030.1,369726.44,184863.22,88030.1
"(-15317.0881, 153654.3452)","(-15336.7395, 153603.3896)",46.442,27.1,348984.91,124637.47,523477.36,261738.68,124637.47
"(-15394.8142, 153159.0479)","(-15366.3836, 153175.4069)",26.458,20.0,127813.88,49699.38,191720.82,95860.41,49699.38
"(-15394.8142, 153159.0479)","(-15365.5403, 153195.1014)",18.368,20.0,88729.43,34501.72,133094.15,66547.08,34501.72
"(-15868.3954, 153448.1215)","(-15819.4474, 153475.9028)",77.754,35.1,584284.1,208672.89,876426.15,438213.08,208672.89
"(-15868.3954, 153448.1215)","(-15916.0205, 153453.4132)",53.296,35.1,400496.17,143034.35,600744.25,300372.13,143034.35
"(-15563.6948, 153790.0833)","(-15558.3184, 153790.5166)",50.67,47.9,380759.03,135985.37,571138.55,285569.27,135985.37
