Node1,Node2,edgelength,slope,Build5m,Maintain5m,Build10m,Maintain10m,Upgrade
"(-19184.3435, 151659.9321)","(-19203.3264, 151664.3488)",19.49,36.1,146457.15,52306.12,219685.72,109842.86,52306.12
"(-19184.3435, 151659.9321)","(-19177.5542, 151654.7264)",8.555,36.1,64289.13,22960.4,96433.7,48216.85,22960.4
"(-19155.3295, 151653.1817)","(-19161.053, 151654.5132)",5.876,36.1,44157.74,15770.62,66236.61,33118.3,15770.62
"(-19155.3295, 151653.1817)","(-19136.3145, 151651.1347)",19.125,36.1,143713.79,51326.35,215570.69,107785.34,51326.35
"(-19309.3763, 151734.4428)","(-19309.1125, 151733.7494)",0.742,25.1,5574.9,1991.04,8362.35,4181.17,1991.04
"(-19309.3763, 151734.4428)","(-19311.2048, 151735.866)",2.317,25.1,17411.78,6218.49,26117.67,13058.83,6218.49
"(-19168.7902, 151647.2513)","(-19166.1905, 151646.1566)",2.821,36.1,21196.76,7570.27,31795.14,15897.57,7570.27
"(-19168.7902, 151647.2513)","(-19173.0565, 151647.9159)",4.318,36.1,32445.77,11587.78,48668.66,24334.33,11587.78
"(-19291.1886, 151697.787)","(-19290.21, 151696.4957)",1.62,25.1,12175.15,4348.27,18262.72,9131.36,4348.27
"(-19291.1886, 151697.787)","(-19292.639, 151699.8802)",2.547,25.1,19136.39,6834.42,28704.58,14352.29,6834.42
"(-19162.2321, 151644.5293)","(-19158.1938, 151643.1957)",4.253,36.1,31957.71,11413.47,47936.56,23968.28,11413.47
"(-19162.2321, 151644.5293)","(-19166.1905, 151646.1566)",4.28,36.1,32160.86,11486.02,48241.29,24120.65,11486.02
"(-19290.21, 151696.4957)","(-19289.7233, 151695.4391)",1.163,25.1,8741.66,3122.02,13112.49,6556.25,3122.02
"(-19204.6301, 151662.3795)","(-19204.6301, 151665.0254)",2.646,25.1,19882.62,7100.93,29823.92,14911.96,7100.93
"(-19204.6301, 151662.3795)","(-19213.2291, 151655.7649)",10.849,25.1,81523.06,29115.38,122284.58,61142.29,29115.38
"(-19281.6585, 151684.0337)","(-19281.2391, 151683.4296)",0.735,25.1,5526.27,1973.67,8289.4,4144.7,1973.67
"(-19281.6585, 151684.0337)","(-19282.8807, 151685.417)",1.846,25.1,13870.9,4953.89,20806.36,10403.18,4953.89
"(-19152.6525, 151467.3812)","(-19128.84, 151489.2093)",32.303,36.1,242742.91,86693.89,364114.36,182057.18,86693.89
"(-19152.6525, 151467.3812)","(-19169.2186, 151449.5836)",24.314,36.1,182710.59,65253.78,274065.88,137032.94,65253.78
"(-19157.2828, 151489.2093)","(-19168.4114, 151466.5375)",25.256,36.1,189784.83,67780.3,284677.25,142338.62,67780.3
"(-19157.2828, 151489.2093)","(-19140.7463, 151503.7615)",22.028,36.1,165527.63,59117.01,248291.44,124145.72,59117.01
"(-19213.2291, 151655.7649)","(-19207.3553, 151656.6909)",5.946,36.1,44683.8,15958.5,67025.7,33512.85,15958.5
"(-19213.2291, 151655.7649)","(-19208.0517, 151659.7475)",6.532,36.1,49084.45,17530.16,73626.68,36813.34,17530.16
"(-19213.2291, 151655.7649)","(-19226.4582, 151652.4576)",13.636,25.1,102469.6,36596.29,153704.4,76852.2,36596.29
"(-19299.1624, 151712.5197)","(-19298.6404, 151711.2379)",1.384,25.1,10400.17,3714.35,15600.26,7800.13,3714.35
"(-19299.1624, 151712.5197)","(-19300.1801, 151715.1958)",2.863,25.1,21514.61,7683.79,32271.92,16135.96,7683.79
"(-19281.2391, 151683.4296)","(-19280.5433, 151681.9998)",1.59,25.1,11948.92,4267.47,17923.38,8961.69,4267.47
"(-19114.4864, 151619.3846)","(-19122.0269, 151625.3377)",9.607,36.1,72193.4,25783.36,108290.1,54145.05,25783.36
"(-19114.4864, 151619.3846)","(-19106.9457, 151607.8752)",13.76,36.1,103397.02,36927.51,155095.53,77547.77,36927.51
"(-19177.5613, 151648.7634)","(-19174.3823, 151648.1437)",3.239,36.1,24338.25,8692.23,36507.37,18253.68,8692.23
"(-19177.5613, 151648.7634)","(-19179.185, 151649.127)",1.664,36.1,12503.47,4465.53,18755.21,9377.61,4465.53
"(-19299.1391, 151736.0685)","(-19310.0919, 151768.7774)",34.494,25.1,259205.16,92573.27,388807.73,194403.87,92573.27
"(-19299.1391, 151736.0685)","(-19278.5469, 151700.0335)",41.504,25.1,311879.81,111385.65,467819.71,233909.86,111385.65
"(-19284.3488, 151687.185)","(-19282.8807, 151685.417)",2.298,25.1,17268.87,6167.45,25903.31,12951.65,6167.45
"(-19284.3488, 151687.185)","(-19286.3855, 151689.8707)",3.371,25.1,25328.58,9045.92,37992.87,18996.44,9045.92
"(-19295.6446, 151704.8901)","(-19295.2622, 151704.1597)",0.824,25.1,6195.31,2212.61,9292.97,4646.48,2212.61
"(-19295.6446, 151704.8901)","(-19296.9275, 151707.4246)",2.841,25.1,21346.37,7623.7,32019.55,16009.78,7623.7
"(-19146.2364, 151638.8315)","(-19135.1238, 151632.8784)",12.607,36.1,94733.16,33833.27,142099.75,71049.87,33833.27
"(-19146.2364, 151638.8315)","(-19154.8397, 151642.5724)",9.381,36.1,70496.71,25177.39,105745.06,52872.53,25177.39
"(-19140.7463, 151503.7615)","(-19134.1317, 151515.0063)",13.046,36.1,98034.27,35012.24,147051.4,73525.7,35012.24
