Node1,Node2,edgelength,slope,Build5m,Maintain5m,Build10m,Maintain10m,Upgrade
"(-9133.1124, 150201.6968)","(-9177.5962, 150164.6724)",1.027,43.7,7715.95,2755.7,11573.92,5786.96,2755.7
"(-9133.1124, 150201.6968)","(-9113.2597, 150246.4274)",4.332,43.7,32554.45,11626.59,48831.67,24415.84,11626.59
"(-9291.818, 149925.5515)","(-9291.5952, 149925.6876)",36.381,23.0,175749.62,68338.8,263624.43,131812.21,68338.8
"(-9291.818, 149925.5515)","(-9295.848, 149928.2706)",22.902,23.0,110634.1,43019.17,165951.15,82975.57,43019.17
"(-9345.5936, 149745.5524)","(-9290.7424, 149791.1479)",71.327,23.8,344565.46,133981.46,516848.19,258424.1,133981.46
"(-9345.5936, 149745.5524)","(-9374.8523, 149695.0714)",58.347,23.8,281861.38,109599.5,422792.07,211396.04,109599.5
"(-8880.1248, 150284.1787)","(-8959.6651, 150199.3606)",74.371,43.7,558858.44,199592.3,838287.66,419143.83,199592.3
"(-8880.1248, 150284.1787)","(-8852.4555, 150317.1043)",65.055,43.7,488855.13,174591.12,733282.69,366641.35,174591.12
"(-9577.9945, 149808.5032)","(-9567.3642, 149754.1196)",55.413,23.8,267685.75,104087.42,401528.63,200764.31,104087.42
"(-9577.9945, 149808.5032)","(-9527.9583, 149839.9337)",59.089,23.8,285444.04,110992.58,428166.06,214083.03,110992.58
"(-9208.1021, 149640.4147)","(-9200.6244, 149706.3565)",72.042,23.0,348018.29,135324.07,522027.44,261013.72,135324.07
"(-9048.6233, 149969.356)","(-8987.7244, 150001.3717)",47.292,23.0,228453.95,88832.45,342680.93,171340.47,88832.45
"(-9048.6233, 149969.356)","(-9126.599, 149995.1663)",82.136,33.4,617213.67,220433.45,925820.5,462910.25,220433.45
"(-9048.6233, 149969.356)","(-9012.4927, 149938.0866)",50.795,23.0,245376.06,95412.48,368064.09,184032.05,95412.48
"(-9069.3881, 150235.4173)","(-9113.2597, 150246.4274)",53.14,43.7,399324.14,142615.77,598986.22,299493.11,142615.77
"(-9069.3881, 150235.4173)","(-9015.2049, 150188.0339)",116.279,43.7,873777.37,312063.35,1310666.05,655333.03,312063.35
"(-9422.1057, 150136.467)","(-9415.2054, 150217.9054)",81.73,23.8,394818.7,153522.03,592228.05,296114.02,153522.03
"(-9422.1057, 150136.467)","(-9382.9459, 150082.3987)",66.76,23.8,322500.31,125401.61,483750.46,241875.23,125401.61
