variable,value,node_type_info,action,road_type,edge,period
C_node1node115_wide_t2,0.0,node1transit_node115source,C,wide,node1node115,2.0
C_node1node115_wide_t3,0.0,node1transit_node115source,C,wide,node1node115,3.0
C_node1node115_wide_t4,0.0,node1transit_node115source,C,wide,node1node115,4.0
C_node1node115_wide_t5,0.0,node1transit_node115source,C,wide,node1node115,5.0
C_node2node38_timber_t0,0.0,node2transit_node38transit,C,timber,node2node38,0.0
C_node2node38_timber_t1,0.0,node2transit_node38transit,C,timber,node2node38,1.0
C_node2node38_timber_t2,0.0,node2transit_node38transit,C,timber,node2node38,2.0
C_node2node38_timber_t3,0.0,node2transit_node38transit,C,timber,node2node38,3.0
C_node2node38_timber_t4,0.0,node2transit_node38transit,C,timber,node2node38,4.0
C_node2node38_timber_t5,0.0,node2transit_node38transit,C,timber,node2node38,5.0
C_node2node38_wide_t0,0.0,node2transit_node38transit,C,wide,node2node38,0.0
C_node2node38_wide_t1,0.0,node2transit_node38transit,C,wide,node2node38,1.0
C_node2node38_wide_t2,0.0,node2transit_node38transit,C,wide,node2node38,2.0
C_node2node38_wide_t3,0.0,node2transit_node38transit,C,wide,node2node38,3.0
C_node2node38_wide_t4,0.0,node2transit_node38transit,C,wide,node2node38,4.0
C_node2node38_wide_t5,0.0,node2transit_node38transit,C,wide,node2node38,5.0
C_node2node17_timber_t0,0.0,node2transit_node17transit,C,timber,node2node17,0.0
C_node2node17_timber_t1,0.0,node2transit_node17transit,C,timber,node2node17,1.0
C_node2node17_timber_t2,0.0,node2transit_node17transit,C,timber,node2node17,2.0
C_node2node17_timber_t3,0.0,node2transit_node17transit,C,timber,node2node17,3.0
C_node2node17_timber_t4,0.0,node2transit_node17transit,C,timber,node2node17,4.0
C_node2node17_timber_t5,0.0,node2transit_node17transit,C,timber,node2node17,5.0
C_node2node17_wide_t0,0.0,node2transit_node17transit,C,wide,node2node17,0.0
C_node2node17_wide_t1,0.0,node2transit_node17transit,C,wide,node2node17,1.0
C_node2node17_wide_t2,0.0,node2transit_node17transit,C,wide,node2node17,2.0
C_node2node17_wide_t3,0.0,node2transit_node17transit,C,wide,node2node17,3.0
C_node2node17_wide_t4,0.0,node2transit_node17transit,C,wide,node2node17,4.0
C_node2node17_wide_t5,0.0,node2transit_node17transit,C,wide,node2node17,5.0
C_node2node53_timber_t0,0.0,node2transit_node53exit,C,timber,node2node53,0.0
C_node2node53_timber_t1,0.0,node2transit_node53exit,C,timber,node2node53,1.0
C_node2node53_timber_t2,0.0,node2transit_node53exit,C,timber,node2node53,2.0
C_node2node53_timber_t3,0.0,node2transit_node53exit,C,timber,node2node53,3.0
C_node2node53_timber_t4,0.0,node2transit_node53exit,C,timber,node2node53,4.0
C_node2node53_timber_t5,0.0,node2transit_node53exit,C,timber,node2node53,5.0
C_node2node53_wide_t0,0.0,node2transit_node53exit,C,wide,node2node53,0.0
C_node2node53_wide_t1,0.0,node2transit_node53exit,C,wide,node2node53,1.0
C_node2node53_wide_t2,0.0,node2transit_node53exit,C,wide,node2node53,2.0
C_node2node53_wide_t3,0.0,node2transit_node53exit,C,wide,node2node53,3.0
C_node2node53_wide_t4,0.0,node2transit_node53exit,C,wide,node2node53,4.0
C_node2node53_wide_t5,0.0,node2transit_node53exit,C,wide,node2node53,5.0
C_node2node111_timber_t0,0.0,node2transit_node111source,C,timber,node2node111,0.0
C_node2node111_timber_t1,0.0,node2transit_node111source,C,timber,node2node111,1.0
C_node2node111_timber_t2,0.0,node2transit_node111source,C,timber,node2node111,2.0
C_node2node111_timber_t3,0.0,node2transit_node111source,C,timber,node2node111,3.0
C_node2node111_timber_t4,0.0,node2transit_node111source,C,timber,node2node111,4.0
C_node2node111_timber_t5,0.0,node2transit_node111source,C,timber,node2node111,5.0
C_node2node111_wide_t0,0.0,node2transit_node111source,C,wide,node2node111,0.0
C_node2node111_wide_t1,0.0,node2transit_node111source,C,wide,node2node111,1.0
C_node2node111_wide_t2,0.0,node2transit_node111source,C,wide,node2node111,2.0
C_node2node111_wide_t3,0.0,node2transit_node111source,C,wide,node2node111,3.0
C_node2node111_wide_t4,0.0,node2transit_node111source,C,wide,node2node111,4.0
C_node2node111_wide_t5,0.0,node2transit_node111source,C,wide,node2node111,5.0
C_node2node112_timber_t0,0.0,node2transit_node112source,C,timber,node2node112,0.0
C_node2node112_timber_t1,0.0,node2transit_node112source,C,timber,node2node112,1.0
C_node2node112_timber_t2,0.0,node2transit_node112source,C,timber,node2node112,2.0
C_node2node112_timber_t3,0.0,node2transit_node112source,C,timber,node2node112,3.0
C_node2node112_timber_t4,0.0,node2transit_node112source,C,timber,node2node112,4.0
C_node2node112_timber_t5,0.0,node2transit_node112source,C,timber,node2node112,5.0
C_node2node112_wide_t0,0.0,node2transit_node112source,C,wide,node2node112,0.0
C_node2node112_wide_t1,0.0,node2transit_node112source,C,wide,node2node112,1.0
C_node2node112_wide_t2,0.0,node2transit_node112source,C,wide,node2node112,2.0
C_node2node112_wide_t3,0.0,node2transit_node112source,C,wide,node2node112,3.0
C_node2node112_wide_t4,0.0,node2transit_node112source,C,wide,node2node112,4.0
C_node2node112_wide_t5,0.0,node2transit_node112source,C,wide,node2node112,5.0
C_node3node34_timber_t0,0.0,node3transit_node34exit,C,timber,node3node34,0.0
C_node3node34_timber_t1,0.0,node3transit_node34exit,C,timber,node3node34,1.0
C_node3node34_timber_t2,0.0,node3transit_node34exit,C,timber,node3node34,2.0
C_node3node34_timber_t3,0.0,node3transit_node34exit,C,timber,node3node34,3.0
C_node3node34_timber_t4,0.0,node3transit_node34exit,C,timber,node3node34,4.0
C_node3node34_timber_t5,0.0,node3transit_node34exit,C,timber,node3node34,5.0
C_node3node34_wide_t0,0.0,node3transit_node34exit,C,wide,node3node34,0.0
C_node3node34_wide_t1,0.0,node3transit_node34exit,C,wide,node3node34,1.0
C_node3node34_wide_t2,0.0,node3transit_node34exit,C,wide,node3node34,2.0
C_node3node34_wide_t3,0.0,node3transit_node34exit,C,wide,node3node34,3.0
C_node3node34_wide_t4,0.0,node3transit_node34exit,C,wide,node3node34,4.0
C_node3node34_wide_t5,0.0,node3transit_node34exit,C,wide,node3node34,5.0
C_node3node63_timber_t0,0.0,node3transit_node63exit,C,timber,node3node63,0.0
C_node3node63_timber_t1,0.0,node3transit_node63exit,C,timber,node3node63,1.0
C_node3node63_timber_t2,0.0,node3transit_node63exit,C,timber,node3node63,2.0
C_node3node63_timber_t3,0.0,node3transit_node63exit,C,timber,node3node63,3.0
C_node3node63_timber_t4,0.0,node3transit_node63exit,C,timber,node3node63,4.0
C_node3node63_timber_t5,0.0,node3transit_node63exit,C,timber,node3node63,5.0
C_node3node63_wide_t0,0.0,node3transit_node63exit,C,wide,node3node63,0.0
C_node3node63_wide_t1,0.0,node3transit_node63exit,C,wide,node3node63,1.0
C_node3node63_wide_t2,0.0,node3transit_node63exit,C,wide,node3node63,2.0
C_node3node63_wide_t3,0.0,node3transit_node63exit,C,wide,node3node63,3.0
C_node3node63_wide_t4,0.0,node3transit_node63exit,C,wide,node3node63,4.0
C_node3node63_wide_t5,0.0,node3transit_node63exit,C,wide,node3node63,5.0
C_node3node43_timber_t0,0.0,node3transit_node43transit,C,timber,node3node43,0.0
C_node3node43_timber_t1,0.0,node3transit_node43transit,C,timber,node3node43,1.0
C_node3node43_timber_t2,0.0,node3transit_node43transit,C,timber,node3node43,2.0
C_node3node43_timber_t3,0.0,node3transit_node43transit,C,timber,node3node43,3.0
C_node3node43_timber_t4,0.0,node3transit_node43transit,C,timber,node3node43,4.0
C_node3node43_timber_t5,0.0,node3transit_node43transit,C,timber,node3node43,5.0
C_node3node43_wide_t0,0.0,node3transit_node43transit,C,wide,node3node43,0.0
C_node3node43_wide_t1,0.0,node3transit_node43transit,C,wide,node3node43,1.0
C_node3node43_wide_t2,0.0,node3transit_node43transit,C,wide,node3node43,2.0
C_node3node43_wide_t3,0.0,node3transit_node43transit,C,wide,node3node43,3.0
C_node3node43_wide_t4,0.0,node3transit_node43transit,C,wide,node3node43,4.0
C_node3node43_wide_t5,0.0,node3transit_node43transit,C,wide,node3node43,5.0
C_node3node100_timber_t0,0.0,node3transit_node100source,C,timber,node3node100,0.0
C_node3node100_timber_t1,0.0,node3transit_node100source,C,timber,node3node100,1.0
C_node3node100_timber_t2,0.0,node3transit_node100source,C,timber,node3node100,2.0
C_node3node100_timber_t3,0.0,node3transit_node100source,C,timber,node3node100,3.0
C_node3node100_timber_t4,0.0,node3transit_node100source,C,timber,node3node100,4.0
C_node3node100_timber_t5,0.0,node3transit_node100source,C,timber,node3node100,5.0
C_node3node100_wide_t0,0.0,node3transit_node100source,C,wide,node3node100,0.0
C_node3node100_wide_t1,0.0,node3transit_node100source,C,wide,node3node100,1.0
C_node3node100_wide_t2,0.0,node3transit_node100source,C,wide,node3node100,2.0
C_node3node100_wide_t3,0.0,node3transit_node100source,C,wide,node3node100,3.0
C_node3node100_wide_t4,0.0,node3transit_node100source,C,wide,node3node100,4.0
C_node3node100_wide_t5,0.0,node3transit_node100source,C,wide,node3node100,5.0
C_node3node101_timber_t0,0.0,node3transit_node101source,C,timber,node3node101,0.0
C_node3node101_timber_t1,0.0,node3transit_node101source,C,timber,node3node101,1.0
C_node3node101_timber_t2,0.0,node3transit_node101source,C,timber,node3node101,2.0
C_node3node101_timber_t3,0.0,node3transit_node101source,C,timber,node3node101,3.0
C_node3node101_timber_t4,0.0,node3transit_node101source,C,timber,node3node101,4.0
C_node3node101_timber_t5,0.0,node3transit_node101source,C,timber,node3node101,5.0
C_node3node101_wide_t0,0.0,node3transit_node101source,C,wide,node3node101,0.0
C_node3node101_wide_t1,0.0,node3transit_node101source,C,wide,node3node101,1.0
C_node3node101_wide_t2,0.0,node3transit_node101source,C,wide,node3node101,2.0
C_node3node101_wide_t3,0.0,node3transit_node101source,C,wide,node3node101,3.0
C_node3node101_wide_t4,0.0,node3transit_node101source,C,wide,node3node101,4.0
C_node3node101_wide_t5,0.0,node3transit_node101source,C,wide,node3node101,5.0
C_node4node62_timber_t0,0.0,node4transit_node62exit,C,timber,node4node62,0.0
C_node4node62_timber_t1,0.0,node4transit_node62exit,C,timber,node4node62,1.0
C_node4node62_timber_t2,0.0,node4transit_node62exit,C,timber,node4node62,2.0
C_node4node62_timber_t3,0.0,node4transit_node62exit,C,timber,node4node62,3.0
C_node4node62_timber_t4,0.0,node4transit_node62exit,C,timber,node4node62,4.0
C_node4node62_timber_t5,0.0,node4transit_node62exit,C,timber,node4node62,5.0
C_node4node62_wide_t0,0.0,node4transit_node62exit,C,wide,node4node62,0.0
C_node4node62_wide_t1,0.0,node4transit_node62exit,C,wide,node4node62,1.0
C_node4node62_wide_t2,0.0,node4transit_node62exit,C,wide,node4node62,2.0
C_node4node62_wide_t3,0.0,node4transit_node62exit,C,wide,node4node62,3.0
