"Source(x,y)","Target(x,y)",has_exit,has_source,slope,edgelength,Build5m,Maintain5m,Build10m,Maintain10m,Upgrade,removed_nodes
"(-15013.85998, 148870.09431)","(-15028.03215, 148863.75522)",True,False,32.1137,0.01552528468456921,117,42,175,42,87,
"(-15013.85998, 148870.09431)","(-15109.69738, 149003.07561)",False,False,False,0.1649449382714128,1240,443,1860,443,930,"[(-15056.78058, 148914.44001)]"
"(-15013.85998, 148870.09431)","(-14908.31698, 148833.23941)",False,False,False,0.11677110166823071,877,313,1316,313,658,"[(-15001.54428, 148875.60301), (-14948.68878, 148858.94651)]"
"(-15013.85998, 148870.09431)","(-14955.64841, 148962.54141)",False,True,False,0.0,0,0,0,0,0,
"(-15028.03215, 148863.75522)","(-15013.85998, 148870.09431)",True,False,32.1137,0.01552528468456921,117,42,175,42,87,
"(-15028.03215, 148863.75522)","(-14115.84058, 148231.16461)",True,False,False,1.5814913183681767,11888,4244,17827,4244,8912,"[(-14961.83208, 148625.16081), (-14923.24858, 148582.19891), (-14892.83918, 148575.14951), (-14860.69988, 148567.69911), (-14818.18328, 148521.08241), (-14784.72258, 148459.94331), (-15006.37878, 148662.72221), (-15042.77458, 148858.10781)]"
"(-15109.69738, 149003.07561)","(-15013.85998, 148870.09431)",False,False,False,0.1649449382714128,1240,443,1860,443,930,"[(-15056.78058, 148914.44001)]"
"(-15109.69738, 149003.07561)","(-15267.75328, 149258.96071)",False,False,False,0.33404791569433834,2510,896,3765,896,1884,"[(-15280.88318, 149225.06151), (-15268.18318, 149197.54471), (-15277.70808, 149188.01971), (-15247.23718, 149167.45171), (-15203.62468, 149138.01351), (-15145.41628, 149059.96121)]"
"(-15109.69738, 149003.07561)","(-14849.10808, 149082.06171)",False,False,False,0.28363132099543475,2132,761,3196,761,1598,"[(-14916.55118, 149075.83621)]"
"(-15109.69738, 149003.07561)","(-14955.64841, 148962.54141)",False,True,False,0.0,0,0,0,0,0,
"(-15109.69738, 149003.07561)","(-14962.88955, 149225.70193)",False,True,False,0.0,0,0,0,0,0,
"(-14908.31698, 148833.23941)","(-15013.85998, 148870.09431)",False,False,False,0.11677110166823071,877,313,1316,313,658,"[(-15001.54428, 148875.60301), (-14948.68878, 148858.94651)]"
"(-14908.31698, 148833.23941)","(-14852.42928, 148832.95261)",False,False,False,0.07009128847044341,527,188,790,188,395,"[(-14875.21208, 148812.15971)]"
"(-14908.31698, 148833.23941)","(-14725.76647, 148708.12995)",True,False,False,0.23151639638655586,1740,621,2609,621,1305,"[(-14854.02958, 148755.56971)]"
"(-14908.31698, 148833.23941)","(-14955.64841, 148962.54141)",False,True,False,0.0,0,0,0,0,0,
"(-14955.64841, 148962.54141)","(-15013.85998, 148870.09431)",False,True,False,0.0,0,0,0,0,0,
"(-14955.64841, 148962.54141)","(-15109.69738, 149003.07561)",False,True,False,0.0,0,0,0,0,0,
"(-14955.64841, 148962.54141)","(-14908.31698, 148833.23941)",False,True,False,0.0,0,0,0,0,0,
"(-14955.64841, 148962.54141)","(-14852.42928, 148832.95261)",False,True,False,0.0,0,0,0,0,0,
"(-14955.64841, 148962.54141)","(-14849.10808, 149082.06171)",False,True,False,0.0,0,0,0,0,0,
"(-15267.75328, 149258.96071)","(-15279.23408, 149386.44861)",True,False,False,0.24038252218266326,1806,645,2709,645,1355,"[(-15325.05848, 149260.63641), (-15339.07428, 149323.25151), (-15342.36318, 149378.40191)]"
"(-15267.75328, 149258.96071)","(-15109.69738, 149003.07561)",False,False,False,0.33404791569433834,2510,896,3765,896,1884,"[(-15280.88318, 149225.06151), (-15268.18318, 149197.54471), (-15277.70808, 149188.01971), (-15247.23718, 149167.45171), (-15203.62468, 149138.01351), (-15145.41628, 149059.96121)]"
