Node1,Node2,edgelength,slope,Build5m,Maintain5m,Build10m,Maintain10m,Upgrade
"(-16524.9371, 150142.1588)","(-16478.6348, 150129.5911)",47.978,30.0,360527.67,128759.88,540791.51,270395.75,128759.88
"(-16524.9371, 150142.1588)","(-16558.01, 150150.7578)",34.172,30.0,256789.22,91710.44,385183.84,192591.92,91710.44
"(-16602.9893, 150180.5234)","(-16675.7498, 150204.336)",77.068,30.0,579129.72,206832.04,868694.58,434347.29,206832.04
"(-16602.9893, 150180.5234)","(-16558.01, 150150.7578)",54.376,30.0,408610.13,145932.19,612915.2,306457.6,145932.19
"(-16517.2085, 150298.5847)","(-16533.6828, 150362.5104)",66.014,30.0,496065.02,177166.08,744097.53,372048.76,177166.08
"(-16517.2085, 150298.5847)","(-16431.6225, 150203.8758)",127.684,30.0,959479.58,342671.28,1439219.37,719609.68,342671.28
"(-16423.8452, 150125.6377)","(-16431.6225, 150203.8758)",78.624,30.0,590817.82,211006.36,886226.73,443113.36,211006.36
"(-16423.8452, 150125.6377)","(-16478.6348, 150129.5911)",67.821,33.9,509638.87,182013.88,764458.3,382229.15,182013.88
"(-16423.8452, 150125.6377)","(-16381.7014, 150072.5006)",58.553,33.9,439999.2,157142.57,659998.8,329999.4,157142.57
"(-16789.7392, 150314.5233)","(-16790.2931, 150265.3452)",49.181,30.0,369572.27,131990.1,554358.41,277179.2,131990.1
"(-16789.7392, 150314.5233)","(-16732.09, 150362.7668)",75.172,30.0,564881.79,201743.5,847322.69,423661.34,201743.5
"(-16449.476, 149916.7559)","(-16400.2373, 149947.2088)",67.01,33.9,503545.33,179837.62,755317.99,377659.0,179837.62
"(-16449.476, 149916.7559)","(-16556.96, 149913.1954)",117.227,33.9,880905.32,314609.04,1321357.98,660678.99,314609.04
"(-16790.2931, 150265.3452)","(-16786.1988, 150225.5555)",68.852,30.0,517385.49,184780.53,776078.23,388039.11,184780.53
"(-16732.09, 150362.7668)","(-16714.7693, 150424.3599)",63.982,30.0,480793.93,171712.12,721190.9,360595.45,171712.12
"(-16733.9583, 150221.534)","(-16786.1988, 150225.5555)",52.395,30.0,393722.68,140615.24,590584.02,295292.01,140615.24
"(-16733.9583, 150221.534)","(-16675.7498, 150204.336)",65.16,30.0,489645.64,174873.44,734468.46,367234.23,174873.44
"(-16558.01, 150150.7578)","(-16553.0326, 150057.3299)",82.149,33.9,617308.36,220467.27,925962.54,462981.27,220467.27
"(-16572.9984, 150400.2641)","(-16714.7693, 150424.3599)",143.828,30.0,1080799.21,385999.72,1621198.82,810599.41,385999.72
"(-16572.9984, 150400.2641)","(-16533.6828, 150362.5104)",54.829,30.0,412013.49,147147.68,618020.24,309010.12,147147.68
"(-16553.0326, 150057.3299)","(-16558.3242, 149989.861)",93.56,33.9,703059.57,251092.7,1054589.35,527294.68,251092.7
"(-16556.96, 149913.1954)","(-16558.3242, 149989.861)",67.676,33.9,508552.0,181625.71,762828.0,381414.0,181625.71
"(-16381.7014, 150072.5006)","(-16363.0597, 150016.994)",79.071,33.9,594175.47,212205.52,891263.2,445631.6,212205.52
"(-16400.2373, 149947.2088)","(-16363.0597, 150016.994)",57.895,33.9,435051.83,155375.65,652577.74,326288.87,155375.65
