variable,coefficient,type,prefix,width,edge,period
C_node1node4_timber_t0,1878.0,B,C,timber,,0
C_node1node4_timber_t1,1581.23,B,C,timber,,1
C_node1node4_timber_t2,1120.96,B,C,timber,,2
C_node1node4_timber_t3,794.67,B,C,timber,,3
C_node1node4_timber_t4,563.36,B,C,timber,,4
C_node1node4_timber_t5,399.37,B,C,timber,,5
C_node1node4_wide_t0,2816.0,B,C,wide,,0
C_node1node4_wide_t1,2371.0,B,C,wide,,1
C_node1node4_wide_t2,1680.84,B,C,wide,,2
C_node1node4_wide_t3,1191.58,B,C,wide,,3
C_node1node4_wide_t4,844.73,B,C,wide,,4
C_node1node4_wide_t5,598.85,B,C,wide,,5
C_node1node18_timber_t0,5153.0,B,C,timber,,0
C_node1node18_timber_t1,4338.69,B,C,timber,,1
C_node1node18_timber_t2,3075.78,B,C,timber,,2
C_node1node18_timber_t3,2180.48,B,C,timber,,3
C_node1node18_timber_t4,1545.78,B,C,timber,,4
C_node1node18_timber_t5,1095.83,B,C,timber,,5
C_node1node18_wide_t0,7732.0,B,C,wide,,0
C_node1node18_wide_t1,6510.14,B,C,wide,,1
C_node1node18_wide_t2,4615.16,B,C,wide,,2
C_node1node18_wide_t3,3271.77,B,C,wide,,3
C_node1node18_wide_t4,2319.42,B,C,wide,,4
C_node1node18_wide_t5,1644.28,B,C,wide,,5
C_node1node20_timber_t0,4904.0,B,C,timber,,0
C_node1node20_timber_t1,4129.04,B,C,timber,,1
C_node1node20_timber_t2,2927.15,B,C,timber,,2
C_node1node20_timber_t3,2075.11,B,C,timber,,3
C_node1node20_timber_t4,1471.09,B,C,timber,,4
C_node1node20_timber_t5,1042.88,B,C,timber,,5
C_node1node20_wide_t0,7358.0,B,C,wide,,0
C_node1node20_wide_t1,6195.24,B,C,wide,,1
C_node1node20_wide_t2,4391.92,B,C,wide,,2
C_node1node20_wide_t3,3113.52,B,C,wide,,3
C_node1node20_wide_t4,2207.23,B,C,wide,,4
C_node1node20_wide_t5,1564.75,B,C,wide,,5
C_node1node28_timber_t0,0.0,B,C,timber,,0
C_node1node28_timber_t1,0.0,B,C,timber,,1
C_node1node28_timber_t2,0.0,B,C,timber,,2
C_node1node28_timber_t3,0.0,B,C,timber,,3
C_node1node28_timber_t4,0.0,B,C,timber,,4
C_node1node28_timber_t5,0.0,B,C,timber,,5
C_node1node28_wide_t0,0.0,B,C,wide,,0
C_node1node28_wide_t1,0.0,B,C,wide,,1
C_node1node28_wide_t2,0.0,B,C,wide,,2
C_node1node28_wide_t3,0.0,B,C,wide,,3
C_node1node28_wide_t4,0.0,B,C,wide,,4
C_node1node28_wide_t5,0.0,B,C,wide,,5
C_node2node16_timber_t0,272.0,B,C,timber,,0
C_node2node16_timber_t1,229.02,B,C,timber,,1
C_node2node16_timber_t2,162.35,B,C,timber,,2
C_node2node16_timber_t3,115.1,B,C,timber,,3
C_node2node16_timber_t4,81.59,B,C,timber,,4
C_node2node16_timber_t5,57.84,B,C,timber,,5
C_node2node16_wide_t0,408.0,B,C,wide,,0
C_node2node16_wide_t1,343.53,B,C,wide,,1
C_node2node16_wide_t2,243.53,B,C,wide,,2
C_node2node16_wide_t3,172.64,B,C,wide,,3
C_node2node16_wide_t4,122.39,B,C,wide,,4
C_node2node16_wide_t5,86.76,B,C,wide,,5
C_node2node27_timber_t0,8056.0,B,C,timber,,0
C_node2node27_timber_t1,6782.94,B,C,timber,,1
C_node2node27_timber_t2,4808.55,B,C,timber,,2
C_node2node27_timber_t3,3408.87,B,C,timber,,3
C_node2node27_timber_t4,2416.61,B,C,timber,,4
C_node2node27_timber_t5,1713.18,B,C,timber,,5
C_node2node27_wide_t0,12091.0,B,C,wide,,0
C_node2node27_wide_t1,10180.3,B,C,wide,,1
C_node2node27_wide_t2,7217.0,B,C,wide,,2
C_node2node27_wide_t3,5116.27,B,C,wide,,3
C_node2node27_wide_t4,3627.02,B,C,wide,,4
C_node2node27_wide_t5,2571.26,B,C,wide,,5
C_node3node11_timber_t0,67.0,B,C,timber,,0
C_node3node11_timber_t1,56.41,B,C,timber,,1
C_node3node11_timber_t2,39.99,B,C,timber,,2
C_node3node11_timber_t3,28.35,B,C,timber,,3
C_node3node11_timber_t4,20.1,B,C,timber,,4
C_node3node11_timber_t5,14.25,B,C,timber,,5
C_node3node11_wide_t0,101.0,B,C,wide,,0
C_node3node11_wide_t1,85.04,B,C,wide,,1
C_node3node11_wide_t2,60.29,B,C,wide,,2
C_node3node11_wide_t3,42.74,B,C,wide,,3
C_node3node11_wide_t4,30.3,B,C,wide,,4
C_node3node11_wide_t5,21.48,B,C,wide,,5
C_node3node16_timber_t0,2327.0,B,C,timber,,0
C_node3node16_timber_t1,1959.27,B,C,timber,,1
C_node3node16_timber_t2,1388.96,B,C,timber,,2
C_node3node16_timber_t3,984.66,B,C,timber,,3
C_node3node16_timber_t4,698.05,B,C,timber,,4
C_node3node16_timber_t5,494.86,B,C,timber,,5
C_node3node16_wide_t0,3487.0,B,C,wide,,0
C_node3node16_wide_t1,2935.96,B,C,wide,,1
C_node3node16_wide_t2,2081.36,B,C,wide,,2
C_node3node16_wide_t3,1475.51,B,C,wide,,3
C_node3node16_wide_t4,1046.02,B,C,wide,,4
C_node3node16_wide_t5,741.54,B,C,wide,,5
C_node4node19_timber_t0,1250.0,B,C,timber,,0
C_node4node19_timber_t1,1052.47,B,C,timber,,1
C_node4node19_timber_t2,746.11,B,C,timber,,2
C_node4node19_timber_t3,528.93,B,C,timber,,3
C_node4node19_timber_t4,374.97,B,C,timber,,4
C_node4node19_timber_t5,265.82,B,C,timber,,5
